,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV3KlJ91-R03vmj0O2ZA,parking_record_index_v2,101a0d010119,2017-08-10T05:18:44.081Z,2017-08-10T05:18:43.000Z,242,fcffff0719ff3c0047ff2a,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,25.5,1502342323.0,1.081,-231,60,-185,301.970197204956,42
1,AV3KlLa2-R03vmj0O2ZQ,parking_record_index_v2,101a0d010119,2017-08-10T05:18:50.037Z,2017-08-10T05:18:49.000Z,244,fcffff0719ff410045ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-85.0,27.0,1502342329.0,1.037,-231,65,-187,304.22853252119535,41
2,AV3KlMMm-R03vmj0O2Zb,parking_record_index_v2,101a0d010119,2017-08-10T05:18:53.221Z,2017-08-10T05:18:52.000Z,245,fcffff0719ff420043ff29,yilan,宜蘭市中山路二段,1010,10.5.180.50,-93.0,0.0,1502342332.0,1.221,-231,66,-189,305.67629937566306,41
3,AV3KlQkJ-R03vmj0O2ai,parking_record_index_v2,101a0d010119,2017-08-10T05:19:11.112Z,2017-08-10T05:19:10.000Z,248,fcffff071aff3b0043ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-82.0,29.5,1502342350.0,1.112,-230,59,-189,303.48311320401336,41
4,AV3KlRWE-R03vmj0O2az,parking_record_index_v2,101a0d010119,2017-08-10T05:19:14.307Z,2017-08-10T05:19:13.000Z,249,fcffff071aff3c0042ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-74.0,29.5,1502342353.0,1.307,-230,60,-190,304.3024810940588,41
5,AV3KlTfN-R03vmj0O2bZ,parking_record_index_v2,101a0d010119,2017-08-10T05:19:23.084Z,2017-08-10T05:19:22.000Z,251,fcffff0719ff400042ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-84.0,25.0,1502342362.0,1.084,-231,64,-190,305.87088779418025,41
6,AV3KlUNV-R03vmj0O2bp,parking_record_index_v2,101a0d010119,2017-08-10T05:19:26.036Z,2017-08-10T05:19:25.000Z,252,fcffff0719ff420044ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-87.0,29.5,1502342365.0,1.036,-231,66,-188,305.05901068481813,41
7,AV3Klo2l-R03vmj0O2hU,parking_record_index_v2,101a0d010119,2017-08-10T05:20:50.596Z,2017-08-10T05:19:26.000Z,271,fcffff0719ff3f0048ff28,yilan,宜蘭市中山路二段,1010,192.168.0.225,-115.2,-8.2,1502342366.0,84.596,-231,63,-184,301.970197204956,40
8,AV3KlVEb-R03vmj0O2bz,parking_record_index_v2,101a0d010119,2017-08-10T05:19:29.562Z,2017-08-10T05:19:28.000Z,253,fcffff0719ff410046ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-84.0,24.5,1502342368.0,1.562,-231,65,-186,303.6148876455172,41
9,AV3KlVAC-R03vmj0O2bt,parking_record_index_v2,101a0d010119,2017-08-10T05:19:29.281Z,2017-08-10T05:19:28.000Z,253,fcffff0719ff410046ff29,yilan,宜蘭市中山路二段,1010,10.5.180.50,-92.0,12.5,1502342368.0,1.281,-231,65,-186,303.6148876455172,41
10,AV3KlV0I-R03vmj0O2cF,parking_record_index_v2,101a0d010119,2017-08-10T05:19:32.615Z,2017-08-10T05:19:31.000Z,254,fcffff0719ff3d0046ff29,yilan,宜蘭市中山路二段,1010,10.5.180.50,-92.0,13.3,1502342371.0,1.615,-231,61,-186,302.78375121528563,41
11,AV3KlVvu-R03vmj0O2cE,parking_record_index_v2,101a0d010119,2017-08-10T05:19:32.333Z,2017-08-10T05:19:31.000Z,254,fcffff0719ff3d0046ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-84.0,22.5,1502342371.0,1.333,-231,61,-186,302.78375121528563,41
12,AV3KlWbc-R03vmj0O2cQ,parking_record_index_v2,101a0d010119,2017-08-10T05:19:35.131Z,2017-08-10T05:19:34.000Z,255,fcffff0719ff3b0045ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,30.0,1502342374.0,1.131,-231,59,-187,303.0033003120593,41
13,AV3KlYqy-R03vmj0O2c2,parking_record_index_v2,101a0d010119,2017-08-10T05:19:44.305Z,2017-08-10T05:19:43.000Z,257,fcffff071aff400045ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,24.5,1502342383.0,1.305,-230,64,-187,303.2573164822244,41
14,AV3Kla4j-R03vmj0O2df,parking_record_index_v2,101a0d010119,2017-08-10T05:19:53.378Z,2017-08-10T05:19:52.000Z,259,fcffff0719ff3c0047ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-83.0,22.0,1502342392.0,1.378,-231,60,-185,301.970197204956,41
15,AV3Klbjt-R03vmj0O2dp,parking_record_index_v2,101a0d010119,2017-08-10T05:19:56.140Z,2017-08-10T05:19:55.000Z,260,fcffff0719ff3c0046ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-87.0,23.8,1502342395.0,1.14,-231,60,-186,302.58387267004167,41
16,AV3KlwGn-R03vmj0O2jt,parking_record_index_v2,101a0d010119,2017-08-10T05:21:20.294Z,2017-08-10T05:19:56.000Z,278,fcffff0719ff410043ff28,yilan,宜蘭市中山路二段,1010,192.168.0.225,-112.2,-6.2,1502342396.0,84.294,-231,65,-189,305.46194525668824,40
17,AV3KlcUo-R03vmj0O2d8,parking_record_index_v2,101a0d010119,2017-08-10T05:19:59.271Z,2017-08-10T05:19:58.000Z,261,fcffff0718ff3d0046ff29,yilan,宜蘭市中山路二段,1010,10.5.180.50,-93.0,14.5,1502342398.0,1.271,-232,61,-186,303.547360390434,41
18,AV3KlcRl-R03vmj0O2d7,parking_record_index_v2,101a0d010119,2017-08-10T05:19:59.076Z,2017-08-10T05:19:58.000Z,261,fcffff0718ff3d0046ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-85.0,24.5,1502342398.0,1.076,-232,61,-186,303.547360390434,41
19,AV3Kl5lB-R03vmj0O2mT,parking_record_index_v2,101a0d010119,2017-08-10T05:21:59.104Z,2017-08-10T05:20:35.000Z,286,fcffff0719ff420042ff28,yilan,宜蘭市中山路二段,1010,192.168.0.225,-109.5,-8.5,1502342435.0,84.104,-231,66,-190,306.2956088487068,40
20,AV3Kll3X-R03vmj0O2gg,parking_record_index_v2,101a0d010119,2017-08-10T05:20:38.358Z,2017-08-10T05:20:37.000Z,268,fcffff071aff410045ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-85.0,24.5,1502342437.0,1.358,-230,65,-187,303.4699326127714,40
21,AV3Klmjl-R03vmj0O2gt,parking_record_index_v2,101a0d010119,2017-08-10T05:20:41.188Z,2017-08-10T05:20:40.000Z,269,fcffff0719ff420043ff28,yilan,宜蘭市中山路二段,1010,10.5.180.50,-96.0,15.0,1502342440.0,1.188,-231,66,-189,305.67629937566306,40
