,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV3KlMn2-R03vmj0O2Zi,parking_record_index_v2,101a0d0100cc,2017-08-10T05:18:54.965Z,2017-08-10T05:17:31.000Z,254,fcffff07f0feedff8eff27,yilan,宜蘭市中山路二段,1002,192.168.0.225,-105.0,1.2,1502342251.0,83.965,-272,-19,-114,295.53510789752204,39
1,AV3KlMsW-R03vmj0O2Zk,parking_record_index_v2,101a0d0100cc,2017-08-10T05:18:55.253Z,2017-08-10T05:18:54.000Z,254,fcffff07f0feedff8eff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-83.0,30.0,1502342334.0,1.253,-272,-19,-114,295.53510789752204,39
2,AV3KlMoC-R03vmj0O2Zj,parking_record_index_v2,101a0d0100cc,2017-08-10T05:18:54.977Z,2017-08-10T05:18:54.000Z,254,fcffff07f0feedff8eff27,yilan,宜蘭市中山路二段,1002,192.168.88.113,-101.0,20.8,1502342334.0,0.977,-272,-19,-114,295.53510789752204,39
3,AV3KlMns-R03vmj0O2Zh,parking_record_index_v2,101a0d0100cc,2017-08-10T05:18:54.955Z,2017-08-10T05:18:54.000Z,254,fcffff07f0feedff8eff27,yilan,宜蘭市中山路二段,1002,10.5.180.16,-109.0,15.5,1502342334.0,0.955,-272,-19,-114,295.53510789752204,39
4,AV3KlNWV-R03vmj0O2Zt,parking_record_index_v2,101a0d0100cc,2017-08-10T05:18:57.940Z,2017-08-10T05:18:57.000Z,255,fcffff07f0fef0ff8bff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-83.0,26.2,1502342337.0,0.94,-272,-16,-117,296.528244860418,38
5,AV3KlOHZ-R03vmj0O2aC,parking_record_index_v2,101a0d0100cc,2017-08-10T05:19:01.080Z,2017-08-10T05:19:00.000Z,256,fcffff07effef2ff8aff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,27.5,1502342340.0,1.08,-273,-14,-118,297.73981930537946,39
6,AV3KlO11-R03vmj0O2aK,parking_record_index_v2,101a0d0100cc,2017-08-10T05:19:04.052Z,2017-08-10T05:19:03.000Z,257,fcffff07f0fef4ff89ff26,yilan,宜蘭市中山路二段,1002,10.5.180.50,-107.3,-2.3,1502342343.0,1.052,-272,-12,-119,297.13464961192255,38
7,AV3KlOz_-R03vmj0O2aJ,parking_record_index_v2,101a0d0100cc,2017-08-10T05:19:03.934Z,2017-08-10T05:19:03.000Z,257,fcffff07f0fef4ff89ff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-84.0,27.5,1502342343.0,0.934,-272,-12,-119,297.13464961192255,38
8,AV3KlPij-R03vmj0O2aU,parking_record_index_v2,101a0d0100cc,2017-08-10T05:19:06.915Z,2017-08-10T05:19:06.000Z,258,fcffff07f0fef3ff88ff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-82.0,27.5,1502342346.0,0.915,-272,-13,-120,297.578561055732,38
9,AV3KlkHx-R03vmj0O2gA,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:31.216Z,2017-08-10T05:19:07.000Z,286,fcffff07f0fef1ff8cff26,yilan,宜蘭市中山路二段,1002,192.168.0.225,-102.2,-0.2,1502342347.0,84.216,-272,-15,-116,296.08275870100914,38
10,AV3Klp6x-R03vmj0O2hm,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:54.956Z,2017-08-10T05:19:31.000Z,294,fcffff07eefeedff89ff26,yilan,宜蘭市中山路二段,1002,192.168.0.225,-99.0,7.5,1502342371.0,83.956,-274,-19,-119,299.32925015774856,38
11,AV3Kl0LW-R03vmj0O2ku,parking_record_index_v2,101a0d0100cc,2017-08-10T05:21:36.981Z,2017-08-10T05:20:13.000Z,302,fcffff07effef3ff87ff25,yilan,宜蘭市中山路二段,1002,192.168.0.225,-99.0,9.5,1502342413.0,83.981,-273,-13,-121,298.89630308854606,37
12,AV3KljUD-R03vmj0O2fs,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:27.906Z,2017-08-10T05:20:27.000Z,285,fcffff07f0fef2ff8bff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-83.0,27.0,1502342427.0,0.906,-272,-14,-117,296.42705679475347,38
13,AV3Klkxf-R03vmj0O2gL,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:33.886Z,2017-08-10T05:20:33.000Z,287,fcffff07effef0ff8dff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-87.0,26.2,1502342433.0,0.886,-273,-16,-115,296.66479400158016,38
14,AV3Klli9-R03vmj0O2gX,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:37.052Z,2017-08-10T05:20:36.000Z,288,fcffff07effeeeff8dff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,23.0,1502342436.0,1.052,-273,-18,-115,296.77937933758136,38
15,AV3KlmSA-R03vmj0O2gl,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:40.064Z,2017-08-10T05:20:39.000Z,289,fcffff07effeedff8eff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-84.0,25.5,1502342439.0,1.064,-273,-19,-114,296.4557302532707,38
16,AV3Klm-1-R03vmj0O2gv,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:42.932Z,2017-08-10T05:20:42.000Z,290,fcffff07effeecff8bff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-87.0,18.8,1502342442.0,0.932,-273,-20,-117,297.6877558785379,38
17,AV3KlntX-R03vmj0O2g6,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:45.910Z,2017-08-10T05:20:45.000Z,291,fcffff07effeebff8bff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,32.0,1502342445.0,0.91,-273,-21,-117,297.75661201726484,38
18,AV3Kloci-R03vmj0O2hD,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:48.929Z,2017-08-10T05:20:48.000Z,292,fcffff07effeedff8bff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-90.0,28.0,1502342448.0,0.929,-273,-19,-117,297.62224379236176,38
19,AV3KlpL2-R03vmj0O2hX,parking_record_index_v2,101a0d0100cc,2017-08-10T05:20:51.957Z,2017-08-10T05:20:51.000Z,293,fcffff07effeecff89ff26,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,29.5,1502342451.0,0.957,-273,-20,-119,298.47948003171007,38
