,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
213,213,AV3KoYvT-R03vmj0O3QW,parking_record_index_v2,101a0d0100d9,2017-08-10T05:32:51.027Z,2017-08-10T05:32:50.000Z,568,fcffff07d1fe010031ff25,yilan,宜蘭市中山路二段,1006,10.5.151.1,-77.0,31.2,1502343170.0,1.0270000000000001,-303,1,-207,366.95912578923554,37,2017-08-10 13:32:50,-36.4444444444444,85.66666666666667,75.94444444444451,120.14380529439416
214,214,AV3KoZf--R03vmj0O3Qk,parking_record_index_v2,101a0d0100d9,2017-08-10T05:32:54.141Z,2017-08-10T05:32:53.000Z,569,fcffff07d7fe00003aff25,yilan,宜蘭市中山路二段,1006,10.5.180.50,-97.0,11.3,1502343173.0,1.141,-297,0,-198,356.9495762709349,37,2017-08-10 13:32:53,-30.4444444444444,84.66666666666667,84.94444444444451,123.73708936269121
216,216,AV3Koa7a-R03vmj0O3Q2,parking_record_index_v2,101a0d0100d9,2017-08-10T05:32:59.994Z,2017-08-10T05:32:59.000Z,571,fcffff07f5fefdff1fff25,yilan,宜蘭市中山路二段,1006,10.5.151.1,-83.0,30.0,1502343179.0,0.9940000000000001,-267,-3,-225,349.17474135452585,37,2017-08-10 13:32:59,-0.44444444444440023,81.66666666666667,57.944444444444514,100.13591072779015
217,217,AV3KobsL-R03vmj0O3RA,parking_record_index_v2,101a0d0100d9,2017-08-10T05:33:03.114Z,2017-08-10T05:33:02.000Z,572,fcffff07bbfe210081ff25,yilan,宜蘭市中山路二段,1006,10.5.180.50,-134.5,-15.5,1502343182.0,1.114,-325,33,-127,350.48965747936137,37,2017-08-10 13:33:02,-58.4444444444444,117.66666666666667,155.9444444444445,203.91142019011744
218,218,AV3KocZY-R03vmj0O3RQ,parking_record_index_v2,101a0d0100d9,2017-08-10T05:33:06.007Z,2017-08-10T05:33:05.000Z,573,fcffff07b7fe130073ff25,yilan,宜蘭市中山路二段,1006,10.5.151.1,-82.0,26.2,1502343185.0,1.0070000000000001,-329,19,-141,358.4452538394113,37,2017-08-10 13:33:05,-62.4444444444444,103.66666666666667,141.9444444444445,186.53233427048266
219,219,AV3KodJf-R03vmj0O3RZ,parking_record_index_v2,101a0d0100d9,2017-08-10T05:33:09.086Z,2017-08-10T05:33:08.000Z,574,fcffff07b7fe140076ff25,yilan,宜蘭市中山路二段,1006,10.5.151.1,-93.2,-11.2,1502343188.0,1.0859999999999999,-329,20,-138,357.3303793410238,37,2017-08-10 13:33:08,-62.4444444444444,104.66666666666667,144.9444444444445,189.37611182088168
220,220,AV3Kod3j-R03vmj0O3Rl,parking_record_index_v2,101a0d0100d9,2017-08-10T05:33:12.033Z,2017-08-10T05:33:11.000Z,575,fcffff07b6fe14007aff25,yilan,宜蘭市中山路二段,1006,10.5.151.1,-97.8,-13.8,1502343191.0,1.033,-330,20,-134,356.72958946518577,37,2017-08-10 13:33:11,-63.4444444444444,104.66666666666667,148.9444444444445,192.78162820362195
221,221,AV3KofWA-R03vmj0O3SE,parking_record_index_v2,101a0d0100d9,2017-08-10T05:33:18.079Z,2017-08-10T05:33:17.000Z,576,fcffff07b6fe0a0075ff25,yilan,宜蘭市中山路二段,1006,10.5.180.50,-96.0,17.5,1502343197.0,1.079,-330,10,-139,358.2192066319169,37,2017-08-10 13:33:17,-63.4444444444444,94.66666666666667,143.9444444444445,183.59460339307836
224,224,AV3KohGM-R03vmj0O3Sj,parking_record_index_v2,101a0d0100d9,2017-08-10T05:33:25.259Z,2017-08-10T05:33:23.000Z,577,fcffff07b8fe100072ff25,yilan,宜蘭市中山路二段,1006,192.168.88.113,-83.0,20.0,1502343203.0,2.259,-328,16,-142,357.77646652623764,37,2017-08-10 13:33:23,-61.4444444444444,100.66666666666667,140.9444444444445,183.77849153428508
223,223,AV3Ko0ky-R03vmj0O3X7,parking_record_index_v2,101a0d0100d9,2017-08-10T05:34:45.041Z,2017-08-10T05:33:21.000Z,594,fcffff07b7fe0b0075ff25,yilan,宜蘭市中山路二段,1006,192.168.0.225,-104.5,-2.5,1502343201.0,84.041,-329,11,-139,357.32758079946746,37,2017-08-10 13:33:21,-62.4444444444444,95.66666666666667,143.9444444444445,183.77002704332986
