,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
367,367,AV3KoXt0-R03vmj0O3QI,parking_record_index_v2,101a0d0100cb,2017-08-10T05:32:46.835Z,2017-08-10T05:32:46.000Z,555,fcffff07aafed4ff7fff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-82.0,24.5,1502343166.0,0.835,-342,-44,-129,368.1589330710312,38,2017-08-10 13:32:46,-13.300000000000011,-31.36,-3.4200000000000017,34.235011318823894
369,369,AV3KoYcm-R03vmj0O3QR,parking_record_index_v2,101a0d0100cb,2017-08-10T05:32:49.829Z,2017-08-10T05:32:49.000Z,556,fcffff07aafed3ff7eff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-86.0,22.5,1502343169.0,0.8290000000000001,-342,-45,-130,368.6312520663434,38,2017-08-10 13:32:49,-13.300000000000011,-32.36,-4.420000000000002,35.26465652746387
371,371,AV3KoZNN-R03vmj0O3Qd,parking_record_index_v2,101a0d0100cb,2017-08-10T05:32:52.940Z,2017-08-10T05:32:52.000Z,557,fcffff07aafed3ff7dff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-115.0,2.0,1502343172.0,0.94,-342,-45,-131,368.9850945499018,38,2017-08-10 13:32:52,-13.300000000000011,-32.36,-5.420000000000002,35.403898090464565
373,373,AV3KoZ62-R03vmj0O3Qr,parking_record_index_v2,101a0d0100cb,2017-08-10T05:32:55.861Z,2017-08-10T05:32:55.000Z,558,fcffff07a8feceff83ff26,yilan,宜蘭市中山路二段,1007,192.168.88.113,-88.0,-3.0,1502343175.0,0.861,-344,-50,-125,369.40628040140297,38,2017-08-10 13:32:55,-15.300000000000011,-37.36,0.5799999999999983,40.37568575269032
376,376,AV3Koaow-R03vmj0O3Qy,parking_record_index_v2,101a0d0100cb,2017-08-10T05:32:58.799Z,2017-08-10T05:32:58.000Z,559,fcffff07a6fecfff85ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-84.0,25.0,1502343178.0,0.799,-346,-49,-123,370.4672725086522,38,2017-08-10 13:32:58,-17.30000000000001,-36.36,2.5799999999999983,40.34843243547388
377,377,AV3KobYo-R03vmj0O3Q9,parking_record_index_v2,101a0d0100cb,2017-08-10T05:33:01.863Z,2017-08-10T05:33:01.000Z,560,fcffff07b6fec0ff6dff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-117.0,5.5,1502343181.0,0.863,-330,-64,-147,366.88554073443674,38,2017-08-10 13:33:01,-1.3000000000000114,-51.36,-21.42,55.66287811459267
379,379,AV3KocGf-R03vmj0O3RL,parking_record_index_v2,101a0d0100cb,2017-08-10T05:33:04.798Z,2017-08-10T05:33:04.000Z,561,fcffff078efeefff9fff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-107.0,11.2,1502343184.0,0.7979999999999999,-370,-17,-97,382.88118261413683,38,2017-08-10 13:33:04,-41.30000000000001,-4.359999999999999,28.58,50.41345058612831
380,380,AV3KodF9-R03vmj0O3RY,parking_record_index_v2,101a0d0100cb,2017-08-10T05:33:08.860Z,2017-08-10T05:33:07.000Z,562,fcffff0795fee4ff9aff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-85.0,24.5,1502343187.0,1.86,-363,-28,-102,378.0965485163809,38,2017-08-10 13:33:07,-34.30000000000001,-15.36,23.58,44.36705985300356
381,381,AV3Kodq0-R03vmj0O3Rk,parking_record_index_v2,101a0d0100cb,2017-08-10T05:33:11.218Z,2017-08-10T05:33:10.000Z,563,fcffff0795fee1ff9cff26,yilan,宜蘭市中山路二段,1007,192.168.88.113,-88.0,11.3,1502343190.0,1.218,-363,-31,-100,377.79624137886816,38,2017-08-10 13:33:10,-34.30000000000001,-18.36,25.58,46.56088487131662
385,385,AV3KofCl-R03vmj0O3R_,parking_record_index_v2,101a0d0100cb,2017-08-10T05:33:16.836Z,2017-08-10T05:33:16.000Z,565,fcffff0796fedbff96ff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-108.0,12.0,1502343196.0,0.836,-362,-37,-106,379.0105539427629,38,2017-08-10 13:33:16,-33.30000000000001,-24.36,19.58,45.669201876100274
