,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
323,323,AV3Kotl2-R03vmj0O3V4,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:16.437Z,2017-08-10T05:34:15.000Z,575,fcffff07e6fe3600e6fe25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,21.2,1502343255.0,1.4369999999999998,-282,54,-282,402.44751210561606,37,2017-08-10 13:34:15,-32.258620689655146,68.91379310344827,5.017241379310406,76.25550602915297
324,324,AV3KovFn-R03vmj0O3WU,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:22.564Z,2017-08-10T05:34:21.000Z,576,fcffff07e5fe3500e6fe25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-90.0,17.5,1502343261.0,1.564,-283,53,-282,403.01612870950964,37,2017-08-10 13:34:21,-33.258620689655146,67.91379310344827,5.017241379310406,75.78648860406847
325,325,AV3Kowh_-R03vmj0O3Wm,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:28.478Z,2017-08-10T05:34:27.000Z,577,fcffff07e9fe3100ecfe25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,24.5,1502343267.0,1.4780000000000002,-279,49,-276,395.4971554891388,37,2017-08-10 13:34:27,-29.258620689655146,63.91379310344828,11.017241379310406,71.15068124158404
327,327,AV3Kox_T-R03vmj0O3XE,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:34.450Z,2017-08-10T05:34:33.000Z,578,fcffff07eefe2a00eefe25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,27.0,1502343273.0,1.45,-274,42,-274,389.7640311778397,37,2017-08-10 13:34:33,-24.258620689655146,56.91379310344828,13.017241379310406,63.222694472111144
328,328,AV3Koyqf-R03vmj0O3XO,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:37.214Z,2017-08-10T05:34:36.000Z,579,fcffff070cff28009dff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-63.0,23.8,1502343276.0,1.214,-244,40,-99,266.3400082601185,37,2017-08-10 13:34:36,5.741379310344854,54.91379310344828,188.0172413793104,195.95655427997158
329,329,AV3Kozfe-R03vmj0O3Xi,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:40.605Z,2017-08-10T05:34:39.000Z,580,fcffff07f2fe0d004aff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-60.0,22.0,1502343279.0,1.605,-270,13,-182,325.8726745218138,37,2017-08-10 13:34:39,-20.258620689655146,27.913793103448278,105.0172413793104,110.5360237415377
331,331,AV3Ko0JU-R03vmj0O3X0,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:43.283Z,2017-08-10T05:34:42.000Z,581,fcffff07f2fe0b004bff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-132.0,-13.0,1502343282.0,1.2830000000000001,-270,11,-181,325.2414487730615,37,2017-08-10 13:34:42,-20.258620689655146,25.913793103448278,106.0172413793104,111.0026659812034
333,333,AV3Ko021-R03vmj0O3YC,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:46.196Z,2017-08-10T05:34:45.000Z,582,fcffff07f3fe0a004aff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-64.0,27.5,1502343285.0,1.196,-269,10,-182,324.9384557112316,37,2017-08-10 13:34:45,-19.258620689655146,24.913793103448278,105.0172413793104,109.63672990649523
335,335,AV3Ko1uO-R03vmj0O3YQ,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:49.741Z,2017-08-10T05:34:48.000Z,583,fcffff07f3fe0a0049ff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,21.2,1502343288.0,1.7409999999999999,-269,10,-183,325.49961597519587,37,2017-08-10 13:34:48,-19.258620689655146,24.913793103448278,104.0172413793104,108.67924393292017
337,337,AV3KpMOG-R03vmj0O3fR,parking_record_index_v2,101a0d0100b8,2017-08-10T05:36:21.893Z,2017-08-10T05:34:49.000Z,610,fcffff07f5fe0f0042ff25,yilan,宜蘭市中山路二段,1008,192.168.0.225,-97.0,8.0,1502343289.0,92.89299999999999,-267,15,-190,328.04572851966844,37,2017-08-10 13:34:49,-17.258620689655146,29.913793103448278,97.0172413793104,102.98077553988746
