,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
766,766,AV3KwUmR-R03vmj0O5hX,parking_record_index_v2,101a0d0100e4,2017-08-10T06:07:31.216Z,2017-08-10T06:07:30.000Z,1168,fcffff07fdfef6006eff30,yilan,宜蘭市中山路二段,1014,10.5.151.1,-73.0,25.0,1502345250.0,1.216,-259,246,-146,385.89247206961676,48,2017-08-10 14:07:30,1.5757575757576205,-13.015151515151501,19.454545454545467,23.45967859419399
767,767,AV3KwVWv-R03vmj0O5hm,parking_record_index_v2,101a0d0100e4,2017-08-10T06:07:34.318Z,2017-08-10T06:07:33.000Z,1169,fcffff07fdfef4006eff31,yilan,宜蘭市中山路二段,1014,192.168.88.113,-77.0,17.5,1502345253.0,1.318,-259,244,-146,384.6205922724367,49,2017-08-10 14:07:33,1.5757575757576205,-15.015151515151501,19.454545454545467,24.625538081501684
769,769,AV3KwWDx-R03vmj0O5h1,parking_record_index_v2,101a0d0100e4,2017-08-10T06:07:37.200Z,2017-08-10T06:07:36.000Z,1170,fcffff07fdfef30071ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,30.5,1502345256.0,1.2,-259,243,-143,382.8563699352539,49,2017-08-10 14:07:36,1.5757575757576205,-16.0151515151515,22.454545454545467,27.62561676345101
770,770,AV3KwW13-R03vmj0O5iB,parking_record_index_v2,101a0d0100e4,2017-08-10T06:07:40.407Z,2017-08-10T06:07:39.000Z,1171,fcffff07fffef30073ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,24.5,1502345259.0,1.4069999999999998,-257,243,-141,380.76107994384085,49,2017-08-10 14:07:39,3.5757575757576205,-16.0151515151515,24.454545454545467,29.44988817775507
772,772,AV3KwXi4-R03vmj0O5iT,parking_record_index_v2,101a0d0100e4,2017-08-10T06:07:43.287Z,2017-08-10T06:07:42.000Z,1172,fcffff0700fff40073ff31,yilan,宜蘭市中山路二段,1014,10.5.180.50,-94.0,18.8,1502345262.0,1.287,-256,244,-141,380.72693626797667,49,2017-08-10 14:07:42,4.5757575757576205,-15.015151515151501,24.454545454545467,29.058856237014734
773,773,AV3KwbPy-R03vmj0O5jP,parking_record_index_v2,101a0d0100e4,2017-08-10T06:07:58.450Z,2017-08-10T06:07:57.000Z,1177,fcffff0700fff30072ff31,yilan,宜蘭市中山路二段,1014,10.5.180.16,-120.2,-7.2,1502345277.0,1.45,-256,243,-142,380.4589333949197,49,2017-08-10 14:07:57,4.5757575757576205,-16.0151515151515,23.454545454545467,28.76696608828783
776,776,AV3Kwb67-R03vmj0O5jZ,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:01.211Z,2017-08-10T06:08:00.000Z,1178,fcffff0700fff30072ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,30.5,1502345280.0,1.2109999999999999,-256,243,-142,380.4589333949197,49,2017-08-10 14:08:00,4.5757575757576205,-16.0151515151515,23.454545454545467,28.76696608828783
777,777,AV3Kwcrs-R03vmj0O5jo,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:04.331Z,2017-08-10T06:08:03.000Z,1179,fcffff0700fff4006eff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,21.2,1502345283.0,1.331,-256,244,-146,382.6068478216249,49,2017-08-10 14:08:03,4.5757575757576205,-15.015151515151501,19.454545454545467,24.997433293401052
778,778,AV3KwdbQ-R03vmj0O5j0,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:07.375Z,2017-08-10T06:08:06.000Z,1180,fcffff0700fff90071ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-79.0,21.2,1502345286.0,1.375,-256,249,-143,384.6894851695325,49,2017-08-10 14:08:06,4.5757575757576205,-10.015151515151501,22.454545454545467,25.008946975708376
780,780,AV3KweHf-R03vmj0O5kB,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:10.206Z,2017-08-10T06:08:09.000Z,1181,fcffff07fffefb0072ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,22.5,1502345289.0,1.206,-257,251,-142,386.2822802045157,49,2017-08-10 14:08:09,3.5757575757576205,-8.015151515151501,23.454545454545467,25.04285124602953
781,781,AV3KwgZe-R03vmj0O5kv,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:19.548Z,2017-08-10T06:08:18.000Z,1183,fcffff0700fff70075ff30,yilan,宜蘭市中山路二段,1014,10.5.180.50,-108.0,7.0,1502345298.0,1.548,-256,247,-139,381.9240762245816,48,2017-08-10 14:08:18,4.5757575757576205,-12.015151515151501,26.454545454545467,29.4133370859337
783,783,AV3Kwh02-R03vmj0O5lO,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:25.396Z,2017-08-10T06:08:24.000Z,1184,fcffff0701fff30073ff30,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,29.5,1502345304.0,1.396,-255,243,-141,379.41402188111084,48,2017-08-10 14:08:24,5.5757575757576205,-16.0151515151515,24.454545454545467,29.759014499564806
784,784,AV3KwigZ-R03vmj0O5lU,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:28.184Z,2017-08-10T06:08:27.000Z,1185,fcffff0700fff6006fff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,18.8,1502345307.0,1.1840000000000002,-256,246,-145,383.50619290958,49,2017-08-10 14:08:27,4.5757575757576205,-13.015151515151501,20.454545454545467,24.67225478359285
785,785,AV3Kwj9r-R03vmj0O5lx,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:34.154Z,2017-08-10T06:08:33.000Z,1186,fcffff0701fff90073ff30,yilan,宜蘭市中山路二段,1014,10.5.151.1,-79.0,22.0,1502345313.0,1.1540000000000001,-255,249,-141,383.2844896418325,48,2017-08-10 14:08:33,5.5757575757576205,-10.015151515151501,24.454545454545467,27.007723447256534
786,786,AV3Kwlg4-R03vmj0O5mM,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:40.503Z,2017-08-10T06:08:39.000Z,1187,fcffff0700fff90075ff30,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,26.2,1502345319.0,1.5030000000000001,-256,249,-139,383.2205631225966,48,2017-08-10 14:08:39,4.5757575757576205,-10.015151515151501,26.454545454545467,28.65455971516849
788,788,AV3Kwm50-R03vmj0O5mm,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:46.196Z,2017-08-10T06:08:45.000Z,1188,fcffff07fffefa0075ff30,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,19.5,1502345325.0,1.196,-257,250,-139,384.5386846599442,48,2017-08-10 14:08:45,3.5757575757576205,-9.015151515151501,26.454545454545467,28.176266152354867
790,790,AV3KwpGg-R03vmj0O5nN,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:55.199Z,2017-08-10T06:08:54.000Z,1190,fcffff0700fff90071ff30,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,27.0,1502345334.0,1.199,-256,249,-143,384.6894851695325,48,2017-08-10 14:08:54,4.5757575757576205,-10.015151515151501,22.454545454545467,25.008946975708376
791,791,AV3Kwp1e-R03vmj0O5ne,parking_record_index_v2,101a0d0100e4,2017-08-10T06:08:58.205Z,2017-08-10T06:08:57.000Z,1191,fcffff0700fff90071ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,25.5,1502345337.0,1.205,-256,249,-143,384.6894851695325,49,2017-08-10 14:08:57,4.5757575757576205,-10.015151515151501,22.454545454545467,25.008946975708376
792,792,AV3Kwqmn-R03vmj0O5no,parking_record_index_v2,101a0d0100e4,2017-08-10T06:09:01.350Z,2017-08-10T06:09:00.000Z,1192,fcffff0700fff8006fff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-84.0,23.0,1502345340.0,1.35,-256,248,-145,384.7921516871154,49,2017-08-10 14:09:00,4.5757575757576205,-11.015151515151501,20.454545454545467,23.67825056979325
771,771,AV3KwrX4-R03vmj0O5n_,parking_record_index_v2,101a0d0100e4,2017-08-10T06:09:04.504Z,2017-08-10T06:07:40.000Z,1193,fcffff0700fff5006fff31,yilan,宜蘭市中山路二段,1014,192.168.0.225,-102.5,-0.5,1502345260.0,84.50399999999999,-256,245,-145,382.8655116356134,49,2017-08-10 14:07:40,4.5757575757576205,-14.015151515151501,20.454545454545467,25.214092471013572
797,797,AV3Kwsww-R03vmj0O5oT,parking_record_index_v2,101a0d0100e4,2017-08-10T06:09:10.191Z,2017-08-10T06:09:09.000Z,1195,fcffff0700fff30070ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-88.0,-10.0,1502345349.0,1.1909999999999998,-256,243,-144,381.209915925596,49,2017-08-10 14:09:09,4.5757575757576205,-16.0151515151515,21.454545454545467,27.161004328016304
798,798,AV3KwtoY-R03vmj0O5op,parking_record_index_v2,101a0d0100e4,2017-08-10T06:09:13.752Z,2017-08-10T06:09:12.000Z,1196,fcffff0700fff30071ff31,yilan,宜蘭市中山路二段,1014,10.5.180.50,-90.0,18.8,1502345352.0,1.7519999999999998,-256,243,-143,380.8332968636015,49,2017-08-10 14:09:12,4.5757575757576205,-16.0151515151515,22.454545454545467,27.957633072483286
800,800,AV3Kwu---R03vmj0O5o-,parking_record_index_v2,101a0d0100e4,2017-08-10T06:09:19.293Z,2017-08-10T06:09:18.000Z,1198,fcffff0701fff30073ff31,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,25.5,1502345358.0,1.2930000000000001,-255,243,-141,379.41402188111084,49,2017-08-10 14:09:18,5.5757575757576205,-16.0151515151515,24.454545454545467,29.759014499564806
787,787,AV3Kw6rm-R03vmj0O5sQ,parking_record_index_v2,101a0d0100e4,2017-08-10T06:10:07.205Z,2017-08-10T06:08:43.000Z,1209,fcffff0700fff30072ff31,yilan,宜蘭市中山路二段,1014,192.168.0.225,-106.0,-3.0,1502345323.0,84.205,-256,243,-142,380.4589333949197,49,2017-08-10 14:08:43,4.5757575757576205,-16.0151515151515,23.454545454545467,28.76696608828783
796,796,AV3KxAid-R03vmj0O5tj,parking_record_index_v2,101a0d0100e4,2017-08-10T06:10:31.197Z,2017-08-10T06:09:07.000Z,1217,fcffff07fffef60075ff31,yilan,宜蘭市中山路二段,1014,192.168.0.225,-113.2,-8.2,1502345347.0,84.197,-257,246,-139,381.9502585416064,49,2017-08-10 14:09:07,3.5757575757576205,-13.015151515151501,26.454545454545467,29.698875170779626
