,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
676,676,AV3KwXSQ-R03vmj0O5iN,parking_record_index_v2,101a0d0100dc,2017-08-10T06:07:42.224Z,2017-08-10T06:07:41.000Z,1043,fcffff07fafec4ff71ff29,yilan,宜蘭市中山路二段,1003,10.5.180.50,-137.3,-16.3,1502345261.0,1.224,-262,-60,-143,304.4552512274998,41,2017-08-10 14:07:41,-34.90909090909091,77.36363636363637,-17.606060606060595,86.68189101287773
677,677,AV3KwYv5-R03vmj0O5ig,parking_record_index_v2,101a0d0100dc,2017-08-10T06:07:48.216Z,2017-08-10T06:07:47.000Z,1044,fcffff07fafec4ff73ff29,yilan,宜蘭市中山路二段,1003,10.5.180.50,-131.3,-16.3,1502345267.0,1.216,-262,-60,-141,303.52100421552376,41,2017-08-10 14:07:47,-34.90909090909091,77.36363636363637,-15.606060606060595,86.29789097738235
678,678,AV3KwaOj-R03vmj0O5i2,parking_record_index_v2,101a0d0100dc,2017-08-10T06:07:54.273Z,2017-08-10T06:07:53.000Z,1045,fcffff07fafec4ff74ff29,yilan,宜蘭市中山路二段,1003,10.5.151.1,-72.0,10.5,1502345273.0,1.273,-262,-60,-140,303.0577502721223,41,2017-08-10 14:07:53,-34.90909090909091,77.36363636363637,-14.606060606060595,86.12266755002453
679,679,AV3KwdIC-R03vmj0O5jv,parking_record_index_v2,101a0d0100dc,2017-08-10T06:08:06.145Z,2017-08-10T06:08:05.000Z,1047,fcffff07fbfebcff71ff29,yilan,宜蘭市中山路二段,1003,10.5.151.1,-106.8,-1.8,1502345285.0,1.145,-261,-68,-143,305.2769234645816,41,2017-08-10 14:08:05,-33.90909090909091,69.36363636363637,-17.606060606060595,79.19036472912629
680,680,AV3KweoS-R03vmj0O5kN,parking_record_index_v2,101a0d0100dc,2017-08-10T06:08:12.305Z,2017-08-10T06:08:11.000Z,1048,fcffff07fafebfff6cff29,yilan,宜蘭市中山路二段,1003,10.5.151.1,-70.0,2.0,1502345291.0,1.305,-262,-65,-148,307.85223728275884,41,2017-08-10 14:08:11,-34.90909090909091,72.36363636363637,-22.606060606060595,83.463611663962
682,682,AV3KwgH--R03vmj0O5kn,parking_record_index_v2,101a0d0100dc,2017-08-10T06:08:18.429Z,2017-08-10T06:08:17.000Z,1050,fcffff07fbfec4ff6dff2a,yilan,宜蘭市中山路二段,1003,10.5.151.1,-69.0,28.8,1502345297.0,1.429,-261,-60,-147,305.4995908344232,42,2017-08-10 14:08:17,-33.90909090909091,77.36363636363637,-21.606060606060595,87.1881903275823
683,683,AV3Kwg03-R03vmj0O5k1,parking_record_index_v2,101a0d0100dc,2017-08-10T06:08:21.302Z,2017-08-10T06:08:20.000Z,1051,fcffff07fafec7ff6fff2a,yilan,宜蘭市中山路二段,1003,10.5.151.1,-65.0,7.0,1502345300.0,1.3019999999999998,-262,-57,-145,304.82453969455935,42,2017-08-10 14:08:20,-34.90909090909091,80.36363636363637,-19.606060606060595,89.78505605151936
684,684,AV3Kwhk5-R03vmj0O5lE,parking_record_index_v2,101a0d0100dc,2017-08-10T06:08:24.376Z,2017-08-10T06:08:23.000Z,1052,fcffff07fafec3ff73ff2a,yilan,宜蘭市中山路二段,1003,10.5.151.1,-64.0,8.8,1502345303.0,1.376,-262,-61,-141,303.72026603438894,42,2017-08-10 14:08:23,-34.90909090909091,76.36363636363637,-15.606060606060595,85.40256854695237
685,685,AV3KwiP--R03vmj0O5lP,parking_record_index_v2,101a0d0100dc,2017-08-10T06:08:27.134Z,2017-08-10T06:08:26.000Z,1053,fcffff07f9febfff74ff2a,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.0,29.5,1502345306.0,1.1340000000000001,-263,-65,-140,304.94917609332873,42,2017-08-10 14:08:26,-35.90909090909091,72.36363636363637,-14.606060606060595,82.09321338645398
686,686,AV3Kwi_3-R03vmj0O5lb,parking_record_index_v2,101a0d0100dc,2017-08-10T06:08:30.198Z,2017-08-10T06:08:29.000Z,1054,fcffff07fafebdff6fff2a,yilan,宜蘭市中山路二段,1003,10.5.151.1,-108.0,0.5,1502345309.0,1.198,-262,-67,-145,306.8517557388258,42,2017-08-10 14:08:29,-34.90909090909091,70.36363636363637,-19.606060606060595,80.95729468615997
