,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
784,784,AV3KwUhX-R03vmj0O5hW,parking_record_index_v2,101a0d0100c0,2017-08-10T06:07:30.902Z,2017-08-10T06:07:30.000Z,865,fcffff074dff5d0016ff2d,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,30.0,1502345250.0,0.902,-179,93,-234,308.9433605048019,45,2017-08-10 14:07:30,3.1875,-31.354166666666686,-37.041666666666686,48.634648071673745
785,785,AV3KwXbc-R03vmj0O5iP,parking_record_index_v2,101a0d0100c0,2017-08-10T06:07:42.811Z,2017-08-10T06:07:42.000Z,867,fcffff074eff570014ff2c,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,27.0,1502345262.0,0.8109999999999999,-178,87,-236,308.1379561170613,44,2017-08-10 14:07:42,4.1875,-37.354166666666686,-39.041666666666686,54.19520882626273
786,786,AV3KwY5x-R03vmj0O5ik,parking_record_index_v2,101a0d0100c0,2017-08-10T06:07:48.848Z,2017-08-10T06:07:48.000Z,868,fcffff074dff550015ff2c,yilan,宜蘭市中山路二段,1015,10.5.151.1,-77.0,26.2,1502345268.0,0.848,-179,85,-235,307.3938841291414,44,2017-08-10 14:07:48,3.1875,-39.354166666666686,-38.041666666666686,54.82772102737408
787,787,AV3KwZqA-R03vmj0O5iu,parking_record_index_v2,101a0d0100c0,2017-08-10T06:07:51.935Z,2017-08-10T06:07:51.000Z,869,fcffff074dff570013ff2d,yilan,宜蘭市中山路二段,1015,10.5.180.50,-84.0,22.5,1502345271.0,0.935,-179,87,-237,309.48182499138784,45,2017-08-10 14:07:51,3.1875,-37.354166666666686,-40.041666666666686,54.85279384913369
789,789,AV3KwbGv-R03vmj0O5jK,parking_record_index_v2,101a0d0100c0,2017-08-10T06:07:57.870Z,2017-08-10T06:07:57.000Z,870,fcffff074dff570013ff2c,yilan,宜蘭市中山路二段,1015,192.168.88.113,-75.0,19.5,1502345277.0,0.87,-179,87,-237,309.48182499138784,44,2017-08-10 14:07:57,3.1875,-37.354166666666686,-40.041666666666686,54.85279384913369
792,792,AV3Kwb4T-R03vmj0O5jY,parking_record_index_v2,101a0d0100c0,2017-08-10T06:08:01.043Z,2017-08-10T06:08:00.000Z,871,fcffff074dff5a0014ff2d,yilan,宜蘭市中山路二段,1015,192.168.88.113,-74.0,1.3,1502345280.0,1.043,-179,90,-236,309.57551582772174,45,2017-08-10 14:08:00,3.1875,-34.354166666666686,-39.041666666666686,52.10202164717052
793,793,AV3Kwckh-R03vmj0O5jl,parking_record_index_v2,101a0d0100c0,2017-08-10T06:08:03.869Z,2017-08-10T06:08:03.000Z,872,fcffff074dff5e0015ff2d,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,22.0,1502345283.0,0.8690000000000001,-179,94,-235,310.0032257896682,45,2017-08-10 14:08:03,3.1875,-30.354166666666686,-38.041666666666686,48.77195908568322
794,794,AV3KwdS8-R03vmj0O5jx,parking_record_index_v2,101a0d0100c0,2017-08-10T06:08:06.843Z,2017-08-10T06:08:06.000Z,873,fcffff074dff5f0016ff2d,yilan,宜蘭市中山路二段,1015,10.5.151.1,-69.0,30.5,1502345286.0,0.843,-179,95,-234,309.5512881575524,45,2017-08-10 14:08:06,3.1875,-29.354166666666686,-37.041666666666686,47.369951724578435
795,795,AV3KwewH-R03vmj0O5kR,parking_record_index_v2,101a0d0100c0,2017-08-10T06:08:12.806Z,2017-08-10T06:08:12.000Z,874,fcffff074cff5c001cff2c,yilan,宜蘭市中山路二段,1015,10.5.151.1,-76.0,27.0,1502345292.0,0.8059999999999999,-180,92,-228,304.709697909338,44,2017-08-10 14:08:12,2.1875,-32.354166666666686,-31.041666666666686,44.89055943501809
797,797,AV3KwffA-R03vmj0O5kd,parking_record_index_v2,101a0d0100c0,2017-08-10T06:08:15.807Z,2017-08-10T06:08:15.000Z,875,fcffff074cff5a0019ff2d,yilan,宜蘭市中山路二段,1015,10.5.151.1,-76.0,28.0,1502345295.0,0.807,-180,90,-231,306.3674264669793,45,2017-08-10 14:08:15,2.1875,-34.354166666666686,-34.041666666666686,48.41310765748836
