,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
627,627,AV3Kun6n-R03vmj0O5Ct,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:06.054Z,2017-08-10T06:00:05.000Z,927,fcffff07bafe0d0071ff2e,yilan,宜蘭市中山路二段,1006,10.5.151.1,-83.0,32.0,1502344805.0,1.054,-326,13,-143,356.2218409923793,46,2017-08-10 14:00:05,-59.4444444444444,97.66666666666667,139.9444444444445,180.71211161388888
628,628,AV3Kuoqb-R03vmj0O5C6,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:09.115Z,2017-08-10T06:00:08.000Z,928,fcffff07bafe100073ff2e,yilan,宜蘭市中山路二段,1006,10.5.180.50,-92.8,-2.8,1502344808.0,1.115,-326,16,-141,355.5460589009532,46,2017-08-10 14:00:08,-59.4444444444444,100.66666666666667,141.9444444444445,183.89030714458121
630,630,AV3Kupbd-R03vmj0O5DG,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:12.252Z,2017-08-10T06:00:11.000Z,929,fcffff07bafe120071ff2e,yilan,宜蘭市中山路二段,1006,10.5.180.50,-96.0,6.3,1502344811.0,1.252,-326,18,-143,356.4393356519451,46,2017-08-10 14:00:11,-59.4444444444444,102.66666666666667,139.9444444444445,183.46262276174213
632,632,AV3KuqHY-R03vmj0O5DW,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:15.064Z,2017-08-10T06:00:14.000Z,930,fcffff07bafe130074ff2e,yilan,宜蘭市中山路二段,1006,192.168.88.113,-84.0,14.5,1502344814.0,1.064,-326,19,-140,355.29846608168737,46,2017-08-10 14:00:14,-59.4444444444444,103.66666666666667,142.9444444444445,186.31568358733867
634,634,AV3Kurkv-R03vmj0O5D1,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:21.038Z,2017-08-10T06:00:20.000Z,932,fcffff07b9fe160077ff2e,yilan,宜蘭市中山路二段,1006,10.5.151.1,-84.0,25.0,1502344820.0,1.038,-327,22,-137,355.2210579343517,46,2017-08-10 14:00:20,-60.4444444444444,106.66666666666667,145.9444444444445,190.60716016501806
635,635,AV3KusTK-R03vmj0O5D_,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:24.009Z,2017-08-10T06:00:23.000Z,933,fcffff07b8fe160077ff2e,yilan,宜蘭市中山路二段,1006,10.5.151.1,-82.0,25.5,1502344823.0,1.0090000000000001,-328,22,-137,356.1418256818483,46,2017-08-10 14:00:23,-61.4444444444444,106.66666666666667,145.9444444444445,190.92663092157088
636,636,AV3Kutwu-R03vmj0O5ET,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:29.997Z,2017-08-10T06:00:29.000Z,934,fcffff07b9fe0f007aff2e,yilan,宜蘭市中山路二段,1006,10.5.151.1,-83.0,30.5,1502344829.0,0.997,-327,15,-134,353.70891987621684,46,2017-08-10 14:00:29,-60.4444444444444,99.66666666666667,148.9444444444445,189.13334671470864
637,637,AV3Kuugr-R03vmj0O5El,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:33.066Z,2017-08-10T06:00:32.000Z,935,fcffff07b9fe0d0076ff2e,yilan,宜蘭市中山路二段,1006,10.5.151.1,-78.0,25.0,1502344832.0,1.0659999999999998,-327,13,-138,355.1647505031996,46,2017-08-10 14:00:32,-60.4444444444444,97.66666666666667,144.9444444444445,184.93566615794794
639,639,AV3Kuv_l-R03vmj0O5FE,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:39.140Z,2017-08-10T06:00:38.000Z,936,fcffff07bafe0c0073ff2e,yilan,宜蘭市中山路二段,1006,10.5.180.50,-94.0,11.3,1502344838.0,1.14,-326,12,-141,355.38851979207215,46,2017-08-10 14:00:38,-59.4444444444444,96.66666666666667,141.9444444444445,181.73142746480335
641,641,AV3KuwuD-R03vmj0O5FN,parking_record_index_v2,101a0d0100d9,2017-08-10T06:00:42.113Z,2017-08-10T06:00:41.000Z,937,fcffff07bafe0e0072ff2e,yilan,宜蘭市中山路二段,1006,192.168.88.113,-87.0,7.5,1502344841.0,1.113,-326,14,-142,355.8595228457432,46,2017-08-10 14:00:41,-59.4444444444444,98.66666666666667,140.9444444444445,182.02771631312868
