,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1240,1240,AV3Kum4v-R03vmj0O5Cc,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:01.837Z,2017-08-10T06:00:01.000Z,1059,fcffff079afee1ff95ff2e,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,25.0,1502344801.0,0.8370000000000001,-358,-31,-107,374.9319938335485,46,2017-08-10 14:00:01,-29.30000000000001,-18.36,18.58,39.252974409590934
1242,1242,AV3KuoWV-R03vmj0O5Cx,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:07.828Z,2017-08-10T06:00:07.000Z,1060,fcffff079afee3ff96ff2e,yilan,宜蘭市中山路二段,1007,10.5.151.1,-77.0,23.8,1502344807.0,0.828,-358,-29,-106,374.48764999663206,46,2017-08-10 14:00:07,-29.30000000000001,-16.36,19.58,38.85249026767783
1243,1243,AV3Kupzt-R03vmj0O5DR,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:13.804Z,2017-08-10T06:00:13.000Z,1061,fcffff0799fee6ff98ff2e,yilan,宜蘭市中山路二段,1007,10.5.151.1,-81.0,17.0,1502344813.0,0.804,-359,-26,-104,374.6638493369757,46,2017-08-10 14:00:13,-30.30000000000001,-13.36,21.58,39.52563724976488
1244,1244,AV3KuqjT-R03vmj0O5Dd,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:16.850Z,2017-08-10T06:00:16.000Z,1062,fcffff0799fee8ff9aff2f,yilan,宜蘭市中山路二段,1007,192.168.88.113,-91.0,17.5,1502344816.0,0.85,-359,-24,-102,373.97994598641253,47,2017-08-10 14:00:16,-30.30000000000001,-11.36,23.58,40.03943056538143
1247,1247,AV3KurWR-R03vmj0O5Dz,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:20.112Z,2017-08-10T06:00:19.000Z,1063,fcffff0799fee9ff9cff2e,yilan,宜蘭市中山路二段,1007,192.168.88.113,-79.0,21.3,1502344819.0,1.112,-359,-23,-100,373.3764856013297,46,2017-08-10 14:00:19,-30.30000000000001,-10.36,25.58,40.984826460532936
1250,1250,AV3Kusw2-R03vmj0O5EJ,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:25.909Z,2017-08-10T06:00:25.000Z,1064,fcffff0799fee5ff9dff2e,yilan,宜蘭市中山路二段,1007,10.5.151.1,-77.0,32.5,1502344825.0,0.909,-359,-27,-99,373.37782472985725,46,2017-08-10 14:00:25,-30.30000000000001,-14.36,26.58,42.78780200010279
1251,1251,AV3Kuucy-R03vmj0O5Ei,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:32.818Z,2017-08-10T06:00:31.000Z,1066,fcffff0799fee1ff98ff2f,yilan,宜蘭市中山路二段,1007,10.5.151.1,-76.0,28.0,1502344831.0,1.818,-359,-31,-104,375.0439974189695,47,2017-08-10 14:00:31,-30.30000000000001,-18.36,21.58,41.48344248010284
1252,1252,AV3KuvBY-R03vmj0O5Ez,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:35.159Z,2017-08-10T06:00:34.000Z,1067,fcffff0799fee1ff98ff2f,yilan,宜蘭市中山路二段,1007,192.168.88.113,-71.0,19.5,1502344834.0,1.159,-359,-31,-104,375.0439974189695,47,2017-08-10 14:00:34,-30.30000000000001,-18.36,21.58,41.48344248010284
1256,1256,AV3KuvrY-R03vmj0O5E-,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:37.847Z,2017-08-10T06:00:37.000Z,1068,fcffff0799fee2ff95ff2f,yilan,宜蘭市中山路二段,1007,192.168.88.113,-91.0,20.8,1502344837.0,0.847,-359,-30,-107,375.8058009131845,47,2017-08-10 14:00:37,-30.30000000000001,-17.36,18.58,39.55598564060818
1259,1259,AV3KuwaH-R03vmj0O5FL,parking_record_index_v2,101a0d0100cb,2017-08-10T06:00:40.838Z,2017-08-10T06:00:40.000Z,1069,fcffff0799fee2ff96ff2f,yilan,宜蘭市中山路二段,1007,10.5.151.1,-76.0,26.2,1502344840.0,0.838,-359,-30,-106,375.5223029328618,47,2017-08-10 14:00:40,-30.30000000000001,-17.36,19.58,40.03543430512526
