,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
533,533,AV3Kum8t-R03vmj0O5Cd,parking_record_index_v2,101a0d010119,2017-08-10T06:00:02.093Z,2017-08-10T06:00:01.000Z,816,fcffff0711ff4a0077ff32,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,30.5,1502344801.0,1.093,-239,74,-137,285.24726116125987,50,2017-08-10 14:00:01,-8.13513513513513,11.567567567567558,50.621621621621586,52.559847970668415
534,534,AV3KunrT-R03vmj0O5Cp,parking_record_index_v2,101a0d010119,2017-08-10T06:00:05.072Z,2017-08-10T06:00:04.000Z,817,fcffff0711ff4b0077ff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-74.0,30.0,1502344804.0,1.072,-239,75,-137,285.5083186178645,49,2017-08-10 14:00:04,-8.13513513513513,12.567567567567558,50.621621621621586,52.788945375285834
535,535,AV3Kuoab-R03vmj0O5Cz,parking_record_index_v2,101a0d010119,2017-08-10T06:00:08.090Z,2017-08-10T06:00:07.000Z,818,fcffff0711ff490076ff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-73.8,-15.8,1502344807.0,1.09,-239,73,-138,285.4715397373265,49,2017-08-10 14:00:07,-8.13513513513513,10.567567567567558,49.621621621621586,51.38247989656979
537,537,AV3KusFt-R03vmj0O5D9,parking_record_index_v2,101a0d010119,2017-08-10T06:00:23.148Z,2017-08-10T06:00:22.000Z,821,fcffff0712ff420074ff31,yilan,宜蘭市中山路二段,1010,10.5.180.50,-83.0,23.3,1502344822.0,1.148,-238,66,-140,283.9013913315678,49,2017-08-10 14:00:22,-7.13513513513513,3.5675675675675578,47.621621621621586,48.285158564704915
538,538,AV3KutjG-R03vmj0O5ER,parking_record_index_v2,101a0d010119,2017-08-10T06:00:29.126Z,2017-08-10T06:00:28.000Z,822,fcffff0712ff460072ff31,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,22.0,1502344828.0,1.126,-238,70,-142,285.8461124451406,49,2017-08-10 14:00:28,-7.13513513513513,7.567567567567558,45.621621621621586,46.792206527078314
540,540,AV3Kuuix-R03vmj0O5Em,parking_record_index_v2,101a0d010119,2017-08-10T06:00:33.200Z,2017-08-10T06:00:31.000Z,823,fcffff0712ff490073ff32,yilan,宜蘭市中山路二段,1010,192.168.88.113,-68.0,20.0,1502344831.0,2.2,-238,73,-141,286.10138063280993,50,2017-08-10 14:00:31,-7.13513513513513,10.567567567567558,46.621621621621586,48.33383121915124
544,544,AV3KuvuX-R03vmj0O5FA,parking_record_index_v2,101a0d010119,2017-08-10T06:00:38.038Z,2017-08-10T06:00:37.000Z,824,fcffff0711ff490077ff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72.0,22.0,1502344837.0,1.038,-239,73,-137,284.98947348981153,49,2017-08-10 14:00:37,-8.13513513513513,10.567567567567558,50.621621621621586,52.34885369866891
545,545,AV3KuyuR-R03vmj0O5F4,parking_record_index_v2,101a0d010119,2017-08-10T06:00:50.321Z,2017-08-10T06:00:49.000Z,826,fcffff0712ff460077ff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,22.5,1502344849.0,1.321,-238,70,-137,283.3954833796756,49,2017-08-10 14:00:49,-7.13513513513513,7.567567567567558,50.621621621621586,51.67907514544901
546,546,AV3Ku06y-R03vmj0O5Gn,parking_record_index_v2,101a0d010119,2017-08-10T06:00:59.314Z,2017-08-10T06:00:58.000Z,828,fcffff0712ff450075ff32,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,25.0,1502344858.0,1.314,-238,69,-139,284.1232127088528,50,2017-08-10 14:00:58,-7.13513513513513,6.567567567567558,48.621621621621586,49.57928182484439
547,547,AV3Ku1rU-R03vmj0O5Gz,parking_record_index_v2,101a0d010119,2017-08-10T06:01:02.419Z,2017-08-10T06:01:01.000Z,829,fcffff0712ff470074ff32,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,28.8,1502344861.0,1.419,-238,71,-140,285.1052437258915,50,2017-08-10 14:01:01,-7.13513513513513,8.567567567567558,47.621621621621586,48.909428674790014
549,549,AV3Ku2V3-R03vmj0O5G_,parking_record_index_v2,101a0d010119,2017-08-10T06:01:05.143Z,2017-08-10T06:01:04.000Z,830,fcffff0712ff450071ff32,yilan,宜蘭市中山路二段,1010,10.5.180.16,-101.0,14.5,1502344864.0,1.143,-238,69,-143,286.10138063280993,50,2017-08-10 14:01:04,-7.13513513513513,6.567567567567558,44.621621621621586,45.66324794946557
550,550,AV3Ku3E5-R03vmj0O5HR,parking_record_index_v2,101a0d010119,2017-08-10T06:01:08.152Z,2017-08-10T06:01:07.000Z,831,fcffff0712ff430072ff32,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70.0,28.0,1502344867.0,1.1520000000000001,-238,67,-142,285.1262878094547,50,2017-08-10 14:01:07,-7.13513513513513,4.567567567567558,45.621621621621586,46.40156448081621
551,551,AV3Ku3x--R03vmj0O5HY,parking_record_index_v2,101a0d010119,2017-08-10T06:01:11.037Z,2017-08-10T06:01:10.000Z,832,fcffff0721ff490088ff32,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,28.0,1502344870.0,1.037,-223,73,-120,263.54885695066105,50,2017-08-10 14:01:10,7.86486486486487,10.567567567567558,67.62162162162159,68.89276663319198
552,552,AV3Ku5P3-R03vmj0O5H6,parking_record_index_v2,101a0d010119,2017-08-10T06:01:17.046Z,2017-08-10T06:01:16.000Z,833,fcffff0721ff4a008cff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,30.0,1502344876.0,1.046,-223,74,-116,262.0324407396916,49,2017-08-10 14:01:16,7.86486486486487,11.567567567567558,71.62162162162159,72.97479977693368
553,553,AV3Ku7c7-R03vmj0O5Ih,parking_record_index_v2,101a0d010119,2017-08-10T06:01:26.074Z,2017-08-10T06:01:25.000Z,835,fcffff0723ff4b0087ff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,27.5,1502344885.0,1.074,-221,75,-121,262.8821028522101,49,2017-08-10 14:01:25,9.86486486486487,12.567567567567558,66.62162162162159,68.51058152476841
554,554,AV3Ku8ND-R03vmj0O5Ir,parking_record_index_v2,101a0d010119,2017-08-10T06:01:29.154Z,2017-08-10T06:01:28.000Z,836,fcffff0723ff4a0086ff32,yilan,宜蘭市中山路二段,1010,10.5.151.1,-75.0,27.0,1502344888.0,1.1540000000000001,-221,74,-122,263.06082946725456,50,2017-08-10 14:01:28,9.86486486486487,11.567567567567558,65.62162162162159,67.35964223838752
555,555,AV3Ku9q0-R03vmj0O5JF,parking_record_index_v2,101a0d010119,2017-08-10T06:01:35.155Z,2017-08-10T06:01:34.000Z,837,fcffff0724ff47008bff31,yilan,宜蘭市中山路二段,1010,10.5.180.50,-95.0,0.8,1502344894.0,1.155,-220,71,-117,259.09457732650446,49,2017-08-10 14:01:34,10.86486486486487,8.567567567567558,70.62162162162159,71.96431020321185
536,536,AV3Ku_He-R03vmj0O5Jj,parking_record_index_v2,101a0d010119,2017-08-10T06:01:41.085Z,2017-08-10T06:00:17.000Z,838,fcffff0722ff4a008eff31,yilan,宜蘭市中山路二段,1010,192.168.0.225,-101.0,2.5,1502344817.0,84.085,-222,74,-114,260.29982712249347,49,2017-08-10 14:00:17,8.86486486486487,11.567567567567558,73.62162162162159,75.05023396832135
557,557,AV3KvCCZ-R03vmj0O5KV,parking_record_index_v2,101a0d010119,2017-08-10T06:01:53.048Z,2017-08-10T06:01:52.000Z,840,fcffff0723ff4b008fff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-73.0,30.5,1502344912.0,1.048,-221,75,-113,259.29712686414405,49,2017-08-10 14:01:52,9.86486486486487,12.567567567567558,74.62162162162159,76.31281495796026
558,558,AV3KvCxf-R03vmj0O5Kg,parking_record_index_v2,101a0d010119,2017-08-10T06:01:56.062Z,2017-08-10T06:01:55.000Z,841,fcffff0723ff4a008dff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,32.0,1502344915.0,1.062,-221,74,-115,259.8884376035225,49,2017-08-10 14:01:55,9.86486486486487,11.567567567567558,72.62162162162159,74.19584964933188
560,560,AV3KvH6p-R03vmj0O5MA,parking_record_index_v2,101a0d010119,2017-08-10T06:02:17.128Z,2017-08-10T06:02:16.000Z,845,fcffff0722ff4d008dff31,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,21.3,1502344936.0,1.128,-222,77,-115,261.60657484092405,49,2017-08-10 14:02:16,8.86486486486487,14.567567567567558,72.62162162162159,74.59691535755307
562,562,AV3KvIuk-R03vmj0O5MQ,parking_record_index_v2,101a0d010119,2017-08-10T06:02:20.451Z,2017-08-10T06:02:19.000Z,846,fcffff0722ff4c008dff32,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,21.3,1502344939.0,1.4509999999999998,-222,76,-115,261.313987379168,50,2017-08-10 14:02:19,8.86486486486487,13.567567567567558,72.62162162162159,74.40809529699575
564,564,AV3KvOj7-R03vmj0O5N2,parking_record_index_v2,101a0d010119,2017-08-10T06:02:44.346Z,2017-08-10T06:02:43.000Z,850,fcffff0723ff4b008dff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.0,21.2,1502344963.0,1.3459999999999999,-221,75,-115,260.17494114537624,49,2017-08-10 14:02:43,9.86486486486487,12.567567567567558,72.62162162162159,74.35831655115247
