,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
514,514,AV3KuIRO-R03vmj0O46X,parking_record_index_v2,101a0d01019a,2017-08-10T05:57:56.429Z,2017-08-10T05:57:56.000Z,1061,fcffff0728ff9b0076ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-68.8,-2.8,1502344676.0,0.429,-216,155,-138,299.5413160150032,48,2017-08-10 13:57:56,-26.773584905660414,42.490566037735846,52.96226415094338,72.98818037807287
515,515,AV3KuQBK-R03vmj0O48M,parking_record_index_v2,101a0d01019a,2017-08-10T05:58:28.169Z,2017-08-10T05:58:27.000Z,1067,fcffff0728ff9e0074ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,27.0,1502344707.0,1.169,-216,158,-140,302.026488904533,48,2017-08-10 13:58:27,-26.773584905660414,45.490566037735846,50.96226415094338,73.37144413547236
516,516,AV3KuQuw-R03vmj0O48X,parking_record_index_v2,101a0d01019a,2017-08-10T05:58:31.088Z,2017-08-10T05:58:30.000Z,1068,fcffff0729ff9e0074ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,31.2,1502344710.0,1.088,-215,158,-140,301.3121305224866,48,2017-08-10 13:58:30,-25.773584905660414,45.490566037735846,50.96226415094338,73.01247595249336
517,517,AV3KuRdK-R03vmj0O48k,parking_record_index_v2,101a0d01019a,2017-08-10T05:58:34.058Z,2017-08-10T05:58:33.000Z,1069,fcffff0729ff9d0074ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,25.0,1502344713.0,1.058,-215,157,-140,300.78896256345575,48,2017-08-10 13:58:33,-25.773584905660414,44.490566037735846,50.96226415094338,72.39364967065792
518,518,AV3KuSMi-R03vmj0O48z,parking_record_index_v2,101a0d01019a,2017-08-10T05:58:37.090Z,2017-08-10T05:58:36.000Z,1070,fcffff0729ff9b0075ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,32.0,1502344716.0,1.09,-215,155,-139,299.284145921564,48,2017-08-10 13:58:36,-25.773584905660414,42.490566037735846,51.96226415094338,71.90134057713314
519,519,AV3KuTQg-R03vmj0O49B,parking_record_index_v2,101a0d01019a,2017-08-10T05:58:41.439Z,2017-08-10T05:58:41.000Z,1071,fcffff0729ff990076ff2f,yilan,宜蘭市中山路二段,1001,10.5.151.1,-75.0,25.5,1502344721.0,0.439,-215,153,-138,297.7885155609598,47,2017-08-10 13:58:41,-25.773584905660414,40.490566037735846,52.96226415094338,71.47562550226361
520,520,AV3KuT_u-R03vmj0O49K,parking_record_index_v2,101a0d01019a,2017-08-10T05:58:44.461Z,2017-08-10T05:58:44.000Z,1072,fcffff0728ff990078ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-67.5,-8.5,1502344724.0,0.461,-216,153,-136,297.5920025807145,48,2017-08-10 13:58:44,-26.773584905660414,40.490566037735846,54.96226415094338,73.32912973269852
521,521,AV3KuUuf-R03vmj0O49S,parking_record_index_v2,101a0d01019a,2017-08-10T05:58:47.454Z,2017-08-10T05:58:47.000Z,1073,fcffff0728ff980079ff30,yilan,宜蘭市中山路二段,1001,10.5.180.16,-110.0,8.0,1502344727.0,0.45399999999999996,-216,152,-135,296.62265591151333,48,2017-08-10 13:58:47,-26.773584905660414,39.490566037735846,55.96226415094338,73.53981685849745
523,523,AV3KuYaL-R03vmj0O4-S,parking_record_index_v2,101a0d01019a,2017-08-10T05:59:02.537Z,2017-08-10T05:59:02.000Z,1078,fcffff0728ff980078ff2f,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,29.5,1502344742.0,0.537,-216,152,-136,297.0791140420343,47,2017-08-10 13:59:02,-26.773584905660414,39.490566037735846,54.96226415094338,72.78172940566512
524,524,AV3KuczI-R03vmj0O4_c,parking_record_index_v2,101a0d01019a,2017-08-10T05:59:20.519Z,2017-08-10T05:59:20.000Z,1084,fcffff0727ff990079ff30,yilan,宜蘭市中山路二段,1001,10.5.180.50,-104.8,-0.8,1502344760.0,0.519,-217,153,-135,297.86406295489894,48,2017-08-10 13:59:20,-27.773584905660414,40.490566037735846,55.96226415094338,74.448861411496
525,525,AV3KuitM-R03vmj0O5BS,parking_record_index_v2,101a0d01019a,2017-08-10T05:59:44.716Z,2017-08-10T05:59:44.000Z,1092,fcffff0727ff9a007bff30,yilan,宜蘭市中山路二段,1001,10.5.180.50,-97.0,11.3,1502344784.0,0.716,-217,154,-133,297.47941105226084,48,2017-08-10 13:59:44,-27.773584905660414,41.490566037735846,57.96226415094338,76.50139315167655
527,527,AV3Kuk3p-R03vmj0O5B1,parking_record_index_v2,101a0d01019a,2017-08-10T05:59:53.577Z,2017-08-10T05:59:53.000Z,1095,fcffff0727ff990079ff30,yilan,宜蘭市中山路二段,1001,10.5.180.50,-101.0,3.3,1502344793.0,0.5770000000000001,-217,153,-135,297.86406295489894,48,2017-08-10 13:59:53,-27.773584905660414,40.490566037735846,55.96226415094338,74.448861411496
526,526,AV3Ku35H-R03vmj0O5Hc,parking_record_index_v2,101a0d01019a,2017-08-10T06:01:11.495Z,2017-08-10T05:59:48.000Z,1121,fcffff0729ff9f0075ff30,yilan,宜蘭市中山路二段,1001,192.168.0.225,-99.0,3.8,1502344788.0,83.495,-215,159,-139,301.3751814599205,48,2017-08-10 13:59:48,-25.773584905660414,46.490566037735846,51.96226415094338,74.33523595907111
