,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
586,586,AV3KuJTG-R03vmj0O46q,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:00.645Z,2017-08-10T05:58:00.000Z,1017,fcffff070efea0ff07012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,24.5,1502344680.0,0.645,-498,-96,263,571.3046472767397,46,2017-08-10 13:58:00,-0.3939393939393767,13.333333333333314,11.060606060606034,17.328299756519378
587,587,AV3KuK5I-R03vmj0O47E,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:07.175Z,2017-08-10T05:58:06.000Z,1019,fcffff0710fea4ff0a012e,yilan,宜蘭市中山路二段,1016,10.5.180.50,-92.0,17.0,1502344686.0,1.175,-496,-92,266,570.294660679898,46,2017-08-10 13:58:06,1.6060606060606233,17.333333333333314,14.060606060606034,22.376874623287648
588,588,AV3KuM7s-R03vmj0O47d,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:15.531Z,2017-08-10T05:58:15.000Z,1022,fcffff070ffea0ff09012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-93.0,24.5,1502344695.0,0.531,-497,-96,265,571.3580313603721,46,2017-08-10 13:58:15,0.6060606060606233,13.333333333333314,13.060606060606034,18.674167127514277
589,589,AV3KuNuP-R03vmj0O47r,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:18.766Z,2017-08-10T05:58:18.000Z,1023,fcffff0710fea3ff0b012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,27.0,1502344698.0,0.7659999999999999,-496,-93,267,570.9238127806548,46,2017-08-10 13:58:18,1.6060606060606233,16.333333333333314,15.060606060606034,22.27507717968403
590,590,AV3KuOZw-R03vmj0O47z,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:21.551Z,2017-08-10T05:58:21.000Z,1024,fcffff0711fea3ff0a012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,15.5,1502344701.0,0.551,-495,-93,266,569.5875700890953,46,2017-08-10 13:58:21,2.6060606060606233,16.333333333333314,14.060606060606034,21.708753360149206
591,591,AV3KuQll-R03vmj0O48V,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:30.500Z,2017-08-10T05:58:30.000Z,1027,fcffff0711fea2ff0a012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,24.5,1502344710.0,0.5,-495,-94,266,569.7517003046153,46,2017-08-10 13:58:30,2.6060606060606233,15.333333333333314,14.060606060606034,20.966719003819428
592,592,AV3KuRj1-R03vmj0O48p,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:34.484Z,2017-08-10T05:58:33.000Z,1028,fcffff0710fea1ff0c012e,yilan,宜蘭市中山路二段,1016,10.5.180.50,-92.0,14.5,1502344713.0,1.484,-496,-95,268,571.7210858451872,46,2017-08-10 13:58:33,1.6060606060606233,14.333333333333314,16.060606060606034,21.586267443649422
593,593,AV3KuSze-R03vmj0O483,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:39.581Z,2017-08-10T05:58:39.000Z,1030,fcffff070ffea1ff0e012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-88.0,27.5,1502344719.0,0.581,-497,-95,270,573.5276802387135,46,2017-08-10 13:58:39,0.6060606060606233,14.333333333333314,18.060606060606034,23.065065470946788
595,595,AV3KuXN--R03vmj0O4-B,parking_record_index_v2,101a0d0101e4,2017-08-10T05:58:57.661Z,2017-08-10T05:58:57.000Z,1036,fcffff0710fea2ff11012e,yilan,宜蘭市中山路二段,1016,10.5.180.50,-102.0,15.0,1502344737.0,0.6609999999999999,-496,-94,273,573.917241420747,46,2017-08-10 13:58:57,1.6060606060606233,15.333333333333314,21.060606060606034,26.100568373533285
597,597,AV3KuX9M-R03vmj0O4-M,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:00.684Z,2017-08-10T05:59:00.000Z,1037,fcffff070ffea4ff12012e,yilan,宜蘭市中山路二段,1016,192.168.88.113,-82.0,20.0,1502344740.0,0.684,-497,-92,274,574.9339092452279,46,2017-08-10 13:59:00,0.6060606060606233,17.333333333333314,22.060606060606034,28.06211135434948
599,599,AV3KuaHL-R03vmj0O4-o,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:09.514Z,2017-08-10T05:59:09.000Z,1040,fcffff0710fea5ff0f012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-89.0,16.2,1502344749.0,0.514,-496,-91,271,572.4840609134895,46,2017-08-10 13:59:09,1.6060606060606233,18.333333333333314,19.060606060606034,26.495230611924512
600,600,AV3Kua5N-R03vmj0O4-8,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:12.716Z,2017-08-10T05:59:12.000Z,1041,fcffff0710fea7ff11012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,26.2,1502344752.0,0.716,-496,-89,273,573.1195337798215,46,2017-08-10 13:59:12,1.6060606060606233,20.333333333333314,21.060606060606034,29.31847545072593
601,601,AV3KucUE-R03vmj0O4_O,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:18.531Z,2017-08-10T05:59:18.000Z,1042,fcffff0711fea7ff0f012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-88.0,33.0,1502344758.0,0.531,-495,-89,271,571.3028968944583,46,2017-08-10 13:59:18,2.6060606060606233,20.333333333333314,19.060606060606034,27.991832732504605
602,602,AV3Kudys-R03vmj0O4_x,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:24.587Z,2017-08-10T05:59:24.000Z,1043,fcffff0710fea8ff10012e,yilan,宜蘭市中山路二段,1016,10.5.180.50,-94.0,13.8,1502344764.0,0.5870000000000001,-496,-88,272,572.489301210075,46,2017-08-10 13:59:24,1.6060606060606233,21.333333333333314,20.060606060606034,29.327776207893322
603,603,AV3KufSe-R03vmj0O5AP,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:30.718Z,2017-08-10T05:59:30.000Z,1044,fcffff070ffea7ff0e012e,yilan,宜蘭市中山路二段,1016,10.5.180.50,-96.0,15.8,1502344770.0,0.718,-497,-89,270,572.5644068574294,46,2017-08-10 13:59:30,0.6060606060606233,20.333333333333314,18.060606060606034,27.202890382807883
604,604,AV3Kugt--R03vmj0O5At,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:36.571Z,2017-08-10T05:59:36.000Z,1045,fcffff0710fea8ff0c012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,25.0,1502344776.0,0.5710000000000001,-496,-88,268,570.5996845424995,46,2017-08-10 13:59:36,1.6060606060606233,21.333333333333314,16.060606060606034,26.751329103717918
605,605,AV3KuiLF-R03vmj0O5BJ,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:42.533Z,2017-08-10T05:59:42.000Z,1046,fcffff0710fea8ff0d012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-85.0,28.8,1502344782.0,0.5329999999999999,-496,-88,269,571.0700482427702,46,2017-08-10 13:59:42,1.6060606060606233,21.333333333333314,17.060606060606034,27.36338467618064
606,606,AV3Kui6W-R03vmj0O5BW,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:45.557Z,2017-08-10T05:59:45.000Z,1047,fcffff0710fea9ff0d012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,25.0,1502344785.0,0.557,-496,-87,269,570.9168065489051,46,2017-08-10 13:59:45,1.6060606060606233,22.333333333333314,17.060606060606034,28.14998201781493
607,607,AV3KujpP-R03vmj0O5Be,parking_record_index_v2,101a0d0101e4,2017-08-10T05:59:48.558Z,2017-08-10T05:59:48.000Z,1048,fcffff070ffea8ff0c012e,yilan,宜蘭市中山路二段,1016,10.5.151.1,-88.0,16.2,1502344788.0,0.5579999999999999,-497,-88,268,571.4691592728342,46,2017-08-10 13:59:48,0.6060606060606233,21.333333333333314,16.060606060606034,26.70995109698451
594,594,AV3KupkX-R03vmj0O5DM,parking_record_index_v2,101a0d0101e4,2017-08-10T06:00:12.822Z,2017-08-10T05:58:49.000Z,1053,fcffff070ffea5ff12012e,yilan,宜蘭市中山路二段,1016,192.168.0.225,-107.2,-0.2,1502344729.0,83.822,-497,-91,274,574.774738484565,46,2017-08-10 13:58:49,0.6060606060606233,18.333333333333314,22.060606060606034,28.69056918798539
