,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
340,340,AV3KuJRa-R03vmj0O46o,parking_record_index_v2,101a0d0100b5,2017-08-10T05:58:00.538Z,2017-08-10T05:58:00.000Z,771,fcffff070affbaff63ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-94.0,12.5,1502344680.0,0.5379999999999999,-246,-70,-157,300.10831378020833,33,2017-08-10 13:58:00,-283.57894736842104,138.73684210526315,-145.57894736842104,347.64660312567406
342,342,AV3KuNqm-R03vmj0O47p,parking_record_index_v2,101a0d0100b5,2017-08-10T05:58:18.534Z,2017-08-10T05:58:18.000Z,774,fcffff070affc0ff63ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-73.0,27.5,1502344698.0,0.534,-246,-64,-157,298.76579456155946,33,2017-08-10 13:58:18,-283.57894736842104,144.73684210526315,-145.57894736842104,350.0842795243498
343,343,AV3KuQlA-R03vmj0O48U,parking_record_index_v2,101a0d0100b5,2017-08-10T05:58:30.463Z,2017-08-10T05:58:30.000Z,776,fcffff070cffc3ff61ff21,yilan,宜蘭市中山路二段,1004,192.168.88.113,-81.0,14.5,1502344710.0,0.46299999999999997,-244,-61,-159,297.5533565597942,33,2017-08-10 13:58:30,-281.57894736842104,147.73684210526315,-147.57894736842104,350.5601572094505
345,345,AV3KuSCO-R03vmj0O48v,parking_record_index_v2,101a0d0100b5,2017-08-10T05:58:36.428Z,2017-08-10T05:58:36.000Z,777,fcffff070cffbeff5dff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-105.0,12.5,1502344716.0,0.428,-244,-66,-163,300.7673519516372,33,2017-08-10 13:58:36,-281.57894736842104,142.73684210526315,-151.57894736842104,350.1952126751726
346,346,AV3KuWgb-R03vmj0O49v,parking_record_index_v2,101a0d0100b5,2017-08-10T05:58:54.746Z,2017-08-10T05:58:54.000Z,780,fcffff070cffbcff5dff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-75.0,25.5,1502344734.0,0.746,-244,-68,-163,301.21254953935767,33,2017-08-10 13:58:54,-281.57894736842104,140.73684210526315,-151.57894736842104,349.3848016330824
347,347,AV3KuY3R-R03vmj0O4-Y,parking_record_index_v2,101a0d0100b5,2017-08-10T05:59:04.401Z,2017-08-10T05:59:03.000Z,782,fcffff070cffbbff5cff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-75.0,28.0,1502344743.0,1.401,-244,-69,-164,301.9817875303079,33,2017-08-10 13:59:03,-281.57894736842104,139.73684210526315,-152.57894736842104,349.4186941517506
348,348,AV3Kua2Z-R03vmj0O4-5,parking_record_index_v2,101a0d0100b5,2017-08-10T05:59:12.536Z,2017-08-10T05:59:12.000Z,784,fcffff070bffb6ff5eff21,yilan,宜蘭市中山路二段,1004,192.168.88.113,-81.0,17.5,1502344752.0,0.536,-245,-74,-162,302.89437102726095,33,2017-08-10 13:59:12,-282.57894736842104,134.73684210526315,-150.57894736842104,347.388683619552
351,351,AV3Kuepj-R03vmj0O5AB,parking_record_index_v2,101a0d0100b5,2017-08-10T05:59:28.098Z,2017-08-10T05:59:27.000Z,787,fcffff070affb8ff60ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-94.0,17.0,1502344767.0,1.0979999999999999,-246,-72,-160,302.1588985947625,33,2017-08-10 13:59:27,-283.57894736842104,136.73684210526315,-148.57894736842104,348.1230917083919
353,353,AV3Kuf85-R03vmj0O5Ab,parking_record_index_v2,101a0d0100b5,2017-08-10T05:59:33.432Z,2017-08-10T05:59:33.000Z,788,fcffff070affb9ff62ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-72.0,20.5,1502344773.0,0.4320000000000001,-246,-71,-158,300.8670802862952,33,2017-08-10 13:59:33,-283.57894736842104,137.73684210526315,-146.57894736842104,347.66916008663503
354,354,AV3Kuhc0-R03vmj0O5A7,parking_record_index_v2,101a0d0100b5,2017-08-10T05:59:39.571Z,2017-08-10T05:59:39.000Z,789,fcffff070affb9ff62ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71.0,26.2,1502344779.0,0.5710000000000001,-246,-71,-158,300.8670802862952,33,2017-08-10 13:59:39,-283.57894736842104,137.73684210526315,-146.57894736842104,347.66916008663503
355,355,AV3Kui6O-R03vmj0O5BV,parking_record_index_v2,101a0d0100b5,2017-08-10T05:59:45.549Z,2017-08-10T05:59:45.000Z,790,fcffff070affb9ff5fff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-75.0,24.5,1502344785.0,0.5489999999999999,-246,-71,-161,302.45330218068375,33,2017-08-10 13:59:45,-283.57894736842104,137.73684210526315,-149.57894736842104,348.94457806298806
