,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
754,754,AV3KuIrz-R03vmj0O46i,parking_record_index_v2,101a0d0100cc,2017-08-10T05:57:58.130Z,2017-08-10T05:57:57.000Z,814,fcffff07dcfee8ff78ff2c,yilan,宜蘭市中山路二段,1002,192.168.88.113,-85.0,17.0,1502344677.0,1.13,-292,-24,-136,323.0108357315587,44,2017-08-10 13:57:57,-18.843137254901933,-7.588235294117652,-17.098039215686285,26.5516116555495
757,757,AV3KuJXe-R03vmj0O46r,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:00.926Z,2017-08-10T05:58:00.000Z,815,fcffff07dbfee9ff76ff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,13.0,1502344680.0,0.9259999999999999,-293,-23,-138,324.6875421077932,45,2017-08-10 13:58:00,-19.843137254901933,-6.588235294117652,-19.098039215686285,28.31766307962975
759,759,AV3KuMUj-R03vmj0O47Y,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:13.027Z,2017-08-10T05:58:12.000Z,817,fcffff07d9fef0ff7eff2c,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,28.0,1502344692.0,1.0270000000000001,-295,-16,-130,322.77081652466666,44,2017-08-10 13:58:12,-21.843137254901933,0.4117647058823479,-11.098039215686285,24.50425819612595
761,761,AV3KuND5-R03vmj0O47f,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:16.056Z,2017-08-10T05:58:15.000Z,818,fcffff07dafeedff79ff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-79.0,24.5,1502344695.0,1.056,-294,-19,-135,324.07097987940847,45,2017-08-10 13:58:15,-20.843137254901933,-2.588235294117652,-16.098039215686285,26.462845635988785
762,762,AV3KuNyW-R03vmj0O47u,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:19.029Z,2017-08-10T05:58:18.000Z,819,fcffff07d9fef1ff7eff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-72.0,23.8,1502344698.0,1.0290000000000001,-295,-15,-130,322.7227912620985,45,2017-08-10 13:58:18,-21.843137254901933,1.411764705882348,-11.098039215686285,24.541438408417925
763,763,AV3KuOgc-R03vmj0O471,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:21.979Z,2017-08-10T05:58:21.000Z,820,fcffff07dafef2ff7cff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,23.8,1502344701.0,0.9790000000000001,-294,-14,-132,322.5771225614117,45,2017-08-10 13:58:21,-20.843137254901933,2.411764705882348,-13.098039215686285,24.734825872014472
764,764,AV3KuQBI-R03vmj0O48L,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:28.168Z,2017-08-10T05:58:27.000Z,821,fcffff07d9fef3ff7fff2c,yilan,宜蘭市中山路二段,1002,10.5.151.1,-79.0,25.5,1502344707.0,1.168,-295,-13,-129,322.2343867435628,44,2017-08-10 13:58:27,-21.843137254901933,3.411764705882348,-10.098039215686285,24.305003179311196
765,765,AV3KuRfn-R03vmj0O48n,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:34.214Z,2017-08-10T05:58:33.000Z,822,fcffff07d9fef5ff7fff2c,yilan,宜蘭市中山路二段,1002,192.168.88.113,-89.0,16.3,1502344713.0,1.214,-295,-11,-129,322.15989818722005,44,2017-08-10 13:58:33,-21.843137254901933,5.411764705882348,-10.098039215686285,24.665365157845457
769,769,AV3KuSMh-R03vmj0O48y,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:37.088Z,2017-08-10T05:58:36.000Z,823,fcffff07d9fef6ff7dff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,31.2,1502344716.0,1.088,-295,-10,-131,322.9334296724326,45,2017-08-10 13:58:36,-21.843137254901933,6.411764705882348,-12.098039215686285,25.779758040842168
770,770,AV3KuS4g-R03vmj0O485,parking_record_index_v2,101a0d0100cc,2017-08-10T05:58:39.903Z,2017-08-10T05:58:39.000Z,824,fcffff07dafef7ff7cff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-75.0,27.0,1502344719.0,0.903,-294,-9,-132,322.3988213377958,45,2017-08-10 13:58:39,-20.843137254901933,7.411764705882348,-13.098039215686285,25.708544454669152
