,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
0,0,AV3KlKMF-R03vmj0O2ZB,parking_record_index_v2,101a0d0100d9,2017-08-10T05:18:44.996Z,2017-08-10T05:18:44.000Z,342,fcffff07f7fea9ffe3fe27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-89.0,24.5,1502342324.0,0.996,-265,-87,-285,398.77186460431227,39,2017-08-10 13:18:44,1.555555555555543,-2.3333333333333286,-2.055555555555543,3.4769967174041727
1,1,AV3KlLqG-R03vmj0O2ZT,parking_record_index_v2,101a0d0100d9,2017-08-10T05:18:51.013Z,2017-08-10T05:18:50.000Z,344,fcffff07f6fea6ffe4fe26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-90.0,28.8,1502342330.0,1.013,-266,-90,-284,399.3895341643294,38,2017-08-10 13:18:50,0.5555555555555429,-5.333333333333329,-1.055555555555543,5.465096883918637
2,2,AV3KlMgl-R03vmj0O2Ze,parking_record_index_v2,101a0d0100d9,2017-08-10T05:18:54.499Z,2017-08-10T05:18:53.000Z,345,fcffff07f5fea8ffe7fe26,yilan,宜蘭市中山路二段,1006,192.168.88.113,-85.0,15.8,1502342333.0,1.499,-267,-88,-281,397.48459089630137,38,2017-08-10 13:18:53,-0.4444444444444571,-3.3333333333333286,1.944444444444457,3.8845213569807457
4,4,AV3KlN2_-R03vmj0O2Z6,parking_record_index_v2,101a0d0100d9,2017-08-10T05:19:00.030Z,2017-08-10T05:18:59.000Z,347,fcffff07f5feacffe8fe26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-102.0,31.2,1502342339.0,1.03,-267,-84,-280,395.9103433859742,38,2017-08-10 13:18:59,-0.4444444444444571,0.6666666666666714,2.944444444444457,3.0515124766354504
5,5,AV3KlOl0-R03vmj0O2aG,parking_record_index_v2,101a0d0100d9,2017-08-10T05:19:03.027Z,2017-08-10T05:19:02.000Z,348,fcffff07f5feaeffe7fe26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-87.0,25.0,1502342342.0,1.0270000000000001,-267,-82,-281,396.1994447244973,38,2017-08-10 13:19:02,-0.4444444444444571,2.6666666666666714,1.944444444444457,3.3300910156990593
6,6,AV3KlPUr-R03vmj0O2aT,parking_record_index_v2,101a0d0100d9,2017-08-10T05:19:06.026Z,2017-08-10T05:19:05.000Z,349,fcffff07f5feafffe6fe26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-90.0,28.0,1502342345.0,1.026,-267,-81,-282,396.703919819303,38,2017-08-10 13:19:05,-0.4444444444444571,3.6666666666666714,0.9444444444444571,3.812341880955067
8,8,AV3KlRg6-R03vmj0O2a1,parking_record_index_v2,101a0d0100d9,2017-08-10T05:19:15.002Z,2017-08-10T05:19:14.000Z,351,fcffff07f5feaeffe6fe26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-96.0,26.2,1502342354.0,1.002,-267,-82,-282,396.90930954060525,38,2017-08-10 13:19:14,-0.4444444444444571,2.6666666666666714,0.9444444444444571,2.8636719930799823
9,9,AV3KlTAI-R03vmj0O2bM,parking_record_index_v2,101a0d0100d9,2017-08-10T05:19:21.095Z,2017-08-10T05:19:20.000Z,352,fcffff07f5feacffe7fe26,yilan,宜蘭市中山路二段,1006,10.5.180.50,-97.0,11.3,1502342360.0,1.095,-267,-84,-281,396.61820432249453,38,2017-08-10 13:19:20,-0.4444444444444571,0.6666666666666714,1.944444444444457,2.103054803416427
10,10,AV3KlV7a-R03vmj0O2cJ,parking_record_index_v2,101a0d0100d9,2017-08-10T05:19:33.081Z,2017-08-10T05:19:32.000Z,354,fcffff07f7fea9ffe3fe25,yilan,宜蘭市中山路二段,1006,192.168.88.113,-84.5,-0.5,1502342372.0,1.081,-265,-87,-285,398.77186460431227,37,2017-08-10 13:19:32,1.555555555555543,-2.3333333333333286,-2.055555555555543,3.4769967174041727
12,12,AV3KlWpA-R03vmj0O2cR,parking_record_index_v2,101a0d0100d9,2017-08-10T05:19:35.999Z,2017-08-10T05:19:35.000Z,355,fcffff07f6feaeffe3fe26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-98.0,8.0,1502342375.0,0.9990000000000001,-266,-82,-285,398.3779612378176,38,2017-08-10 13:19:35,0.5555555555555429,2.6666666666666714,-2.055555555555543,3.412486150652486
