,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
0,0,AV3KlMcQ-R03vmj0O2Zd,parking_record_index_v2,101a0d0100dc,2017-08-10T05:18:54.223Z,2017-08-10T05:18:53.000Z,278,fcffff071cff7aff82ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-70.5,-3.5,1502342333.0,1.2229999999999999,-228,-134,-126,292.9436805940691,34,2017-08-10 13:18:53,-0.9090909090909065,3.363636363636374,-0.6060606060606091,3.536637573456914
1,1,AV3KlNK1-R03vmj0O2Zp,parking_record_index_v2,101a0d0100dc,2017-08-10T05:18:57.204Z,2017-08-10T05:18:56.000Z,279,fcffff071dff7bff81ff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-103.8,-2.8,1502342336.0,1.204,-227,-133,-127,292.14208871711725,34,2017-08-10 13:18:56,0.09090909090909349,4.363636363636374,-1.606060606060609,4.650700747973295
2,2,AV3KlN66-R03vmj0O2Z8,parking_record_index_v2,101a0d0100dc,2017-08-10T05:19:00.281Z,2017-08-10T05:18:59.000Z,280,fcffff071dff7aff80ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-90.0,30.0,1502342339.0,1.281,-227,-134,-128,293.0341277052896,34,2017-08-10 13:18:59,0.09090909090909349,3.363636363636374,-2.606060606060609,4.256038760637388
6,6,AV3KlhtX-R03vmj0O2fO,parking_record_index_v2,101a0d0100dc,2017-08-10T05:20:21.334Z,2017-08-10T05:20:20.000Z,294,fcffff071dff76ff7fff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84.0,33.8,1502342420.0,1.334,-227,-138,-129,295.32016524443435,33,2017-08-10 13:20:20,0.09090909090909349,-0.636363636363626,-3.606060606060609,3.66290816634516
7,7,AV3KljJ8-R03vmj0O2fp,parking_record_index_v2,101a0d0100dc,2017-08-10T05:20:27.259Z,2017-08-10T05:20:26.000Z,295,fcffff071dff79ff80ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,10.0,1502342426.0,1.2590000000000001,-227,-135,-128,293.492759706266,33,2017-08-10 13:20:26,0.09090909090909349,2.363636363636374,-2.606060606060609,3.519459220501793
8,8,AV3KlmG8-R03vmj0O2gi,parking_record_index_v2,101a0d0100dc,2017-08-10T05:20:39.354Z,2017-08-10T05:20:38.000Z,297,fcffff071dff7aff85ff21,yilan,宜蘭市中山路二段,1003,10.5.180.16,-120.2,-7.2,1502342438.0,1.354,-227,-134,-123,290.8848569451493,33,2017-08-10 13:20:38,0.09090909090909349,3.363636363636374,2.393939393939391,4.129559282955234
10,10,AV3KlnkR-R03vmj0O2g3,parking_record_index_v2,101a0d0100dc,2017-08-10T05:20:45.328Z,2017-08-10T05:20:44.000Z,299,fcffff071cff79ff84ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-78.0,25.5,1502342444.0,1.328,-228,-135,-124,292.5491411711885,33,2017-08-10 13:20:44,-0.9090909090909065,2.363636363636374,1.393939393939391,2.8907248527786296
4,4,AV3KlrT8-R03vmj0O2iC,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:00.667Z,2017-08-10T05:19:36.000Z,304,fcffff071dff73ff84ff21,yilan,宜蘭市中山路二段,1003,192.168.0.225,-111.2,-8.2,1502342376.0,84.667,-227,-141,-124,294.59463674683565,33,2017-08-10 13:19:36,0.09090909090909349,-3.636363636363626,1.393939393939391,3.8954424642976986
5,5,AV3Klr7t-R03vmj0O2iR,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:03.212Z,2017-08-10T05:19:39.000Z,305,fcffff071dff73ff85ff21,yilan,宜蘭市中山路二段,1003,192.168.0.225,-118.0,-12.0,1502342379.0,84.212,-227,-141,-123,294.17511791448305,33,2017-08-10 13:19:39,0.09090909090909349,-3.636363636363626,2.393939393939391,4.3545781403636
13,13,AV3Klu2d-R03vmj0O2jK,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:15.164Z,2017-08-10T05:21:14.000Z,309,fcffff071dff7bff82ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,28.8,1502342474.0,1.1640000000000001,-227,-133,-126,291.70875886747035,33,2017-08-10 13:21:14,0.09090909090909349,4.363636363636374,-0.6060606060606091,4.406460737948104
14,14,AV3KlwU3-R03vmj0O2jx,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:21.206Z,2017-08-10T05:21:20.000Z,311,fcffff071cff7aff85ff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-106.8,-4.8,1502342480.0,1.206,-228,-134,-123,291.6659047609096,33,2017-08-10 13:21:20,-0.9090909090909065,3.363636363636374,2.393939393939391,4.227462795770479
16,16,AV3KlxEJ-R03vmj0O2j-,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:24.232Z,2017-08-10T05:21:23.000Z,312,fcffff071cff78ff86ff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-105.5,-3.5,1502342483.0,1.232,-228,-136,-122,292.1711826994579,33,2017-08-10 13:21:23,-0.9090909090909065,1.363636363636374,3.393939393939391,3.768922262790365
17,17,AV3KlyjQ-R03vmj0O2kU,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:30.319Z,2017-08-10T05:21:29.000Z,314,fcffff071eff72ff84ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,30.5,1502342489.0,1.319,-226,-142,-124,294.3059632423373,32,2017-08-10 13:21:29,1.0909090909090935,-4.636363636363626,1.393939393939391,4.9627630859430685
18,18,AV3Klz-v-R03vmj0O2ks,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:36.175Z,2017-08-10T05:21:35.000Z,316,fcffff071dff76ff80ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-69.8,-2.8,1502342495.0,1.175,-227,-138,-128,294.88472323943813,32,2017-08-10 13:21:35,0.09090909090909349,-0.636363636363626,-2.606060606060609,2.6841711985186123
19,19,AV3Kl0uS-R03vmj0O2k7,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:39.217Z,2017-08-10T05:21:38.000Z,317,fcffff071dff79ff80ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,28.8,1502342498.0,1.217,-227,-135,-128,293.492759706266,32,2017-08-10 13:21:38,0.09090909090909349,2.363636363636374,-2.606060606060609,3.519459220501793
20,20,AV3Kl2MI-R03vmj0O2la,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:45.223Z,2017-08-10T05:21:44.000Z,319,fcffff071dff7bff82ff20,yilan,宜蘭市中山路二段,1003,10.5.180.50,-104.0,-1.0,1502342504.0,1.2229999999999999,-227,-133,-126,291.70875886747035,32,2017-08-10 13:21:44,0.09090909090909349,4.363636363636374,-0.6060606060606091,4.406460737948104
21,21,AV3Kl2__-R03vmj0O2ln,parking_record_index_v2,101a0d0100dc,2017-08-10T05:21:48.542Z,2017-08-10T05:21:47.000Z,320,fcffff071cff7bff83ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84.0,24.5,1502342507.0,1.5419999999999998,-228,-133,-125,292.05821337534746,32,2017-08-10 13:21:47,-0.9090909090909065,4.363636363636374,0.3939393939393909,4.474701871760703
23,23,AV3Kl6kY-R03vmj0O2mn,parking_record_index_v2,101a0d0100dc,2017-08-10T05:22:03.159Z,2017-08-10T05:22:02.000Z,325,fcffff071dff7bff83ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,25.5,1502342522.0,1.159,-227,-133,-125,291.2782175172047,32,2017-08-10 13:22:02,0.09090909090909349,4.363636363636374,0.3939393939393909,4.382325298623658
24,24,AV3Kl8DP-R03vmj0O2m-,parking_record_index_v2,101a0d0100dc,2017-08-10T05:22:09.230Z,2017-08-10T05:22:08.000Z,327,fcffff071dff7aff82ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-91.8,-7.8,1502342528.0,1.23,-227,-134,-126,292.1660486778024,32,2017-08-10 13:22:08,0.09090909090909349,3.363636363636374,-0.6060606060606091,3.419009141228698
26,26,AV3Kl9iD-R03vmj0O2nX,parking_record_index_v2,101a0d0100dc,2017-08-10T05:22:15.298Z,2017-08-10T05:22:14.000Z,329,fcffff071dff77ff80ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,32.5,1502342534.0,1.298,-227,-137,-128,294.418070097608,32,2017-08-10 13:22:14,0.09090909090909349,0.36363636363637397,-2.606060606060609,2.632878225484345
27,27,AV3Kl-Pu-R03vmj0O2ng,parking_record_index_v2,101a0d0100dc,2017-08-10T05:22:18.221Z,2017-08-10T05:22:17.000Z,330,fcffff071eff75ff83ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-82.0,28.8,1502342537.0,1.2209999999999999,-226,-139,-125,293.2950732624058,32,2017-08-10 13:22:17,1.0909090909090935,-1.636363636363626,0.3939393939393909,2.005730999196709
28,28,AV3Kl_tm-R03vmj0O2n5,parking_record_index_v2,101a0d0100dc,2017-08-10T05:22:24.230Z,2017-08-10T05:22:23.000Z,332,fcffff071dff74ff81ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-82.0,29.5,1502342543.0,1.23,-227,-140,-127,295.39465127181967,32,2017-08-10 13:22:23,0.09090909090909349,-2.636363636363626,-1.606060606060609,3.08838280598279
