,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
0,0,AV3KlN-f-R03vmj0O2Z9,parking_record_index_v2,101a0d0100b5,2017-08-10T05:19:00.511Z,2017-08-10T05:19:00.000Z,247,fcffff0726002dfff6ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-82.0,25.5,1502342340.0,0.511,38,-211,-10,214.62758443406102,33,2017-08-10 13:19:00,0.4210526315789451,-2.2631578947368496,1.421052631578947,2.705283637030826
1,1,AV3KlT03-R03vmj0O2bc,parking_record_index_v2,101a0d0100b5,2017-08-10T05:19:24.470Z,2017-08-10T05:19:24.000Z,251,fcffff0726002dfff1ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-101.0,0.8,1502342364.0,0.47,38,-211,-15,214.91858923787862,33,2017-08-10 13:19:24,0.4210526315789451,-2.2631578947368496,-3.578947368421053,4.255353480146774
2,2,AV3KlYOM-R03vmj0O2cn,parking_record_index_v2,101a0d0100b5,2017-08-10T05:19:42.475Z,2017-08-10T05:19:42.000Z,254,fcffff0726002cfff2ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-100.0,4.5,1502342382.0,0.475,38,-212,-14,215.8332689832594,33,2017-08-10 13:19:42,0.4210526315789451,-3.2631578947368496,-2.578947368421053,4.180484935223288
4,4,AV3KlfiR-R03vmj0O2et,parking_record_index_v2,101a0d0100b5,2017-08-10T05:20:12.432Z,2017-08-10T05:20:12.000Z,259,fcffff07260033fff5ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-87.0,30.0,1502342412.0,0.4320000000000001,38,-205,-11,208.7821831478922,32,2017-08-10 13:20:12,0.4210526315789451,3.7368421052631504,0.4210526315789469,3.7839872564249797
5,5,AV3Klidr-R03vmj0O2fd,parking_record_index_v2,101a0d0100b5,2017-08-10T05:20:24.426Z,2017-08-10T05:20:24.000Z,261,fcffff0725002dfff6ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-84.0,25.0,1502342424.0,0.426,37,-211,-10,214.4527920079382,32,2017-08-10 13:20:24,-0.5789473684210549,-2.2631578947368496,1.421052631578947,2.7343105700759094
6,6,AV3KlnoV-R03vmj0O2g4,parking_record_index_v2,101a0d0100b5,2017-08-10T05:20:45.588Z,2017-08-10T05:20:45.000Z,265,fcffff0727002ffff0ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-83.0,20.5,1502342445.0,0.588,39,-209,-16,213.2088178289069,32,2017-08-10 13:20:45,1.4210526315789451,-0.2631578947368496,-4.578947368421053,4.80160407177121
8,8,AV3Klu6p-R03vmj0O2jL,parking_record_index_v2,101a0d0100b5,2017-08-10T05:21:15.433Z,2017-08-10T05:21:15.000Z,270,fcffff0725002cfff2ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-85.0,25.5,1502342475.0,0.433,37,-212,-14,215.65945376913112,32,2017-08-10 13:21:15,-0.5789473684210549,-3.2631578947368496,-2.578947368421053,4.199327211646048
10,10,AV3Kl0yE-R03vmj0O2k9,parking_record_index_v2,101a0d0100b5,2017-08-10T05:21:39.459Z,2017-08-10T05:21:39.000Z,274,fcffff0725002dfff6ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-84.0,31.2,1502342499.0,0.45899999999999996,37,-211,-10,214.4527920079382,32,2017-08-10 13:21:39,-0.5789473684210549,-2.2631578947368496,1.421052631578947,2.7343105700759094
11,11,AV3Kl1hR-R03vmj0O2lP,parking_record_index_v2,101a0d0100b5,2017-08-10T05:21:42.480Z,2017-08-10T05:21:42.000Z,275,fcffff0725002cfff4ff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-102.0,-1.0,1502342502.0,0.48,37,-212,-12,215.5388596054085,32,2017-08-10 13:21:42,-0.5789473684210549,-3.2631578947368496,-0.5789473684210531,3.3643066977888263
12,12,AV3Kl3Dw-R03vmj0O2lp,parking_record_index_v2,101a0d0100b5,2017-08-10T05:21:48.784Z,2017-08-10T05:21:48.000Z,276,fcffff0726002cfff0ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-84.0,23.8,1502342508.0,0.784,38,-212,-16,215.97222043587,32,2017-08-10 13:21:48,0.4210526315789451,-3.2631578947368496,-4.578947368421053,5.6384611169461
13,13,AV3Kl57z-R03vmj0O2mZ,parking_record_index_v2,101a0d0100b5,2017-08-10T05:22:00.562Z,2017-08-10T05:22:00.000Z,278,fcffff0726002dfff3ff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-102.3,-1.3,1502342520.0,0.562,38,-211,-13,214.78826783602497,32,2017-08-10 13:22:00,0.4210526315789451,-2.2631578947368496,-1.578947368421053,2.791459074984452
7,7,AV3Kl81U-R03vmj0O2nJ,parking_record_index_v2,101a0d0100b5,2017-08-10T05:22:12.435Z,2017-08-10T05:20:49.000Z,280,fcffff0725002dfff8ff20,yilan,宜蘭市中山路二段,1004,192.168.0.225,-119.8,-10.8,1502342449.0,83.435,37,-211,-8,214.36884101939816,32,2017-08-10 13:20:49,-0.5789473684210549,-2.2631578947368496,3.421052631578947,4.142543279187875
16,16,AV3Kl-T_-R03vmj0O2nh,parking_record_index_v2,101a0d0100b5,2017-08-10T05:22:18.494Z,2017-08-10T05:22:18.000Z,281,fcffff07250031fff7ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-84.0,24.5,1502342538.0,0.494,37,-207,-9,210.47327621339485,32,2017-08-10 13:22:18,-0.5789473684210549,1.7368421052631504,2.421052631578947,3.035341232693936
17,17,AV3KmAhR-R03vmj0O2oB,parking_record_index_v2,101a0d0100b5,2017-08-10T05:22:27.537Z,2017-08-10T05:22:27.000Z,283,fcffff07260033fff5ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-87.0,27.5,1502342547.0,0.537,38,-205,-11,208.7821831478922,32,2017-08-10 13:22:27,0.4210526315789451,3.7368421052631504,0.4210526315789469,3.7839872564249797
19,19,AV3KmB-h-R03vmj0O2oa,parking_record_index_v2,101a0d0100b5,2017-08-10T05:22:33.504Z,2017-08-10T05:22:33.000Z,284,fcffff07250034fff4ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-87.0,23.8,1502342553.0,0.504,37,-204,-12,207.6752272178846,32,2017-08-10 13:22:33,-0.5789473684210549,4.73684210526315,-0.5789473684210531,4.807081572118073
20,20,AV3KmGYa-R03vmj0O2pd,parking_record_index_v2,101a0d0100b5,2017-08-10T05:22:51.546Z,2017-08-10T05:22:51.000Z,287,fcffff07250032fff8ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-84.0,25.5,1502342571.0,0.546,37,-206,-8,209.44927786936864,32,2017-08-10 13:22:51,-0.5789473684210549,2.7368421052631504,3.421052631578947,4.419172532564907
9,9,AV3KmHQY-R03vmj0O2pr,parking_record_index_v2,101a0d0100b5,2017-08-10T05:22:55.128Z,2017-08-10T05:21:31.000Z,288,fcffff07250033fff7ff20,yilan,宜蘭市中山路二段,1004,192.168.0.225,-115.8,-6.8,1502342491.0,84.12799999999999,37,-205,-9,208.5065946199304,32,2017-08-10 13:21:31,-0.5789473684210549,3.7368421052631504,2.421052631578947,4.490062897103396
24,24,AV3KmP3f-R03vmj0O2r1,parking_record_index_v2,101a0d0100b5,2017-08-10T05:23:30.398Z,2017-08-10T05:23:30.000Z,294,fcffff07250030fff7ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-87.0,30.5,1502342610.0,0.39799999999999996,37,-208,-9,211.45685139053782,32,2017-08-10 13:23:30,-0.5789473684210549,0.7368421052631504,2.421052631578947,2.5960763063449503
25,25,AV3KmRVA-R03vmj0O2sT,parking_record_index_v2,101a0d0100b5,2017-08-10T05:23:36.384Z,2017-08-10T05:23:36.000Z,295,fcffff07270035fff6ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-84.0,32.0,1502342616.0,0.384,39,-203,-10,206.95410119154442,32,2017-08-10 13:23:36,1.4210526315789451,5.73684210526315,1.421052631578947,6.078662558832743
