,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
118,118,AV3KoDiA-R03vmj0O3LI,parking_record_index_v2,101a0d0100dc,2017-08-10T05:31:24.159Z,2017-08-10T05:31:23.000Z,461,fcffff07f8febeff73ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-65.0,12.5,1502343083.0,1.159,-264,-66,-141,306.48490990585486,32,2017-08-10 13:31:23,-36.90909090909091,71.36363636363637,-15.606060606060595,81.84496755706424
119,119,AV3KoE_z-R03vmj0O3Ld,parking_record_index_v2,101a0d0100dc,2017-08-10T05:31:30.162Z,2017-08-10T05:31:29.000Z,462,fcffff07f9febfff74ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-110.5,-2.5,1502343089.0,1.162,-263,-65,-140,304.94917609332873,32,2017-08-10 13:31:29,-35.90909090909091,72.36363636363637,-14.606060606060595,82.09321338645398
120,120,AV3KoFuS-R03vmj0O3Lp,parking_record_index_v2,101a0d0100dc,2017-08-10T05:31:33.136Z,2017-08-10T05:31:32.000Z,463,fcffff07f8febfff72ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-108.0,5.5,1502343092.0,1.136,-264,-65,-142,306.73278272789815,32,2017-08-10 13:31:32,-36.90909090909091,72.36363636363637,-16.606060606060595,82.91283440069029
121,121,AV3KoHOV-R03vmj0O3MC,parking_record_index_v2,101a0d0100dc,2017-08-10T05:31:39.284Z,2017-08-10T05:31:38.000Z,464,fcffff070cff7dffb8ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84.0,28.8,1502343098.0,1.284,-244,-131,-72,286.14856281309534,32,2017-08-10 13:31:38,-16.909090909090907,6.363636363636374,53.393939393939405,56.36777436748918
122,122,AV3KoNFf-R03vmj0O3Ni,parking_record_index_v2,101a0d0100dc,2017-08-10T05:32:03.294Z,2017-08-10T05:32:02.000Z,468,fcffff071cff75ff51ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84.0,26.2,1502343122.0,1.294,-228,-139,-175,319.2647803939545,32,2017-08-10 13:32:02,-0.9090909090909065,-1.636363636363626,-49.606060606060595,49.64136763913301
123,123,AV3KoOhz-R03vmj0O3N5,parking_record_index_v2,101a0d0100dc,2017-08-10T05:32:09.202Z,2017-08-10T05:32:08.000Z,469,fcffff071cff73ff51ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,35.0,1502343128.0,1.202,-228,-141,-175,320.14059411452337,32,2017-08-10 13:32:08,-0.9090909090909065,-3.636363636363626,-49.606060606060595,49.74747064554153
124,124,AV3KoP_J-R03vmj0O3OR,parking_record_index_v2,101a0d0100dc,2017-08-10T05:32:15.176Z,2017-08-10T05:32:14.000Z,470,fcffff071cff73ff51ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-67.5,-1.5,1502343134.0,1.176,-228,-141,-175,320.14059411452337,32,2017-08-10 13:32:14,-0.9090909090909065,-3.636363636363626,-49.606060606060595,49.74747064554153
125,125,AV3KoQum-R03vmj0O3Oa,parking_record_index_v2,101a0d0100dc,2017-08-10T05:32:18.213Z,2017-08-10T05:32:17.000Z,471,fcffff071bff75ff51ff20,yilan,宜蘭市中山路二段,1003,10.5.180.50,-110.5,-5.5,1502343137.0,1.213,-229,-139,-175,319.97968685527525,32,2017-08-10 13:32:17,-1.9090909090909065,-1.636363636363626,-49.606060606060595,49.66974494500393
127,127,AV3KoRfi-R03vmj0O3Ol,parking_record_index_v2,101a0d0100dc,2017-08-10T05:32:21.346Z,2017-08-10T05:32:20.000Z,472,fcffff071bff76ff4eff20,yilan,宜蘭市中山路二段,1003,192.168.88.113,-105.0,9.5,1502343140.0,1.3459999999999999,-229,-138,-178,321.1993150677629,32,2017-08-10 13:32:20,-1.9090909090909065,-0.636363636363626,-52.606060606060595,52.6445362717289
129,129,AV3KoXVK-R03vmj0O3QE,parking_record_index_v2,101a0d0100dc,2017-08-10T05:32:45.257Z,2017-08-10T05:32:44.000Z,476,fcffff071bff79ff50ff20,yilan,宜蘭市中山路二段,1003,10.5.151.1,-81.0,28.8,1502343164.0,1.2570000000000001,-229,-135,-176,318.81342506237087,32,2017-08-10 13:32:44,-1.9090909090909065,2.363636363636374,-50.606060606060595,50.69718705236964
