,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
192,192,AV3KoJEt-R03vmj0O3Mq,parking_record_index_v2,101a0d0101eb,2017-08-10T05:31:46.860Z,2017-08-10T05:31:46.000Z,452,fcffff070600bb00e5ff23,yilan,宜蘭市中山路二段,1011,10.5.180.50,-96.0,9.5,1502343106.0,0.86,6,187,-27,189.03438840591943,35,2017-08-10 13:31:46,29.42622950819672,-70.34426229508199,28.57377049180328,81.4289787546584
194,194,AV3KoJtp-R03vmj0O3Mz,parking_record_index_v2,101a0d0101eb,2017-08-10T05:31:49.480Z,2017-08-10T05:31:49.000Z,453,fcffff070800bc00e1ff23,yilan,宜蘭市中山路二段,1011,192.168.88.113,-69.0,10.8,1502343109.0,0.48,8,188,-31,190.7065809037538,35,2017-08-10 13:31:49,31.42622950819672,-69.34426229508199,24.57377049180328,80.00065506316061
198,198,AV3KoL48-R03vmj0O3NS,parking_record_index_v2,101a0d0101eb,2017-08-10T05:31:58.395Z,2017-08-10T05:31:58.000Z,455,fcffff070800bb00e2ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-84.0,27.0,1502343118.0,0.395,8,187,-30,189.5600168811978,35,2017-08-10 13:31:58,31.42622950819672,-70.34426229508199,25.57377049180328,81.1784508112133
199,199,AV3KoO04-R03vmj0O3OC,parking_record_index_v2,101a0d0101eb,2017-08-10T05:32:10.423Z,2017-08-10T05:32:10.000Z,457,fcffff070900b700e4ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-90.0,15.5,1502343130.0,0.423,9,183,-28,185.3483207369304,35,2017-08-10 13:32:10,32.42622950819672,-74.34426229508199,27.57377049180328,85.6670445121859
200,200,AV3KoSyg-R03vmj0O3O7,parking_record_index_v2,101a0d0101eb,2017-08-10T05:32:26.655Z,2017-08-10T05:32:25.000Z,460,fcffff070800bb00e1ff23,yilan,宜蘭市中山路二段,1011,10.5.180.50,-94.0,14.5,1502343145.0,1.655,8,187,-31,189.72084756293918,35,2017-08-10 13:32:25,31.42622950819672,-70.34426229508199,24.57377049180328,80.86898871090803
201,201,AV3KoUCK-R03vmj0O3PW,parking_record_index_v2,101a0d0101eb,2017-08-10T05:32:31.752Z,2017-08-10T05:32:31.000Z,461,fcffff070800ba00dfff23,yilan,宜蘭市中山路二段,1011,10.5.180.50,-95.0,17.0,1502343151.0,0.752,8,186,-33,189.07405956397082,35,2017-08-10 13:32:31,31.42622950819672,-71.34426229508199,22.57377049180328,81.16148580298368
204,204,AV3KoUs--R03vmj0O3Pg,parking_record_index_v2,101a0d0101eb,2017-08-10T05:32:34.492Z,2017-08-10T05:32:34.000Z,462,fcffff070700bb00dfff24,yilan,宜蘭市中山路二段,1011,10.5.151.1,-82.0,28.0,1502343154.0,0.49200000000000005,7,187,-33,190.0184201597308,36,2017-08-10 13:32:34,30.42622950819672,-70.34426229508199,22.57377049180328,79.89772083195717
196,196,AV3Koe0t-R03vmj0O3R4,parking_record_index_v2,101a0d0101eb,2017-08-10T05:33:15.948Z,2017-08-10T05:31:50.000Z,469,fcffff07a1ffd000d6ff23,yilan,宜蘭市中山路二段,1011,192.168.0.225,-95.0,12.0,1502343110.0,85.948,-95,208,-42,232.49301064763213,35,2017-08-10 13:31:50,-71.57377049180329,-49.34426229508199,13.57377049180328,87.9881133405151
197,197,AV3Koe8R-R03vmj0O3R-,parking_record_index_v2,101a0d0101eb,2017-08-10T05:33:16.432Z,2017-08-10T05:31:53.000Z,470,fcffff07a1ffd400d5ff24,yilan,宜蘭市中山路二段,1011,192.168.0.225,-97.0,13.0,1502343113.0,83.432,-95,212,-43,236.25833318636612,36,2017-08-10 13:31:53,-71.57377049180329,-45.34426229508199,12.57377049180328,85.65632755307145
203,203,AV3Kooc_-R03vmj0O3Uh,parking_record_index_v2,101a0d0101eb,2017-08-10T05:33:55.390Z,2017-08-10T05:32:32.000Z,477,fcffff072f00ba00e5ff24,yilan,宜蘭市中山路二段,1011,192.168.0.225,-106.8,-5.8,1502343152.0,83.39,47,186,-27,193.73693504337263,36,2017-08-10 13:32:32,70.42622950819671,-71.34426229508199,28.57377049180328,104.24163239938687
