,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
305,305,AV3Koh7x-R03vmj0O3Sz,parking_record_index_v2,101a0d0100b8,2017-08-10T05:33:28.688Z,2017-08-10T05:33:27.000Z,561,fcffff07f4fe100043ff24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-83.0,19.5,1502343207.0,1.6880000000000002,-268,16,-189,328.33062604636814,36,2017-08-10 13:33:27,-18.258620689655146,30.913793103448278,98.0172413793104,104.38591591369743
307,307,AV3KoimS-R03vmj0O3TE,parking_record_index_v2,101a0d0100b8,2017-08-10T05:33:31.409Z,2017-08-10T05:33:30.000Z,562,fcffff07f4fe100044ff24,yilan,宜蘭市中山路二段,1008,10.5.181.21,-130.5,-9.5,1502343210.0,1.409,-268,16,-188,327.75600680994387,36,2017-08-10 13:33:30,-18.258620689655146,30.913793103448278,99.0172413793104,105.32546664458758
311,311,AV3KoliZ-R03vmj0O3Tx,parking_record_index_v2,101a0d0100b8,2017-08-10T05:33:43.448Z,2017-08-10T05:33:42.000Z,564,fcffff070eff1f00a6ff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,25.0,1502343222.0,1.4480000000000002,-242,31,-90,260.0480724789169,37,2017-08-10 13:33:42,7.741379310344854,45.91379310344828,197.0172413793104,202.44455722860604
312,312,AV3KomQh-R03vmj0O3T5,parking_record_index_v2,101a0d0100b8,2017-08-10T05:33:46.400Z,2017-08-10T05:33:45.000Z,565,fcffff07f0feefffdefe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,23.8,1502343225.0,1.4,-272,-17,-290,397.9610533708042,36,2017-08-10 13:33:45,-22.258620689655146,-2.086206896551724,-2.9827586206895944,22.55427461060236
313,313,AV3Konto-R03vmj0O3UU,parking_record_index_v2,101a0d0100b8,2017-08-10T05:33:52.360Z,2017-08-10T05:33:51.000Z,567,fcffff07ecfe3500f0fe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,23.8,1502343231.0,1.36,-276,53,-272,391.1125157803058,36,2017-08-10 13:33:51,-26.258620689655146,67.91379310344827,15.017241379310406,74.34592115822922
314,314,AV3Kooau-R03vmj0O3Uf,parking_record_index_v2,101a0d0100b8,2017-08-10T05:33:55.245Z,2017-08-10T05:33:54.000Z,568,fcffff07e9fe3700e1fe24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-90.0,22.0,1502343234.0,1.245,-279,55,-287,404.0235141671831,36,2017-08-10 13:33:54,-29.258620689655146,69.91379310344827,0.01724137931040559,75.78921854748239
315,315,AV3KopMh-R03vmj0O3Uu,parking_record_index_v2,101a0d0100b8,2017-08-10T05:33:58.432Z,2017-08-10T05:33:57.000Z,569,fcffff07e9fe3400e2fe24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-89.0,18.8,1502343237.0,1.432,-279,52,-286,402.915623921436,36,2017-08-10 13:33:57,-29.258620689655146,66.91379310344827,1.0172413793104056,73.03805427430265
317,317,AV3Kop6z-R03vmj0O3U6,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:01.394Z,2017-08-10T05:34:00.000Z,570,fcffff07e8fe3300e0fe25,yilan,宜蘭市中山路二段,1008,10.5.181.21,-134.8,-13.8,1502343240.0,1.3940000000000001,-280,51,-288,404.9012225222343,37,2017-08-10 13:34:00,-30.258620689655146,65.91379310344827,-0.9827586206895944,72.53397867090396
321,321,AV3KorXd-R03vmj0O3VV,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:07.325Z,2017-08-10T05:34:06.000Z,572,fcffff07e7fe3300e3fe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,35.5,1502343246.0,1.325,-281,51,-285,403.4687100631225,36,2017-08-10 13:34:06,-31.258620689655146,65.91379310344827,2.0172413793104056,72.97807034641518
322,322,AV3Kos1b-R03vmj0O3Vu,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:13.338Z,2017-08-10T05:34:12.000Z,574,fcffff07e5fe3500e3fe25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,2.5,1502343252.0,1.338,-283,53,-285,405.12096958809724,37,2017-08-10 13:34:12,-33.258620689655146,67.91379310344827,2.0172413793104056,75.64713085543123
310,310,AV3Ko3fZ-R03vmj0O3Y2,parking_record_index_v2,101a0d0100b8,2017-08-10T05:34:56.984Z,2017-08-10T05:33:31.000Z,585,fcffff07f2fe0a0049ff25,yilan,宜蘭市中山路二段,1008,192.168.0.225,-95.0,16.2,1502343211.0,85.984,-270,10,-183,326.3265235925514,37,2017-08-10 13:33:31,-20.258620689655146,24.913793103448278,104.0172413793104,108.86089887195712
