,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
186,186,AV3Koh4n-R03vmj0O3Sw,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:28.486Z,2017-08-10T05:33:27.000Z,525,fcffff0708fd3bff840021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-81.0,23.8,1502343207.0,1.486,-760,-197,132,796.1362948641396,33,2017-08-10 13:33:27,190.5675675675676,-231.86486486486484,-106.86486486486487,318.58658589150815
187,187,AV3KojWQ-R03vmj0O3TP,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:34.479Z,2017-08-10T05:33:33.000Z,527,fcffff0707fd3bff840021,yilan,宜蘭市中山路二段,1009,10.5.180.50,-95.0,22.5,1502343213.0,1.479,-761,-197,132,797.0909609323141,33,2017-08-10 13:33:33,189.5675675675676,-231.86486486486484,-106.86486486486487,317.98942997350116
188,188,AV3KokDt-R03vmj0O3TY,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:37.388Z,2017-08-10T05:33:36.000Z,528,fcffff0708fd3cff810021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-82.0,28.8,1502343216.0,1.3880000000000001,-760,-196,129,795.3973849592418,33,2017-08-10 13:33:36,190.5675675675676,-230.86486486486484,-109.86486486486487,318.8806550568202
189,189,AV3Kok0N-R03vmj0O3Ti,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:40.492Z,2017-08-10T05:33:39.000Z,529,fcffff0708fd3fff800021,yilan,宜蘭市中山路二段,1009,192.168.88.113,-77.0,20.0,1502343219.0,1.492,-760,-193,128,794.5017306463214,33,2017-08-10 13:33:39,190.5675675675676,-227.86486486486484,-110.86486486486487,317.06373603742094
191,191,AV3KoliS-R03vmj0O3Tw,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:43.441Z,2017-08-10T05:33:42.000Z,530,fcffff0708fd5dff640022,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83.0,29.5,1502343222.0,1.4409999999999998,-760,-163,100,783.6893517204378,34,2017-08-10 13:33:42,190.5675675675676,-197.86486486486484,-138.86486486486487,307.814803494809
192,192,AV3KomQr-R03vmj0O3T7,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:46.410Z,2017-08-10T05:33:45.000Z,531,fcffff0700fcecfffd0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-90.0,25.0,1502343225.0,1.41,-1024,-20,253,1054.9810424837026,33,2017-08-10 13:33:45,-73.43243243243239,-54.864864864864856,14.13513513513513,92.74846400276482
193,193,AV3Kom9j-R03vmj0O3UF,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:49.283Z,2017-08-10T05:33:48.000Z,532,fcffff0702fc9bff8d0121,yilan,宜蘭市中山路二段,1009,10.5.180.50,-99.0,11.3,1502343228.0,1.2830000000000001,-1022,-101,397,1101.0422335224023,33,2017-08-10 13:33:48,-71.43243243243239,-135.86486486486484,158.13513513513513,220.38279168793886
195,195,AV3Kontt-R03vmj0O3UV,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:52.364Z,2017-08-10T05:33:51.000Z,533,fcffff0700fc9bff8e0121,yilan,宜蘭市中山路二段,1009,10.5.151.1,-88.0,27.5,1502343231.0,1.364,-1024,-101,398,1103.2592623676449,33,2017-08-10 13:33:51,-73.43243243243239,-135.86486486486484,159.13513513513513,221.75566480288492
196,196,AV3KooaD-R03vmj0O3Ue,parking_record_index_v2,101a0d0100da,2017-08-10T05:33:55.202Z,2017-08-10T05:33:54.000Z,534,fcffff0700fc9fff8d0121,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84.0,19.5,1502343234.0,1.202,-1024,-97,397,1102.5397952001551,33,2017-08-10 13:33:54,-73.43243243243239,-131.86486486486484,158.13513513513513,218.60326091570607
197,197,AV3Kop9H-R03vmj0O3U9,parking_record_index_v2,101a0d0100da,2017-08-10T05:34:01.542Z,2017-08-10T05:34:00.000Z,535,fcffff0700fc9eff8a0122,yilan,宜蘭市中山路二段,1009,10.5.180.50,-97.0,7.5,1502343240.0,1.5419999999999998,-1024,-98,394,1101.5516329251207,34,2017-08-10 13:34:00,-73.43243243243239,-132.86486486486484,155.13513513513513,217.0536905972787
198,198,AV3KorXg-R03vmj0O3VW,parking_record_index_v2,101a0d0100da,2017-08-10T05:34:07.327Z,2017-08-10T05:34:06.000Z,536,fcffff0701fc9bff890122,yilan,宜蘭市中山路二段,1009,10.5.151.1,-87.0,22.5,1502343246.0,1.327,-1023,-101,393,1100.5357786096733,34,2017-08-10 13:34:06,-72.43243243243239,-135.86486486486484,154.13513513513513,217.8608699513367
194,194,AV3Ko7dy-R03vmj0O3aE,parking_record_index_v2,101a0d0100da,2017-08-10T05:35:13.266Z,2017-08-10T05:33:49.000Z,553,fcffff0708fd38ff7c0022,yilan,宜蘭市中山路二段,1009,192.168.0.225,-101.8,-1.8,1502343229.0,84.266,-760,-200,124,795.5978883833213,34,2017-08-10 13:33:49,190.5675675675676,-234.86486486486484,-114.86486486486487,323.52965820313034
