,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
196,196,AV3Koh7r-R03vmj0O3Sy,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:28.682Z,2017-08-10T05:33:27.000Z,429,fcffff0739ff3f0019ff24,yilan,宜蘭市中山路二段,1015,10.5.180.50,-88.0,22.0,1502343207.0,1.682,-199,63,-231,311.33743751755907,36,2017-08-10 13:33:27,-16.8125,-61.354166666666686,-34.041666666666686,72.15143098411534
198,198,AV3KojTz-R03vmj0O3TO,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:34.322Z,2017-08-10T05:33:33.000Z,430,fcffff073aff3e0019ff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-79.0,18.8,1502343213.0,1.3219999999999998,-198,62,-231,310.4979871110278,36,2017-08-10 13:33:33,-15.8125,-62.354166666666686,-34.041666666666686,72.77988957389873
200,200,AV3Koj7k-R03vmj0O3TW,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:36.867Z,2017-08-10T05:33:36.000Z,431,fcffff073aff410017ff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-76.0,22.0,1502343216.0,0.867,-198,65,-233,312.5987843866319,36,2017-08-10 13:33:36,-15.8125,-59.354166666666686,-36.041666666666686,71.21765225739725
202,202,AV3Kokpl-R03vmj0O3Tf,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:39.812Z,2017-08-10T05:33:39.000Z,432,fcffff073aff430016ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,31.2,1502343219.0,0.812,-198,67,-234,313.765836253726,36,2017-08-10 13:33:39,-15.8125,-57.354166666666686,-37.041666666666686,70.08295555784035
203,203,AV3KomH_-R03vmj0O3T3,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:45.854Z,2017-08-10T05:33:45.000Z,434,fcffff074eff860020ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-88.0,27.5,1502343225.0,0.8540000000000001,-178,134,-224,315.9367025212487,36,2017-08-10 13:33:45,4.1875,9.645833333333314,-27.041666666666686,29.01428946322064
204,204,AV3Kom1u-R03vmj0O3UD,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:48.782Z,2017-08-10T05:33:48.000Z,435,fcffff0736ff490061ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-94.0,28.0,1502343228.0,0.782,-202,73,-159,267.2339798753145,36,2017-08-10 13:33:48,-19.8125,-51.354166666666686,37.958333333333314,66.86270006305625
205,205,AV3KonlY-R03vmj0O3UN,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:51.831Z,2017-08-10T05:33:51.000Z,436,fcffff0734ff470063ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-97.0,22.5,1502343231.0,0.831,-204,71,-157,267.0318333083155,36,2017-08-10 13:33:51,-21.8125,-53.354166666666686,39.958333333333314,70.1364431641798
206,206,AV3KopCd-R03vmj0O3Uq,parking_record_index_v2,101a0d0100c0,2017-08-10T05:33:57.788Z,2017-08-10T05:33:57.000Z,437,fcffff073dff4c0062ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-94.0,27.0,1502343237.0,0.7879999999999999,-195,76,-158,262.23081436017395,36,2017-08-10 13:33:57,-12.8125,-48.354166666666686,38.958333333333314,63.403764291947915
208,208,AV3Koqj9-R03vmj0O3VK,parking_record_index_v2,101a0d0100c0,2017-08-10T05:34:04.028Z,2017-08-10T05:34:03.000Z,438,fcffff073eff4c005dff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-95.0,18.8,1502343243.0,1.028,-194,76,-163,264.53922204467153,36,2017-08-10 13:34:03,-11.8125,-48.354166666666686,33.958333333333314,60.25636060247545
211,211,AV3KorPP-R03vmj0O3VS,parking_record_index_v2,101a0d0100c0,2017-08-10T05:34:06.798Z,2017-08-10T05:34:06.000Z,439,fcffff073eff4c005bff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-96.0,23.0,1502343246.0,0.7979999999999999,-194,76,-165,265.7762216602531,36,2017-08-10 13:34:06,-11.8125,-48.354166666666686,31.958333333333314,59.152308997385916
212,212,AV3KostH-R03vmj0O3Vr,parking_record_index_v2,101a0d0100c0,2017-08-10T05:34:12.807Z,2017-08-10T05:34:12.000Z,440,fcffff073dff48005dff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-100.0,22.5,1502343252.0,0.807,-195,72,-163,264.155257377172,36,2017-08-10 13:34:12,-12.8125,-52.354166666666686,33.958333333333314,63.7046884176423
207,207,AV3Ko9mZ-R03vmj0O3ax,parking_record_index_v2,101a0d0100c0,2017-08-10T05:35:22.008Z,2017-08-10T05:33:58.000Z,454,fcffff074cff580015ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-92.0,-1.0,1502343238.0,84.008,-180,88,-235,308.81871704933945,36,2017-08-10 13:33:58,2.1875,-36.354166666666686,-38.041666666666686,52.66477943612371
