,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2852,2852,AV3LB71D-R03vmj0O_R7,parking_record_index_v2,101a0d0100b8,2017-08-10T07:24:28.355Z,2017-08-10T07:24:27.000Z,2506,fcffff07f2fe0a004bff25,yilan,宜蘭市中山路二段,1008,192.168.88.113,-73.0,18.8,1502349867.0,1.355,-270,10,-181,325.2091634625322,37,2017-08-10 15:24:27,-20.258620689655146,24.913793103448278,106.0172413793104,110.77348179382878
2855,2855,AV3LB9Ud-R03vmj0O_Sg,parking_record_index_v2,101a0d0100b8,2017-08-10T07:24:34.461Z,2017-08-10T07:24:33.000Z,2507,fcffff07f3fe110046ff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,31.2,1502349873.0,1.4609999999999999,-269,17,-186,327.4843507711476,37,2017-08-10 15:24:33,-19.258620689655146,31.913793103448278,101.0172413793104,107.67482397015367
2856,2856,AV3LB-xY-R03vmj0O_TC,parking_record_index_v2,101a0d0100b8,2017-08-10T07:24:40.407Z,2017-08-10T07:24:39.000Z,2508,fcffff07f3fe0b004bff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-132.3,-12.3,1502349879.0,1.4069999999999998,-269,11,-181,324.41177537197996,37,2017-08-10 15:24:39,-19.258620689655146,25.913793103448278,106.0172413793104,110.82452171588788
2858,2858,AV3LCBzg-R03vmj0O_UN,parking_record_index_v2,101a0d0100b8,2017-08-10T07:24:52.831Z,2017-08-10T07:24:51.000Z,2510,fcffff07f2fe11004cff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.0,-14.0,1502349891.0,1.831,-270,17,-180,324.9446106646485,37,2017-08-10 15:24:51,-20.258620689655146,31.913793103448278,107.0172413793104,113.49710064549937
2860,2860,AV3LCD3T-R03vmj0O_U7,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:01.266Z,2017-08-10T07:25:00.000Z,2512,fcffff07f2fe11004dff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,12.0,1502349900.0,1.266,-270,17,-179,324.3917384891298,37,2017-08-10 15:25:00,-20.258620689655146,31.913793103448278,108.0172413793104,114.44049256138858
2864,2864,AV3LCFVH-R03vmj0O_Vj,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:07.270Z,2017-08-10T07:25:06.000Z,2513,fcffff07f3fe11004cff25,yilan,宜蘭市中山路二段,1008,10.5.180.16,-106.0,8.8,1502349906.0,1.27,-269,17,-180,324.11417741283697,37,2017-08-10 15:25:06,-19.258620689655146,31.913793103448278,107.0172413793104,113.32287771476378
2866,2866,AV3LCGGP-R03vmj0O_V4,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:10.414Z,2017-08-10T07:25:09.000Z,2514,fcffff07f3fe12004bff25,yilan,宜蘭市中山路二段,1008,10.5.181.21,-131.3,-8.3,1502349909.0,1.4140000000000001,-269,18,-181,324.72449861382495,37,2017-08-10 15:25:09,-19.258620689655146,32.91379310344828,106.0172413793104,112.66706580453571
2870,2870,AV3LCGyT-R03vmj0O_WI,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:13.234Z,2017-08-10T07:25:12.000Z,2515,fcffff07f3fe12004bff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,30.5,1502349912.0,1.234,-269,18,-181,324.72449861382495,37,2017-08-10 15:25:12,-19.258620689655146,32.91379310344828,106.0172413793104,112.66706580453571
2871,2871,AV3LCHlV-R03vmj0O_Wa,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:16.500Z,2017-08-10T07:25:15.000Z,2516,fcffff07f3fe130049ff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-132.5,-11.5,1502349915.0,1.5,-269,19,-183,325.90029150032984,37,2017-08-10 15:25:15,-19.258620689655146,33.91379310344828,104.0172413793104,111.08837174832132
2872,2872,AV3LCJG--R03vmj0O_W7,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:22.749Z,2017-08-10T07:25:21.000Z,2517,fcffff07f3fe120048ff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-134.0,-13.0,1502349921.0,1.749,-269,18,-184,326.40618866682047,37,2017-08-10 15:25:21,-19.258620689655146,32.91379310344828,103.0172413793104,109.84882461240865
2874,2874,AV3LCLLK-R03vmj0O_Xg,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:31.209Z,2017-08-10T07:25:30.000Z,2519,fcffff07f4fe100047ff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-69.0,27.0,1502349930.0,1.209,-268,16,-185,326.0444754937584,37,2017-08-10 15:25:30,-18.258620689655146,30.913793103448278,102.0172413793104,108.15062354039385
2875,2875,AV3LCMyG-R03vmj0O_YN,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:37.797Z,2017-08-10T07:25:33.000Z,2520,fcffff07f4fe0f0045ff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-87.0,17.5,1502349933.0,4.797,-268,15,-187,327.1360573217205,37,2017-08-10 15:25:33,-18.258620689655146,29.913793103448278,100.0172413793104,105.97953019546678
2877,2877,AV3LCNdL-R03vmj0O_Ye,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:40.554Z,2017-08-10T07:25:39.000Z,2521,fcffff07f4fe0b0045ff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-90.0,15.8,1502349939.0,1.554,-268,11,-187,326.9770634157693,37,2017-08-10 15:25:39,-18.258620689655146,25.913793103448278,100.0172413793104,104.92068659527666
2879,2879,AV3LCO4F-R03vmj0O_ZA,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:46.371Z,2017-08-10T07:25:45.000Z,2522,fcffff07f3fe0a004bff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,33.0,1502349945.0,1.371,-269,10,-181,324.37940748450717,37,2017-08-10 15:25:45,-19.258620689655146,24.913793103448278,106.0172413793104,110.59496836361231
2880,2880,AV3LCQWV-R03vmj0O_Zn,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:52.404Z,2017-08-10T07:25:51.000Z,2523,fcffff07f3fe11004cff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,30.5,1502349951.0,1.4040000000000001,-269,17,-180,324.11417741283697,37,2017-08-10 15:25:51,-19.258620689655146,31.913793103448278,107.0172413793104,113.32287771476378
2881,2881,AV3LCR2U-R03vmj0O_aV,parking_record_index_v2,101a0d0100b8,2017-08-10T07:25:58.547Z,2017-08-10T07:25:57.000Z,2524,fcffff07f4fe0e0045ff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-131.8,-11.8,1502349957.0,1.547,-268,14,-187,327.09173025315084,37,2017-08-10 15:25:57,-18.258620689655146,28.913793103448278,100.0172413793104,105.70162361215156
2882,2882,AV3LCTZV-R03vmj0O_a_,parking_record_index_v2,101a0d0100b8,2017-08-10T07:26:04.884Z,2017-08-10T07:26:04.000Z,2525,fcffff07f4fe090047ff26,yilan,宜蘭市中山路二段,1008,10.5.180.50,-134.8,-13.8,1502349964.0,0.884,-268,9,-185,325.7759966602818,38,2017-08-10 15:26:04,-18.258620689655146,23.913793103448278,102.0172413793104,106.36147925225427
2883,2883,AV3LCUuv-R03vmj0O_be,parking_record_index_v2,101a0d0100b8,2017-08-10T07:26:10.351Z,2017-08-10T07:26:09.000Z,2526,fcffff07f3fe090048ff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,25.0,1502349969.0,1.351,-269,9,-184,326.0337405852345,37,2017-08-10 15:26:09,-19.258620689655146,23.913793103448278,103.0172413793104,107.49565569298905
2884,2884,AV3LCXBs-R03vmj0O_cQ,parking_record_index_v2,101a0d0100b8,2017-08-10T07:26:19.755Z,2017-08-10T07:26:18.000Z,2528,fcffff07f4fe0b0045ff26,yilan,宜蘭市中山路二段,1008,10.5.180.50,-88.0,19.5,1502349978.0,1.755,-268,11,-187,326.9770634157693,38,2017-08-10 15:26:18,-18.258620689655146,25.913793103448278,100.0172413793104,104.92068659527666
2862,2862,AV3LCYXg-R03vmj0O_cq,parking_record_index_v2,101a0d0100b8,2017-08-10T07:26:25.247Z,2017-08-10T07:25:01.000Z,2529,fcffff07f4fe0e0046ff26,yilan,宜蘭市中山路二段,1008,192.168.0.225,-99.0,3.0,1502349901.0,84.24700000000001,-268,14,-186,326.52105598261187,38,2017-08-10 15:25:01,-18.258620689655146,28.913793103448278,101.0172413793104,106.64833668184225
