,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1509,1509,AV3LB_w4-R03vmj0O_TT,parking_record_index_v2,101a0d01019a,2017-08-10T07:24:44.471Z,2017-08-10T07:24:44.000Z,2456,fcffff0724ff97007aff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,23.8,1502349884.0,0.47100000000000003,-220,151,-134,298.5916944591728,40,2017-08-10 15:24:44,-30.773584905660414,38.490566037735846,56.96226415094338,75.32089178344242
1510,1510,AV3LCAjo-R03vmj0O_Tj,parking_record_index_v2,101a0d01019a,2017-08-10T07:24:47.720Z,2017-08-10T07:24:47.000Z,2457,fcffff0725ff9a0078ff28,yilan,宜蘭市中山路二段,1001,192.168.88.113,-77.0,18.8,1502349887.0,0.72,-219,154,-136,300.28819490616013,40,2017-08-10 15:24:47,-29.773584905660414,41.490566037735846,54.96226415094338,75.0252218181617
1513,1513,AV3LCDFi-R03vmj0O_Uq,parking_record_index_v2,101a0d01019a,2017-08-10T07:24:58.082Z,2017-08-10T07:24:57.000Z,2459,fcffff0725ff9d0078ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,32.0,1502349897.0,1.082,-219,157,-136,301.8377047355085,40,2017-08-10 15:24:57,-29.773584905660414,44.490566037735846,54.96226415094338,76.72501094878241
1514,1514,AV3LCEkV-R03vmj0O_VT,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:04.149Z,2017-08-10T07:25:03.000Z,2460,fcffff0725ff9d0078ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-101.0,20.8,1502349903.0,1.149,-219,157,-136,301.8377047355085,40,2017-08-10 15:25:03,-29.773584905660414,44.490566037735846,54.96226415094338,76.72501094878241
1516,1516,AV3LCFUz-R03vmj0O_Vg,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:07.251Z,2017-08-10T07:25:06.000Z,2461,fcffff0725ff9d0078ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-70.0,20.5,1502349906.0,1.251,-219,157,-136,301.8377047355085,40,2017-08-10 15:25:06,-29.773584905660414,44.490566037735846,54.96226415094338,76.72501094878241
1517,1517,AV3LCHd3-R03vmj0O_WY,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:16.023Z,2017-08-10T07:25:15.000Z,2463,fcffff0725ff9e0077ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,23.0,1502349915.0,1.023,-219,158,-137,302.8101715596753,40,2017-08-10 15:25:15,-29.773584905660414,45.490566037735846,53.96226415094338,76.60146153216898
1518,1518,AV3LCINb-R03vmj0O_Wn,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:19.067Z,2017-08-10T07:25:18.000Z,2464,fcffff0726ff9e0077ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-70.0,25.5,1502349918.0,1.067,-218,158,-137,302.08773560010667,40,2017-08-10 15:25:18,-28.773584905660414,45.490566037735846,53.96226415094338,76.21834909687459
1519,1519,AV3LCI7d-R03vmj0O_W1,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:22.013Z,2017-08-10T07:25:21.000Z,2465,fcffff0726ff9e0076ff28,yilan,宜蘭市中山路二段,1001,10.5.180.16,-111.0,8.0,1502349921.0,1.013,-218,158,-138,302.5425589896403,40,2017-08-10 15:25:21,-28.773584905660414,45.490566037735846,52.96226415094338,75.51365578987127
1520,1520,AV3LCJqK-R03vmj0O_XI,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:25.001Z,2017-08-10T07:25:24.000Z,2466,fcffff0726ff9e0076ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-76.0,26.2,1502349924.0,1.001,-218,158,-138,302.5425589896403,40,2017-08-10 15:25:24,-28.773584905660414,45.490566037735846,52.96226415094338,75.51365578987127
1521,1521,AV3LCKYp-R03vmj0O_XR,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:27.976Z,2017-08-10T07:25:27.000Z,2467,fcffff0726ff9c0076ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-75.0,26.2,1502349927.0,0.976,-218,156,-138,301.50290214191966,40,2017-08-10 15:25:27,-28.773584905660414,43.490566037735846,52.96226415094338,74.3259708755978
1522,1522,AV3LCMxz-R03vmj0O_YL,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:37.778Z,2017-08-10T07:25:33.000Z,2468,fcffff0726ff9a0078ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-85.0,22.0,1502349933.0,4.7780000000000005,-218,154,-136,299.5596768592195,40,2017-08-10 15:25:33,-28.773584905660414,41.490566037735846,54.96226415094338,74.63401864467063
1524,1524,AV3LCMpj-R03vmj0O_YI,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:37.251Z,2017-08-10T07:25:36.000Z,2469,fcffff0726ff990079ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,23.0,1502349936.0,1.251,-218,153,-135,298.59336898196517,40,2017-08-10 15:25:36,-28.773584905660414,40.490566037735846,55.96226415094338,74.82766958337977
1525,1525,AV3LCOE6-R03vmj0O_Yv,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:43.098Z,2017-08-10T07:25:42.000Z,2470,fcffff0725ff97007bff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,25.0,1502349942.0,1.0979999999999999,-219,151,-133,297.40712836110697,40,2017-08-10 15:25:42,-29.773584905660414,38.490566037735846,57.96226415094338,75.68100222343524
1526,1526,AV3LCO2C-R03vmj0O_Y-,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:46.242Z,2017-08-10T07:25:45.000Z,2471,fcffff0725ff97007cff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-100.8,-0.8,1502349945.0,1.242,-219,151,-132,296.96127693690966,40,2017-08-10 15:25:45,-29.773584905660414,38.490566037735846,58.96226415094338,76.44958224768463
1528,1528,AV3LCPj2-R03vmj0O_ZP,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:49.173Z,2017-08-10T07:25:48.000Z,2472,fcffff0725ff9b007aff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,25.0,1502349948.0,1.173,-219,155,-134,299.9033177542389,40,2017-08-10 15:25:48,-29.773584905660414,42.490566037735846,56.96226415094338,77.04942632845237
1508,1508,AV3LCQk2-R03vmj0O_Z2,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:53.333Z,2017-08-10T07:24:28.000Z,2473,fcffff0725ff9e0078ff28,yilan,宜蘭市中山路二段,1001,192.168.0.225,-100.0,5.0,1502349868.0,85.333,-219,158,-136,302.359058074998,40,2017-08-10 15:24:28,-29.773584905660414,45.490566037735846,54.96226415094338,77.30917434021819
1532,1532,AV3LCRv1-R03vmj0O_aT,parking_record_index_v2,101a0d01019a,2017-08-10T07:25:58.133Z,2017-08-10T07:25:57.000Z,2474,fcffff0725ff9a0078ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-75.0,27.5,1502349957.0,1.133,-219,154,-136,300.28819490616013,40,2017-08-10 15:25:57,-29.773584905660414,41.490566037735846,54.96226415094338,75.0252218181617
1533,1533,AV3LCSgE-R03vmj0O_an,parking_record_index_v2,101a0d01019a,2017-08-10T07:26:01.219Z,2017-08-10T07:26:00.000Z,2475,fcffff0725ff980079ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-71.0,25.5,1502349960.0,1.219,-219,152,-135,298.81432361919997,40,2017-08-10 15:26:00,-29.773584905660414,39.490566037735846,55.96226415094338,74.68431008595653
1534,1534,AV3LCTlW-R03vmj0O_bB,parking_record_index_v2,101a0d01019a,2017-08-10T07:26:05.654Z,2017-08-10T07:26:05.000Z,2476,fcffff0725ff97007bff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-101.0,20.8,1502349965.0,0.654,-219,151,-133,297.40712836110697,40,2017-08-10 15:26:05,-29.773584905660414,38.490566037735846,57.96226415094338,75.68100222343524
1535,1535,AV3LCXmM-R03vmj0O_cZ,parking_record_index_v2,101a0d01019a,2017-08-10T07:26:22.092Z,2017-08-10T07:26:21.000Z,2479,fcffff0725ff96007bff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,23.0,1502349981.0,1.092,-219,150,-133,296.90065678607044,41,2017-08-10 15:26:21,-29.773584905660414,37.490566037735846,57.96226415094338,75.1773434318355
1537,1537,AV3LCYYB-R03vmj0O_cr,parking_record_index_v2,101a0d01019a,2017-08-10T07:26:25.280Z,2017-08-10T07:26:24.000Z,2480,fcffff0725ff98007aff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-69.0,23.0,1502349984.0,1.28,-219,152,-134,298.36387180756316,41,2017-08-10 15:26:24,-29.773584905660414,39.490566037735846,56.96226415094338,75.43653426104088
