,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1021,1021,AV3LB9ER-R03vmj0O_SX,parking_record_index_v2,101a0d0100b5,2017-08-10T07:24:33.424Z,2017-08-10T07:24:33.000Z,2243,fcffff0708ffb9ff62ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-77.0,29.5,1502349873.0,0.424,-248,-71,-158,302.50454542039535,32,2017-08-10 15:24:33,-285.57894736842104,137.73684210526315,-146.57894736842104,349.302391438736
1022,1022,AV3LB9yw-R03vmj0O_Sp,parking_record_index_v2,101a0d0100b5,2017-08-10T07:24:36.400Z,2017-08-10T07:24:36.000Z,2244,fcffff070affb7ff5fff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-75.0,24.5,1502349876.0,0.4,-246,-73,-161,302.92903459391283,32,2017-08-10 15:24:36,-283.57894736842104,135.73684210526315,-149.57894736842104,348.15997930712217
1023,1023,AV3LB_Tn-R03vmj0O_TK,parking_record_index_v2,101a0d0100b5,2017-08-10T07:24:42.599Z,2017-08-10T07:24:42.000Z,2246,fcffff070affc1ff62ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-74.0,28.0,1502349882.0,0.599,-246,-63,-158,299.08025678737135,33,2017-08-10 15:24:42,-283.57894736842104,145.73684210526315,-146.57894736842104,350.9154233558714
1024,1024,AV3LB__1-R03vmj0O_TY,parking_record_index_v2,101a0d0100b5,2017-08-10T07:24:45.428Z,2017-08-10T07:24:45.000Z,2247,fcffff0708ffbdff60ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-72.0,23.0,1502349885.0,0.428,-248,-67,-160,302.6433544619805,32,2017-08-10 15:24:45,-285.57894736842104,141.73684210526315,-148.57894736842104,351.73906691059454
1025,1025,AV3LCAxh-R03vmj0O_Tq,parking_record_index_v2,101a0d0100b5,2017-08-10T07:24:48.609Z,2017-08-10T07:24:48.000Z,2248,fcffff0708ffb7ff61ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-73.0,24.5,1502349888.0,0.609,-248,-73,-159,303.50288301760827,33,2017-08-10 15:24:48,-285.57894736842104,135.73684210526315,-147.57894736842104,348.9403547759068
1026,1026,AV3LCBd8-R03vmj0O_UA,parking_record_index_v2,101a0d0100b5,2017-08-10T07:24:51.452Z,2017-08-10T07:24:51.000Z,2249,fcffff0709ffb7ff60ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-66.0,8.8,1502349891.0,0.452,-247,-73,-160,303.21279656373343,33,2017-08-10 15:24:51,-284.57894736842104,135.73684210526315,-148.57894736842104,348.5475164036257
1027,1027,AV3LCC86-R03vmj0O_Uk,parking_record_index_v2,101a0d0100b5,2017-08-10T07:24:57.530Z,2017-08-10T07:24:57.000Z,2251,fcffff070affb7ff5eff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-90.0,22.5,1502349897.0,0.53,-246,-73,-162,303.4616944525289,32,2017-08-10 15:24:57,-283.57894736842104,135.73684210526315,-150.57894736842104,348.59077596211944
1029,1029,AV3LCDp9-R03vmj0O_U1,parking_record_index_v2,101a0d0100b5,2017-08-10T07:25:00.413Z,2017-08-10T07:25:00.000Z,2252,fcffff070affb8ff5eff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-72.0,21.2,1502349900.0,0.413,-246,-72,-162,303.2226904438386,33,2017-08-10 15:25:00,-283.57894736842104,136.73684210526315,-150.57894736842104,348.981378829993
1030,1030,AV3LCFJo-R03vmj0O_Vc,parking_record_index_v2,101a0d0100b5,2017-08-10T07:25:06.536Z,2017-08-10T07:25:06.000Z,2254,fcffff070affb6ff5dff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-88.0,23.8,1502349906.0,0.536,-246,-74,-163,304.23839336941023,33,2017-08-10 15:25:06,-283.57894736842104,134.73684210526315,-151.57894736842104,348.63621914023634
1032,1032,AV3LCF5M-R03vmj0O_Vx,parking_record_index_v2,101a0d0100b5,2017-08-10T07:25:09.579Z,2017-08-10T07:25:09.000Z,2255,fcffff070affb7ff5eff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71.0,25.0,1502349909.0,0.579,-246,-73,-162,303.4616944525289,32,2017-08-10 15:25:09,-283.57894736842104,135.73684210526315,-150.57894736842104,348.59077596211944
