,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2109,2109,AV3LB7u6-R03vmj0O_R0,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:27.962Z,2017-08-10T07:24:27.000Z,1926,fcffff074aff4e0016ff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-73.0,18.3,1502349867.0,0.9620000000000001,-182,78,-234,306.5354791863415,38,2017-08-10 15:24:27,0.1875,-46.354166666666686,-37.041666666666686,59.336573823027216
2112,2112,AV3LB8cS-R03vmj0O_SI,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:30.865Z,2017-08-10T07:24:30.000Z,1927,fcffff074aff530013ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-70.0,24.5,1502349870.0,0.865,-182,83,-237,310.13222986332784,38,2017-08-10 15:24:30,0.1875,-41.354166666666686,-40.041666666666686,57.563333176501274
2113,2113,AV3LB9MX-R03vmj0O_Sa,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:33.942Z,2017-08-10T07:24:33.000Z,1928,fcffff074bff590014ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-73.0,23.8,1502349873.0,0.9420000000000001,-181,89,-236,310.44806328917565,38,2017-08-10 15:24:33,1.1875,-35.354166666666686,-39.041666666666686,52.68376403651848
2114,2114,AV3LB96h-R03vmj0O_St,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:36.896Z,2017-08-10T07:24:36.000Z,1929,fcffff074aff560019ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,30.5,1502349876.0,0.8959999999999999,-182,86,-231,306.40006527414454,38,2017-08-10 15:24:36,0.1875,-38.354166666666686,-34.041666666666686,51.282670819575024
2115,2115,AV3LB-oY-R03vmj0O_S8,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:39.832Z,2017-08-10T07:24:39.000Z,1930,fcffff074bff4f0017ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-76.0,7.5,1502349879.0,0.8320000000000001,-181,79,-233,305.43575429212603,38,2017-08-10 15:24:39,1.1875,-45.354166666666686,-36.041666666666686,57.94318188008743
2117,2117,AV3LB_Xy-R03vmj0O_TM,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:42.865Z,2017-08-10T07:24:42.000Z,1931,fcffff074bff520011ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-77.0,27.0,1502349882.0,0.865,-181,82,-239,310.81505755030594,38,2017-08-10 15:24:42,1.1875,-42.354166666666686,-42.041666666666686,59.689088838655366
2119,2119,AV3LCA2N-R03vmj0O_Tt,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:48.908Z,2017-08-10T07:24:48.000Z,1933,fcffff074bff580016ff26,yilan,宜蘭市中山路二段,1015,10.5.180.50,-86.0,22.5,1502349888.0,0.9079999999999999,-181,88,-234,308.6438076488819,38,2017-08-10 15:24:48,1.1875,-36.354166666666686,-37.041666666666686,51.91455152192134
2121,2121,AV3LCBlR-R03vmj0O_UF,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:51.920Z,2017-08-10T07:24:51.000Z,1934,fcffff074aff580018ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-71.0,24.5,1502349891.0,0.92,-182,88,-232,307.7206525405793,38,2017-08-10 15:24:51,0.1875,-36.354166666666686,-35.041666666666686,50.493355929820694
2123,2123,AV3LCCTA-R03vmj0O_UY,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:54.848Z,2017-08-10T07:24:54.000Z,1935,fcffff0749ff560017ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-74.0,30.5,1502349894.0,0.848,-183,86,-233,308.502836291662,38,2017-08-10 15:24:54,-0.8125,-38.354166666666686,-36.041666666666686,52.63747707722663
2124,2124,AV3LCDFZ-R03vmj0O_Uo,parking_record_index_v2,101a0d0100c0,2017-08-10T07:24:58.073Z,2017-08-10T07:24:57.000Z,1936,fcffff074aff570019ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-76.0,30.0,1502349897.0,1.073,-182,87,-231,306.68224598108054,38,2017-08-10 15:24:57,0.1875,-37.354166666666686,-34.041666666666686,50.53913328358094
