,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1719,1719,AV3LB8k3-R03vmj0O_SM,parking_record_index_v2,101a0d0101eb,2017-08-10T07:24:31.414Z,2017-08-10T07:24:31.000Z,2060,fcffff07aaffe600d1ff25,yilan,宜蘭市中山路二段,1011,10.5.180.50,-92.0,10.0,1502349871.0,0.414,-86,230,-47,250.00999980000802,37,2017-08-10 15:24:31,-62.57377049180328,-27.34426229508199,8.57377049180328,68.82365127243126
1721,1721,AV3LB9Uj-R03vmj0O_Si,parking_record_index_v2,101a0d0101eb,2017-08-10T07:24:34.466Z,2017-08-10T07:24:34.000Z,2061,fcffff07aaffea00cdff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-82.0,26.2,1502349874.0,0.466,-86,234,-51,254.46610776290032,37,2017-08-10 15:24:34,-62.57377049180328,-23.34426229508199,4.57377049180328,66.94289142376618
1722,1722,AV3LB-xW-R03vmj0O_TB,parking_record_index_v2,101a0d0101eb,2017-08-10T07:24:40.406Z,2017-08-10T07:24:40.000Z,2062,fcffff07aaffe800d3ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,23.8,1502349880.0,0.406,-86,232,-45,251.48558606806873,37,2017-08-10 15:24:40,-62.57377049180328,-25.34426229508199,10.57377049180328,68.33456670862935
1723,1723,AV3LCFY2-R03vmj0O_Vm,parking_record_index_v2,101a0d0101eb,2017-08-10T07:25:07.509Z,2017-08-10T07:25:07.000Z,2067,fcffff07a9ffed00d0ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-84.0,33.0,1502349907.0,0.509,-87,237,-48,256.9863809621047,37,2017-08-10 15:25:07,-63.57377049180328,-20.34426229508199,7.57377049180328,67.17793761599177
1724,1724,AV3LCGJn-R03vmj0O_V6,parking_record_index_v2,101a0d0101eb,2017-08-10T07:25:10.631Z,2017-08-10T07:25:10.000Z,2068,fcffff07a9ffec00ceff25,yilan,宜蘭市中山路二段,1011,10.5.180.50,-91.0,14.5,1502349910.0,0.631,-87,236,-50,256.4468755902477,37,2017-08-10 15:25:10,-63.57377049180328,-21.34426229508199,5.57377049180328,67.29241223913014
1726,1726,AV3LCHsR-R03vmj0O_Wd,parking_record_index_v2,101a0d0101eb,2017-08-10T07:25:16.944Z,2017-08-10T07:25:16.000Z,2069,fcffff07a9ffec00ceff25,yilan,宜蘭市中山路二段,1011,10.5.180.50,-86.0,14.5,1502349916.0,0.9440000000000001,-87,236,-50,256.4468755902477,37,2017-08-10 15:25:16,-63.57377049180328,-21.34426229508199,5.57377049180328,67.29241223913014
1727,1727,AV3LCJB5-R03vmj0O_W5,parking_record_index_v2,101a0d0101eb,2017-08-10T07:25:22.424Z,2017-08-10T07:25:22.000Z,2070,fcffff07a9ffea00d0ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79.0,22.5,1502349922.0,0.424,-87,234,-48,254.22234362856463,37,2017-08-10 15:25:22,-63.57377049180328,-23.34426229508199,7.57377049180328,68.14646635085765
1728,1728,AV3LCKgK-R03vmj0O_XU,parking_record_index_v2,101a0d0101eb,2017-08-10T07:25:28.457Z,2017-08-10T07:25:28.000Z,2071,fcffff07a9ffe900cdff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-82.0,29.5,1502349928.0,0.457,-87,233,-51,253.88777048136842,37,2017-08-10 15:25:28,-63.57377049180328,-24.34426229508199,4.57377049180328,68.22892918511853
1729,1729,AV3LCLO4-R03vmj0O_Xh,parking_record_index_v2,101a0d0101eb,2017-08-10T07:25:31.448Z,2017-08-10T07:25:31.000Z,2072,fcffff07aaffe800ceff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-83.0,29.5,1502349931.0,0.44799999999999995,-86,232,-50,252.42820761555157,37,2017-08-10 15:25:31,-62.57377049180328,-25.34426229508199,5.57377049180328,67.74123782702884
1730,1730,AV3LCMtr-R03vmj0O_YK,parking_record_index_v2,101a0d0101eb,2017-08-10T07:25:37.515Z,2017-08-10T07:25:37.000Z,2073,fcffff07a9ffe600d0ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-84.0,17.0,1502349937.0,0.515,-87,230,-48,250.54540506662656,37,2017-08-10 15:25:37,-63.57377049180328,-27.34426229508199,7.57377049180328,69.61820864162787
