,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1432,1432,AV3LAfwh-R03vmj0O-rx,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:11.232Z,2017-08-10T07:18:10.000Z,1883,fcffff07c6fe3a0007ff28,yilan,宜蘭市中山路二段,1012,192.168.88.113,-78.0,22.0,1502349490.0,1.232,-314,58,-249,404.92097994547026,40,2017-08-10 15:18:10,0.3488372093023031,22.395348837209312,53.02325581395354,57.55987312399884
1435,1435,AV3LAgdK-R03vmj0O-sG,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:14.089Z,2017-08-10T07:18:13.000Z,1884,fcffff07c6fe390006ff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,27.5,1502349493.0,1.089,-314,57,-250,405.3948692324559,40,2017-08-10 15:18:13,0.3488372093023031,21.395348837209312,52.02325581395354,56.25212693533035
1436,1436,AV3LAhRT-R03vmj0O-sY,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:17.426Z,2017-08-10T07:18:16.000Z,1885,fcffff07c5fe3a0007ff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-75.0,30.5,1502349496.0,1.426,-315,58,-249,405.69693121836644,40,2017-08-10 15:18:16,-0.6511627906976969,22.395348837209312,53.02325581395354,57.56249924761988
1437,1437,AV3LAh7_-R03vmj0O-s5,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:20.159Z,2017-08-10T07:18:19.000Z,1886,fcffff07c4fe3a000cff28,yilan,宜蘭市中山路二段,1012,10.5.180.50,-85.0,20.8,1502349499.0,1.159,-316,58,-244,403.43029137634176,40,2017-08-10 15:18:19,-1.651162790697697,22.395348837209312,58.02325581395354,62.217169682919284
1439,1439,AV3LAlnP-R03vmj0O-uj,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:35.214Z,2017-08-10T07:18:34.000Z,1889,fcffff07c4fe38000dff28,yilan,宜蘭市中山路二段,1012,10.5.180.50,-106.0,10.0,1502349514.0,1.214,-316,56,-243,402.54316538726624,40,2017-08-10 15:18:34,-1.651162790697697,20.395348837209312,59.02325581395354,62.4695231263393
1441,1441,AV3LAn0--R03vmj0O-ve,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:44.286Z,2017-08-10T07:18:43.000Z,1891,fcffff07c5fe3c000eff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-70.0,29.5,1502349523.0,1.286,-315,60,-242,401.7324980630768,40,2017-08-10 15:18:43,-0.6511627906976969,24.395348837209312,60.02325581395354,64.7946625608655
1442,1442,AV3LAolG-R03vmj0O-vw,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:47.366Z,2017-08-10T07:18:46.000Z,1892,fcffff07c4fe3b000dff29,yilan,宜蘭市中山路二段,1012,10.5.151.1,-84.0,28.0,1502349526.0,1.3659999999999999,-316,59,-243,402.9714630094791,41,2017-08-10 15:18:46,-1.651162790697697,23.395348837209312,59.02325581395354,63.512309142838575
1443,1443,AV3LAqwv-R03vmj0O-wy,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:56.302Z,2017-08-10T07:18:55.000Z,1894,fcffff07c5fe3c000eff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-85.0,32.5,1502349535.0,1.3019999999999998,-315,60,-242,401.7324980630768,40,2017-08-10 15:18:55,-0.6511627906976969,24.395348837209312,60.02325581395354,64.7946625608655
1445,1445,AV3LArf9-R03vmj0O-xA,parking_record_index_v2,101a0d0100a3,2017-08-10T07:18:59.324Z,2017-08-10T07:18:58.000Z,1895,fcffff07c5fe3d000bff29,yilan,宜蘭市中山路二段,1012,10.5.151.1,-75.0,28.8,1502349538.0,1.324,-315,61,-245,403.69666830430987,41,2017-08-10 15:18:58,-0.6511627906976969,25.395348837209312,57.02325581395354,62.42595180825939
1446,1446,AV3LAtvV-R03vmj0O-yD,parking_record_index_v2,101a0d0100a3,2017-08-10T07:19:08.500Z,2017-08-10T07:19:08.000Z,1897,fcffff07c5fe3c000cff29,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,22.5,1502349548.0,0.5,-315,60,-244,402.94044224922374,41,2017-08-10 15:19:08,-0.6511627906976969,24.395348837209312,58.02325581395354,62.94644766085384
