,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
773,773,AV3LAmG1-R03vmj0O-us,parking_record_index_v2,101a0d0100da,2017-08-10T07:18:37.236Z,2017-08-10T07:18:36.000Z,896,fcffff071afd4aff93001f,yilan,宜蘭市中山路二段,1009,10.5.180.50,-87.0,10.0,1502349516.0,1.236,-742,-182,147,778.0083547109247,31,2017-08-10 15:18:36,208.5675675675676,-216.86486486486484,-91.86486486486487,314.59490340841165
774,774,AV3LAuKZ-R03vmj0O-yT,parking_record_index_v2,101a0d0100da,2017-08-10T07:19:10.232Z,2017-08-10T07:19:09.000Z,901,fcffff0718fd4aff8b0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-101.0,22.5,1502349549.0,1.232,-744,-182,139,778.4478145643419,32,2017-08-10 15:19:09,206.5675675675676,-216.86486486486484,-99.86486486486487,315.7111350873064
775,775,AV3LAvqs-R03vmj0O-y2,parking_record_index_v2,101a0d0100da,2017-08-10T07:19:16.395Z,2017-08-10T07:19:15.000Z,902,fcffff0718fd4bff8c0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-87.0,30.0,1502349555.0,1.395,-744,-181,140,778.393859174133,32,2017-08-10 15:19:15,206.5675675675676,-215.86486486486484,-98.86486486486487,314.7094872396699
776,776,AV3LAyj8-R03vmj0O-0M,parking_record_index_v2,101a0d0100da,2017-08-10T07:19:28.251Z,2017-08-10T07:19:27.000Z,904,fcffff0718fd46ff8a0020,yilan,宜蘭市中山路二段,1009,10.5.180.50,-91.0,18.8,1502349567.0,1.251,-744,-186,138,779.214989588881,32,2017-08-10 15:19:27,206.5675675675676,-220.86486486486484,-100.86486486486487,318.7870283853534
777,777,AV3LA6qT-R03vmj0O-3X,parking_record_index_v2,101a0d0100da,2017-08-10T07:20:01.426Z,2017-08-10T07:20:00.000Z,909,fcffff0716fd48ff8f0020,yilan,宜蘭市中山路二段,1009,192.168.88.113,-87.5,-0.5,1502349600.0,1.426,-746,-184,143,781.5503822531211,32,2017-08-10 15:20:00,204.5675675675676,-218.86486486486484,-95.86486486486487,314.5469616581691
778,778,AV3LA_0a-R03vmj0O-5p,parking_record_index_v2,101a0d0100da,2017-08-10T07:20:22.553Z,2017-08-10T07:20:21.000Z,912,fcffff0718fd43ff8b0020,yilan,宜蘭市中山路二段,1009,10.5.180.50,-88.0,15.8,1502349621.0,1.5530000000000002,-744,-189,139,780.114094219557,32,2017-08-10 15:20:21,206.5675675675676,-223.86486486486484,-99.86486486486487,320.55986792832243
781,781,AV3LBB9N-R03vmj0O-6o,parking_record_index_v2,101a0d0100da,2017-08-10T07:20:31.309Z,2017-08-10T07:20:30.000Z,913,fcffff0717fd45ff880020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83.0,2.0,1502349630.0,1.3090000000000002,-745,-187,136,780.0576901742587,32,2017-08-10 15:20:30,205.5675675675676,-221.86486486486484,-102.86486486486487,319.4733533814958
782,782,AV3LBFms-R03vmj0O-8N,parking_record_index_v2,101a0d0100da,2017-08-10T07:20:46.251Z,2017-08-10T07:20:45.000Z,915,fcffff0717fd46ff8b0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-85.0,2.0,1502349645.0,1.251,-745,-186,139,780.3473585525871,32,2017-08-10 15:20:45,205.5675675675676,-220.86486486486484,-99.86486486486487,317.82432978282077
783,783,AV3LBIhK-R03vmj0O-9X,parking_record_index_v2,101a0d0100da,2017-08-10T07:20:58.185Z,2017-08-10T07:20:57.000Z,917,fcffff0718fd47ff920020,yilan,宜蘭市中山路二段,1009,192.168.88.113,-103.0,13.8,1502349657.0,1.185,-744,-185,146,780.4338536993382,32,2017-08-10 15:20:57,206.5675675675676,-219.86486486486484,-92.86486486486487,315.6494921573556
784,784,AV3LBJ-u-R03vmj0O-9-,parking_record_index_v2,101a0d0100da,2017-08-10T07:21:04.173Z,2017-08-10T07:21:03.000Z,918,fcffff0719fd48ff8d0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-91.2,-8.2,1502349663.0,1.173,-743,-184,141,778.3225552430048,32,2017-08-10 15:21:03,207.5675675675676,-218.86486486486484,-97.86486486486487,317.1177320069796
