,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1334,1334,AV3LAfRJ-R03vmj0O-re,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:09.225Z,2017-08-10T07:18:08.000Z,2168,fcffff07f8fec0ff74ff1e,yilan,宜蘭市中山路二段,1003,10.5.180.50,-93.0,16.3,1502349488.0,1.225,-264,-64,-140,305.60104711862493,30,2017-08-10 15:18:08,-36.90909090909091,73.36363636363637,-14.606060606060595,83.41367477014379
1336,1336,AV3LAhdi-R03vmj0O-sb,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:18.210Z,2017-08-10T07:18:17.000Z,2171,fcffff07f9feb9ff70ff1e,yilan,宜蘭市中山路二段,1003,10.5.180.50,-135.5,-15.5,1502349497.0,1.21,-263,-71,-144,308.13308812913937,30,2017-08-10 15:18:17,-35.90909090909091,66.36363636363637,-18.606060606060595,77.71602494079787
1337,1337,AV3LAi6q-R03vmj0O-tN,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:24.169Z,2017-08-10T07:18:23.000Z,2173,fcffff07fafebfff6bff1e,yilan,宜蘭市中山路二段,1003,10.5.151.1,-105.2,-0.2,1502349503.0,1.169,-262,-65,-149,308.3342342329181,30,2017-08-10 15:18:23,-34.90909090909091,72.36363636363637,-23.606060606060595,83.73999398856424
1338,1338,AV3LAjp--R03vmj0O-th,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:27.198Z,2017-08-10T07:18:26.000Z,2174,fcffff07f9fec1ff6eff1e,yilan,宜蘭市中山路二段,1003,10.5.151.1,-109.8,-1.8,1502349506.0,1.198,-263,-63,-146,307.3336948660202,30,2017-08-10 15:18:26,-35.90909090909091,74.36363636363637,-20.606060606060595,85.11182618673588
1339,1339,AV3LAkYn-R03vmj0O-t3,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:30.183Z,2017-08-10T07:18:29.000Z,2175,fcffff07f9fec1ff6eff1e,yilan,宜蘭市中山路二段,1003,10.5.151.1,-106.5,-1.5,1502349509.0,1.183,-263,-63,-146,307.3336948660202,30,2017-08-10 15:18:29,-35.90909090909091,74.36363636363637,-20.606060606060595,85.11182618673588
1340,1340,AV3LAl2i-R03vmj0O-ul,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:36.193Z,2017-08-10T07:18:35.000Z,2177,fcffff07f9fec0ff6dff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-73.5,-4.5,1502349515.0,1.193,-263,-64,-147,308.01623333843946,31,2017-08-10 15:18:35,-35.90909090909091,73.36363636363637,-21.606060606060595,84.48969052686836
1341,1341,AV3LAnUs-R03vmj0O-vK,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:42.220Z,2017-08-10T07:18:41.000Z,2179,fcffff07f9febcff6bff1f,yilan,宜蘭市中山路二段,1003,10.5.180.50,-135.8,-14.8,1502349521.0,1.22,-263,-68,-149,309.8289850869347,31,2017-08-10 15:18:41,-35.90909090909091,69.36363636363637,-23.606060606060595,81.59670922801446
1342,1342,AV3LAo2N-R03vmj0O-v3,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:48.461Z,2017-08-10T07:18:47.000Z,2181,fcffff07f9fec0ff6fff1f,yilan,宜蘭市中山路二段,1003,10.5.180.50,-138.0,-15.0,1502349527.0,1.4609999999999999,-263,-64,-145,307.0667679837725,31,2017-08-10 15:18:47,-35.90909090909091,73.36363636363637,-19.606060606060595,84.00049739675204
1343,1343,AV3LApgM-R03vmj0O-wF,parking_record_index_v2,101a0d0100dc,2017-08-10T07:18:51.147Z,2017-08-10T07:18:50.000Z,2182,fcffff07f9febeff6cff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-111.0,8.8,1502349530.0,1.147,-263,-66,-148,308.9158461458395,31,2017-08-10 15:18:50,-35.90909090909091,71.36363636363637,-22.606060606060595,83.02569109067123
1344,1344,AV3LArxu-R03vmj0O-xH,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:00.461Z,2017-08-10T07:18:59.000Z,2185,fcffff07f9febaff70ff1f,yilan,宜蘭市中山路二段,1003,192.168.88.113,-75.0,20.0,1502349539.0,1.4609999999999999,-263,-70,-144,307.90420588228415,31,2017-08-10 15:18:59,-35.90909090909091,67.36363636363637,-18.606060606060595,78.57167304649931
1347,1347,AV3LAtS_-R03vmj0O-x1,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:06.686Z,2017-08-10T07:19:05.000Z,2187,fcffff07f8febaff6fff1f,yilan,宜蘭市中山路二段,1003,10.5.180.50,-135.5,-14.5,1502349545.0,1.686,-264,-70,-145,309.2264542370203,31,2017-08-10 15:19:05,-36.90909090909091,67.36363636363637,-19.606060606060595,79.2750787344692
1348,1348,AV3LAt7r-R03vmj0O-yH,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:09.290Z,2017-08-10T07:19:08.000Z,2188,fcffff07f8feb9ff70ff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-73.0,27.5,1502349548.0,1.29,-264,-71,-144,308.98705474501685,31,2017-08-10 15:19:08,-36.90909090909091,66.36363636363637,-18.606060606060595,78.18311016080709
1349,1349,AV3LAuol-R03vmj0O-yZ,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:12.165Z,2017-08-10T07:19:11.000Z,2189,fcffff07f8feb9ff6fff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.0,28.0,1502349551.0,1.165,-264,-71,-145,309.4543585086499,31,2017-08-10 15:19:11,-36.90909090909091,66.36363636363637,-19.606060606060595,78.42710523555627
1350,1350,AV3LAvXX-R03vmj0O-yu,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:15.158Z,2017-08-10T07:19:14.000Z,2190,fcffff07f8febaff70ff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-65.0,2.0,1502349554.0,1.158,-264,-70,-144,308.75880554244924,31,2017-08-10 15:19:14,-36.90909090909091,67.36363636363637,-18.606060606060595,79.03370159080346
1351,1351,AV3LAw6b-R03vmj0O-zd,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:21.494Z,2017-08-10T07:19:20.000Z,2192,fcffff07f9febaff71ff1f,yilan,宜蘭市中山路二段,1003,10.5.181.21,-139.0,-16.0,1502349560.0,1.494,-263,-70,-143,307.43779858696615,31,2017-08-10 15:19:20,-35.90909090909091,67.36363636363637,-17.606060606060595,78.34089407272467
1352,1352,AV3LAxm1-R03vmj0O-z3,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:24.340Z,2017-08-10T07:19:23.000Z,2193,fcffff07f8febbff73ff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-69.0,0.5,1502349563.0,1.34,-264,-69,-141,307.1449169366148,31,2017-08-10 15:19:23,-36.90909090909091,68.36363636363637,-15.606060606060595,79.24277188636879
1355,1355,AV3LAzD2-R03vmj0O-0W,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:30.294Z,2017-08-10T07:19:29.000Z,2195,fcffff07f7febeff73ff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-64.0,23.0,1502349569.0,1.294,-265,-66,-141,307.3467097595157,31,2017-08-10 15:19:29,-37.90909090909091,71.36363636363637,-15.606060606060595,82.30077093341883
1356,1356,AV3LA0gb-R03vmj0O-09,parking_record_index_v2,101a0d0100dc,2017-08-10T07:19:36.219Z,2017-08-10T07:19:35.000Z,2197,fcffff07f8fec1ff74ff1f,yilan,宜蘭市中山路二段,1003,10.5.151.1,-64.0,10.0,1502349575.0,1.219,-264,-63,-140,305.3931891840419,31,2017-08-10 15:19:35,-36.90909090909091,74.36363636363637,-14.606060606060595,84.29453369813842
