,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1751,1751,AV3LAfY3-R03vmj0O-ri,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:09.719Z,2017-08-10T07:18:09.000Z,2419,fcffff0707fea9ff1b0123,yilan,宜蘭市中山路二段,1016,10.5.180.50,-95.0,14.5,1502349489.0,0.7190000000000001,-505,-87,283,585.3913221085533,35,2017-08-10 15:18:09,-7.393939393939377,22.333333333333314,31.060606060606034,38.96420622046832
1753,1753,AV3LAjAz-R03vmj0O-tR,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:24.562Z,2017-08-10T07:18:24.000Z,2424,fcffff0709fe9eff170124,yilan,宜蘭市中山路二段,1016,10.5.151.1,-91.0,25.5,1502349504.0,0.562,-503,-98,279,583.4843614014004,36,2017-08-10 15:18:24,-5.393939393939377,11.333333333333314,27.060606060606034,29.82977416939731
1754,1754,AV3LAjvf-R03vmj0O-tj,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:27.550Z,2017-08-10T07:18:27.000Z,2425,fcffff070afe9cff190123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-86.0,28.8,1502349507.0,0.55,-502,-100,281,583.922083843384,35,2017-08-10 15:18:27,-4.393939393939377,9.333333333333314,29.060606060606034,30.837260564428473
1755,1755,AV3LAkgQ-R03vmj0O-t7,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:30.672Z,2017-08-10T07:18:30.000Z,2426,fcffff0709fe9eff160124,yilan,宜蘭市中山路二段,1016,10.5.151.1,-86.0,28.8,1502349510.0,0.672,-503,-98,278,583.0068610230927,36,2017-08-10 15:18:30,-5.393939393939377,11.333333333333314,26.060606060606034,28.92566706017393
1756,1756,AV3LAlNU-R03vmj0O-uN,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:33.556Z,2017-08-10T07:18:33.000Z,2427,fcffff0708fea0ff180123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,28.0,1502349513.0,0.556,-504,-96,280,584.4929426434504,35,2017-08-10 15:18:33,-6.393939393939377,13.333333333333314,28.060606060606034,31.718415017772674
1757,1757,AV3LAmtk-R03vmj0O-u7,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:39.716Z,2017-08-10T07:18:39.000Z,2429,fcffff0708fea1ff1b0124,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,30.5,1502349519.0,0.716,-504,-95,283,585.7729935734491,36,2017-08-10 15:18:39,-6.393939393939377,14.333333333333314,31.060606060606034,34.80069186481743
1758,1758,AV3LApmY-R03vmj0O-wH,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:51.543Z,2017-08-10T07:18:51.000Z,2433,fcffff0709fea1ff190124,yilan,宜蘭市中山路二段,1016,10.5.151.1,-86.0,27.5,1502349531.0,0.5429999999999999,-503,-95,281,583.9477716371557,36,2017-08-10 15:18:51,-5.393939393939377,14.333333333333314,29.060606060606034,32.849015985865805
1760,1760,AV3LArFc-R03vmj0O-w4,parking_record_index_v2,101a0d0101e4,2017-08-10T07:18:57.627Z,2017-08-10T07:18:57.000Z,2435,fcffff0708fea3ff1e0124,yilan,宜蘭市中山路二段,1016,10.5.180.50,-99.5,-0.5,1502349537.0,0.627,-504,-93,286,586.907999604708,36,2017-08-10 15:18:57,-6.393939393939377,16.333333333333314,34.060606060606034,38.311683909310744
1761,1761,AV3LAr2f-R03vmj0O-xM,parking_record_index_v2,101a0d0101e4,2017-08-10T07:19:00.767Z,2017-08-10T07:19:00.000Z,2436,fcffff0708fea5ff1d0124,yilan,宜蘭市中山路二段,1016,192.168.88.113,-83.0,17.5,1502349540.0,0.767,-504,-91,285,586.1074986723853,36,2017-08-10 15:19:00,-6.393939393939377,18.333333333333314,33.060606060606034,38.34054309968836
1763,1763,AV3LAsju-R03vmj0O-xb,parking_record_index_v2,101a0d0101e4,2017-08-10T07:19:03.662Z,2017-08-10T07:19:03.000Z,2437,fcffff0708fea5ff1e0124,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,28.0,1502349543.0,0.662,-504,-91,286,586.5944084288564,36,2017-08-10 15:19:03,-6.393939393939377,18.333333333333314,34.060606060606034,39.206102296712345
