,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
419,419,AV3Krl0W-R03vmj0O4NZ,parking_record_index_v2,101a0d0100d9,2017-08-10T05:46:51.029Z,2017-08-10T05:46:50.000Z,750,fcffff07b9fe0c0077ff2c,yilan,宜蘭市中山路二段,1006,10.5.151.1,-83.0,28.8,1502344010.0,1.0290000000000001,-327,12,-137,354.7421598851763,44,2017-08-10 13:46:50,-60.4444444444444,96.66666666666667,145.9444444444445,185.1965339115166
420,420,AV3KrmjR-R03vmj0O4Nh,parking_record_index_v2,101a0d0100d9,2017-08-10T05:46:54.032Z,2017-08-10T05:46:53.000Z,751,fcffff07b7fe0e0074ff2c,yilan,宜蘭市中山路二段,1006,10.5.151.1,-97.8,-13.8,1502344013.0,1.032,-329,14,-140,357.8225817356976,44,2017-08-10 13:46:53,-62.4444444444444,98.66666666666667,142.9444444444445,184.57392543535857
421,421,AV3KroES-R03vmj0O4N9,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:00.241Z,2017-08-10T05:46:59.000Z,752,fcffff07b8fe0e0078ff2c,yilan,宜蘭市中山路二段,1006,10.5.180.50,-97.0,0.0,1502344019.0,1.2409999999999999,-328,14,-136,355.35334527762643,44,2017-08-10 13:46:59,-61.4444444444444,98.66666666666667,146.9444444444445,187.35848157285
423,423,AV3KroxB-R03vmj0O4OI,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:03.104Z,2017-08-10T05:47:02.000Z,753,fcffff07b8fe120079ff2c,yilan,宜蘭市中山路二段,1006,10.5.180.50,-100.0,-1.0,1502344022.0,1.104,-328,18,-135,355.15208010090555,44,2017-08-10 13:47:02,-61.4444444444444,102.66666666666667,147.9444444444445,190.27197071430726
425,425,AV3Krsf9-R03vmj0O4PG,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:18.396Z,2017-08-10T05:47:17.000Z,756,fcffff07befe0c0075ff2c,yilan,宜蘭市中山路二段,1006,10.5.180.50,-137.0,-16.0,1502344037.0,1.396,-322,12,-139,350.9259181080816,44,2017-08-10 13:47:17,-55.4444444444444,96.66666666666667,143.9444444444445,182.03992405683238
427,427,AV3Krumq-R03vmj0O4Px,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:27.017Z,2017-08-10T05:47:26.000Z,758,fcffff07befe0e0075ff2c,yilan,宜蘭市中山路二段,1006,10.5.151.1,-81.0,28.0,1502344046.0,1.0170000000000001,-322,14,-139,351.0,44,2017-08-10 13:47:26,-55.4444444444444,98.66666666666667,143.9444444444445,183.10980480925636
429,429,AV3KrvV1-R03vmj0O4P7,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:30.036Z,2017-08-10T05:47:29.000Z,759,fcffff07bdfe10007aff2c,yilan,宜蘭市中山路二段,1006,10.5.151.1,-81.0,30.0,1502344049.0,1.036,-323,16,-134,350.05856652851685,44,2017-08-10 13:47:29,-56.4444444444444,100.66666666666667,148.9444444444445,188.42558376527316
430,430,AV3Krw12-R03vmj0O4QZ,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:36.182Z,2017-08-10T05:47:35.000Z,760,fcffff07bafe080079ff2c,yilan,宜蘭市中山路二段,1006,10.5.180.50,-95.0,8.8,1502344055.0,1.182,-326,8,-135,352.9376715512245,44,2017-08-10 13:47:35,-59.4444444444444,92.66666666666667,147.9444444444445,184.413426106656
432,432,AV3KryR--R03vmj0O4Qx,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:42.077Z,2017-08-10T05:47:41.000Z,761,fcffff07bcfe0a0074ff2c,yilan,宜蘭市中山路二段,1006,192.168.88.113,-90.0,12.0,1502344061.0,1.077,-324,10,-140,353.09488809667016,44,2017-08-10 13:47:41,-57.4444444444444,94.66666666666667,142.9444444444445,180.8169134036955
434,434,AV3Krzuu-R03vmj0O4RE,parking_record_index_v2,101a0d0100d9,2017-08-10T05:47:48.014Z,2017-08-10T05:47:47.000Z,762,fcffff07b9fe0a007aff2c,yilan,宜蘭市中山路二段,1006,10.5.151.1,-77.0,29.5,1502344067.0,1.014,-327,10,-134,353.5321767534038,44,2017-08-10 13:47:47,-60.4444444444444,94.66666666666667,148.9444444444445,186.54692753524387
