,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
683,683,AV3Krlfe-R03vmj0O4NU,parking_record_index_v2,101a0d0100b8,2017-08-10T05:46:49.693Z,2017-08-10T05:46:48.000Z,800,fcffff07f6fe0c0047ff2b,yilan,宜蘭市中山路二段,1008,10.5.180.50,-82.0,27.0,1502344008.0,1.693,-266,12,-185,324.2298567374695,43,2017-08-10 13:46:48,-16.258620689655146,26.913793103448278,102.0172413793104,106.75304466191953
685,685,AV3KrmG4-R03vmj0O4Ne,parking_record_index_v2,101a0d0100b8,2017-08-10T05:46:52.215Z,2017-08-10T05:46:51.000Z,801,fcffff07f6fe0c0048ff2b,yilan,宜蘭市中山路二段,1008,10.5.151.1,-64.0,5.5,1502344011.0,1.215,-266,12,-184,323.6603157633015,43,2017-08-10 13:46:51,-16.258620689655146,26.913793103448278,103.0172413793104,107.7090851662403
687,687,AV3KrnoD-R03vmj0O4N0,parking_record_index_v2,101a0d0100b8,2017-08-10T05:46:58.434Z,2017-08-10T05:46:57.000Z,803,fcffff07f5fe0e004aff2b,yilan,宜蘭市中山路二段,1008,10.5.151.1,-64.0,30.5,1502344017.0,1.4340000000000002,-267,14,-182,323.4331461059612,43,2017-08-10 13:46:57,-17.258620689655146,28.913793103448278,105.0172413793104,110.28367243911835
689,689,AV3KrobM-R03vmj0O4OC,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:01.708Z,2017-08-10T05:47:00.000Z,804,fcffff07f5fe10004bff2b,yilan,宜蘭市中山路二段,1008,10.5.180.50,-131.5,-11.5,1502344020.0,1.7080000000000002,-267,16,-181,322.9643943223463,43,2017-08-10 13:47:00,-17.258620689655146,30.913793103448278,106.0172413793104,111.77288607632518
691,691,AV3KrpDJ-R03vmj0O4OO,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:04.264Z,2017-08-10T05:47:03.000Z,805,fcffff07f7fe120049ff2b,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.5,-12.5,1502344023.0,1.264,-265,18,-183,322.54922105005926,43,2017-08-10 13:47:03,-15.258620689655146,32.91379310344828,104.0172413793104,110.16228840201667
693,693,AV3Krqls-R03vmj0O4Oj,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:10.572Z,2017-08-10T05:47:09.000Z,807,fcffff07f7fe0d0044ff2b,yilan,宜蘭市中山路二段,1008,10.5.180.50,-130.8,-10.8,1502344029.0,1.5719999999999998,-265,13,-188,325.17379968256984,43,2017-08-10 13:47:09,-15.258620689655146,27.913793103448278,99.0172413793104,104.0020165243997
695,695,AV3KrrQ2-R03vmj0O4O2,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:13.334Z,2017-08-10T05:47:12.000Z,808,fcffff07f7fe0b0045ff2b,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,25.5,1502344032.0,1.334,-265,11,-187,324.5227264768987,43,2017-08-10 13:47:12,-15.258620689655146,25.913793103448278,100.0172413793104,104.4404076566457
696,696,AV3KrsA6-R03vmj0O4O_,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:16.409Z,2017-08-10T05:47:15.000Z,809,fcffff07f8fe0a0042ff2c,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,23.8,1502344035.0,1.409,-264,10,-190,325.4166559965854,44,2017-08-10 13:47:15,-14.258620689655146,24.913793103448278,97.0172413793104,101.17485100371667
698,698,AV3KrswE-R03vmj0O4PQ,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:19.427Z,2017-08-10T05:47:18.000Z,810,fcffff07f7fe0b0041ff2c,yilan,宜蘭市中山路二段,1008,10.5.181.21,-131.0,-8.0,1502344038.0,1.4269999999999998,-265,11,-191,326.8439994859933,44,2017-08-10 13:47:18,-15.258620689655146,25.913793103448278,96.0172413793104,100.61640433076434
701,701,AV3KrtdF-R03vmj0O4Pd,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:22.308Z,2017-08-10T05:47:21.000Z,811,fcffff07f7fe080042ff2c,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,27.0,1502344041.0,1.308,-265,8,-190,326.17326683834773,44,2017-08-10 13:47:21,-15.258620689655146,22.913793103448278,97.0172413793104,100.84747168169257
702,702,AV3KruNZ-R03vmj0O4Ps,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:25.400Z,2017-08-10T05:47:24.000Z,812,fcffff07f7fe0b0044ff2c,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,34.5,1502344044.0,1.4,-265,11,-188,325.0999846201165,44,2017-08-10 13:47:24,-15.258620689655146,25.913793103448278,99.0172413793104,103.48315934840662
704,704,AV3Kru_z-R03vmj0O4P2,parking_record_index_v2,101a0d0100b8,2017-08-10T05:47:28.626Z,2017-08-10T05:47:28.000Z,813,fcffff07f7fe0d0044ff2c,yilan,宜蘭市中山路二段,1008,10.5.180.50,-132.8,-11.8,1502344048.0,0.626,-265,13,-188,325.17379968256984,44,2017-08-10 13:47:28,-15.258620689655146,27.913793103448278,99.0172413793104,104.0020165243997
