,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
451,451,AV3Krlan-R03vmj0O4NQ,parking_record_index_v2,101a0d0100e4,2017-08-10T05:46:49.382Z,2017-08-10T05:46:48.000Z,816,fcffff07f8fef20073ff2e,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,31.2,1502344008.0,1.382,-264,242,-141,384.8908936309094,46,2017-08-10 13:46:48,-3.4242424242423795,-17.0151515151515,24.454545454545467,29.9877576796261
452,452,AV3Krnkl-R03vmj0O4Ny,parking_record_index_v2,101a0d0100e4,2017-08-10T05:46:58.212Z,2017-08-10T05:46:57.000Z,819,fcffff07f8fef40071ff2e,yilan,宜蘭市中山路二段,1014,10.5.151.1,-72.0,30.5,1502344017.0,1.212,-264,244,-143,386.88628820365295,46,2017-08-10 13:46:57,-3.4242424242423795,-15.015151515151501,22.454545454545467,27.22841939542555
453,453,AV3KroUb-R03vmj0O4OA,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:01.274Z,2017-08-10T05:47:00.000Z,820,fcffff07f8fef40070ff2e,yilan,宜蘭市中山路二段,1014,10.5.180.50,-101.0,7.0,1502344020.0,1.274,-264,244,-144,387.25702059484985,46,2017-08-10 13:47:00,-3.4242424242423795,-15.015151515151501,21.454545454545467,26.40980370741319
455,455,AV3Krpy0-R03vmj0O4OX,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:07.315Z,2017-08-10T05:47:06.000Z,822,fcffff07fafef0006eff2e,yilan,宜蘭市中山路二段,1014,10.5.151.1,-75.0,27.5,1502344026.0,1.315,-262,240,-146,384.135392797904,46,2017-08-10 13:47:06,-1.4242424242423795,-19.0151515151515,19.454545454545467,27.241214959508614
456,456,AV3Krqg3-R03vmj0O4Oh,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:10.262Z,2017-08-10T05:47:09.000Z,823,fcffff07f7feed006cff2e,yilan,宜蘭市中山路二段,1014,10.5.180.50,-96.0,17.5,1502344029.0,1.262,-265,237,-148,385.094793524919,46,2017-08-10 13:47:09,-4.4242424242423795,-22.0151515151515,17.454545454545467,28.441202054208915
458,458,AV3KrrQx-R03vmj0O4O1,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:13.328Z,2017-08-10T05:47:12.000Z,824,fcffff07f7feea006cff2e,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,27.5,1502344032.0,1.328,-265,234,-148,383.25578925829683,46,2017-08-10 13:47:12,-4.4242424242423795,-25.0151515151515,17.454545454545467,30.821954567795444
459,459,AV3Krr99-R03vmj0O4O8,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:16.220Z,2017-08-10T05:47:15.000Z,825,fcffff07f7fee8006eff2e,yilan,宜蘭市中山路二段,1014,192.168.88.113,-74.0,23.8,1502344035.0,1.22,-265,232,-146,381.2676225435357,46,2017-08-10 13:47:15,-4.4242424242423795,-27.0151515151515,19.454545454545467,33.583800726809265
462,462,AV3KruM--R03vmj0O4Pr,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:25.373Z,2017-08-10T05:47:24.000Z,828,fcffff07f7feea006cff2f,yilan,宜蘭市中山路二段,1014,10.5.180.50,-104.0,13.3,1502344044.0,1.3730000000000002,-265,234,-148,383.25578925829683,47,2017-08-10 13:47:24,-4.4242424242423795,-25.0151515151515,17.454545454545467,30.821954567795444
464,464,AV3KrwWn-R03vmj0O4QP,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:34.183Z,2017-08-10T05:47:33.000Z,831,fcffff07f5fef10070ff2e,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,23.8,1502344053.0,1.183,-267,241,-144,387.4351558648234,46,2017-08-10 13:47:33,-6.4242424242423795,-18.0151515151515,21.454545454545467,28.742200602954163
465,465,AV3Krx4H-R03vmj0O4Qu,parking_record_index_v2,101a0d0100e4,2017-08-10T05:47:40.422Z,2017-08-10T05:47:39.000Z,833,fcffff07f5fee90071ff2e,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,16.3,1502344059.0,1.422,-267,233,-143,382.1347929723228,46,2017-08-10 13:47:39,-6.4242424242423795,-26.0151515151515,22.454545454545467,34.96091547216654
