,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
276,276,AV3Krnn9-R03vmj0O4Nz,parking_record_index_v2,101a0d0100da,2017-08-10T05:46:58.428Z,2017-08-10T05:46:57.000Z,64,fcffff0719fd41ff840028,yilan,宜蘭市中山路二段,1009,10.5.180.50,-93.0,0.8,1502344017.0,1.4280000000000002,-743,-191,132,778.4304721681956,40,2017-08-10 13:46:57,207.5675675675676,-225.86486486486484,-106.86486486486487,324.8373925965517
278,278,AV3KrxE7-R03vmj0O4Qd,parking_record_index_v2,101a0d0100da,2017-08-10T05:47:37.147Z,2017-08-10T05:47:36.000Z,69,fcffff0711fd3eff7e0028,yilan,宜蘭市中山路二段,1009,192.168.88.113,-80.0,16.3,1502344056.0,1.147,-751,-194,126,785.8199539334694,40,2017-08-10 13:47:36,199.5675675675676,-228.86486486486484,-112.86486486486487,323.9518762338207
280,280,AV3KrzRG-R03vmj0O4RA,parking_record_index_v2,101a0d0100da,2017-08-10T05:47:46.117Z,2017-08-10T05:47:45.000Z,70,fcffff0711fd3fff750029,yilan,宜蘭市中山路二段,1009,10.5.151.1,-108.0,22.5,1502344065.0,1.117,-751,-193,117,784.1804639239618,41,2017-08-10 13:47:45,199.5675675675676,-227.86486486486484,-121.86486486486487,326.4975588779349
282,282,AV3Kr28L-R03vmj0O4R2,parking_record_index_v2,101a0d0100da,2017-08-10T05:48:01.162Z,2017-08-10T05:48:00.000Z,72,fcffff0712fd40ff790029,yilan,宜蘭市中山路二段,1009,10.5.180.50,-91.0,15.8,1502344080.0,1.162,-750,-192,121,783.5847114383996,41,2017-08-10 13:48:00,200.5675675675676,-226.86486486486484,-117.86486486486487,324.94175237992584
283,283,AV3Kr4aY-R03vmj0O4SL,parking_record_index_v2,101a0d0100da,2017-08-10T05:48:07.192Z,2017-08-10T05:48:06.000Z,73,fcffff0711fd41ff790029,yilan,宜蘭市中山路二段,1009,10.5.151.1,-79.0,25.5,1502344086.0,1.192,-751,-191,121,784.2977750829083,41,2017-08-10 13:48:06,199.5675675675676,-225.86486486486484,-117.86486486486487,323.6267565805896
284,284,AV3Kr7V8-R03vmj0O4S9,parking_record_index_v2,101a0d0100da,2017-08-10T05:48:19.195Z,2017-08-10T05:48:18.000Z,75,fcffff0711fd3fff7c0029,yilan,宜蘭市中山路二段,1009,10.5.180.50,-93.0,9.5,1502344098.0,1.195,-751,-193,124,785.2553724744581,41,2017-08-10 13:48:18,199.5675675675676,-227.86486486486484,-114.86486486486487,323.949915643055
285,285,AV3KsDep-R03vmj0O4VI,parking_record_index_v2,101a0d0100da,2017-08-10T05:48:52.520Z,2017-08-10T05:48:51.000Z,80,fcffff0712fd3dff770029,yilan,宜蘭市中山路二段,1009,10.5.180.50,-91.0,14.5,1502344131.0,1.52,-750,-195,119,784.0191324196112,41,2017-08-10 13:48:51,200.5675675675676,-229.86486486486484,-119.86486486486487,327.76941756116554
286,286,AV3KsE3C-R03vmj0O4Vn,parking_record_index_v2,101a0d0100da,2017-08-10T05:48:58.178Z,2017-08-10T05:48:57.000Z,81,fcffff0712fd3aff7b0029,yilan,宜蘭市中山路二段,1009,10.5.151.1,-80.0,23.8,1502344137.0,1.178,-750,-198,123,785.3871656705372,41,2017-08-10 13:48:57,200.5675675675676,-232.86486486486484,-115.86486486486487,328.4479583718796
287,287,AV3KsH0X-R03vmj0O4Wd,parking_record_index_v2,101a0d0100da,2017-08-10T05:49:10.294Z,2017-08-10T05:49:09.000Z,83,fcffff0712fd3eff7d0029,yilan,宜蘭市中山路二段,1009,10.5.151.1,-89.0,-7.0,1502344149.0,1.294,-750,-194,125,784.7044029441914,41,2017-08-10 13:49:09,200.5675675675676,-228.86486486486484,-113.86486486486487,324.9179634619754
281,281,AV3KsKti-R03vmj0O4XQ,parking_record_index_v2,101a0d0100da,2017-08-10T05:49:22.145Z,2017-08-10T05:47:58.000Z,85,fcffff0712fd3fff7c0029,yilan,宜蘭市中山路二段,1009,192.168.0.225,-110.5,-4.5,1502344078.0,84.145,-750,-193,124,784.2990501078018,41,2017-08-10 13:47:58,200.5675675675676,-227.86486486486484,-114.86486486486487,324.5669160285404
291,291,AV3KsPHg-R03vmj0O4Yq,parking_record_index_v2,101a0d0100da,2017-08-10T05:49:40.191Z,2017-08-10T05:49:39.000Z,88,fcffff0710fd3fff750029,yilan,宜蘭市中山路二段,1009,10.5.180.50,-101.0,6.3,1502344179.0,1.1909999999999998,-752,-193,117,785.1382043946147,41,2017-08-10 13:49:39,198.5675675675676,-227.86486486486484,-121.86486486486487,325.88728238167784
292,292,AV3KsTik-R03vmj0O4aB,parking_record_index_v2,101a0d0100da,2017-08-10T05:49:58.307Z,2017-08-10T05:49:57.000Z,91,fcffff0711fd40ff7b0029,yilan,宜蘭市中山路二段,1009,10.5.151.1,-80.0,25.0,1502344197.0,1.307,-751,-192,123,784.8528524507,41,2017-08-10 13:49:57,199.5675675675676,-226.86486486486484,-115.86486486486487,323.6039984999296
