,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
367,367,AV3Krlow-R03vmj0O4NX,parking_record_index_v2,101a0d010119,2017-08-10T05:46:50.287Z,2017-08-10T05:46:49.000Z,640,fcffff0708ff390068ff2f,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,27.0,1502344009.0,1.287,-248,57,-152,296.4068150363618,47,2017-08-10 13:46:49,-17.13513513513513,-5.432432432432442,35.621621621621586,39.9001767563286
368,368,AV3KrnyL-R03vmj0O4N4,parking_record_index_v2,101a0d010119,2017-08-10T05:46:59.082Z,2017-08-10T05:46:58.000Z,642,fcffff0709ff370065ff2f,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,27.0,1502344018.0,1.082,-247,55,-155,296.7473673008743,47,2017-08-10 13:46:58,-16.13513513513513,-7.432432432432442,32.621621621621586,37.145037823590854
369,369,AV3Krogp-R03vmj0O4OD,parking_record_index_v2,101a0d010119,2017-08-10T05:47:02.056Z,2017-08-10T05:47:01.000Z,643,fcffff070bff390068ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,34.5,1502344021.0,1.056,-245,57,-152,293.901343991483,48,2017-08-10 13:47:01,-14.13513513513513,-5.432432432432442,35.621621621621586,38.70676031877964
371,371,AV3KrqCI-R03vmj0O4Oc,parking_record_index_v2,101a0d010119,2017-08-10T05:47:08.295Z,2017-08-10T05:47:07.000Z,644,fcffff0704ff2c0063ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,24.5,1502344027.0,1.295,-252,44,-157,300.14829668015784,48,2017-08-10 13:47:07,-21.13513513513513,-18.432432432432442,30.621621621621586,41.522671076104594
373,373,AV3KrqwL-R03vmj0O4Om,parking_record_index_v2,101a0d010119,2017-08-10T05:47:11.242Z,2017-08-10T05:47:10.000Z,645,fcffff0704ff2d0062ff30,yilan,宜蘭市中山路二段,1010,10.5.180.50,-87.0,27.0,1502344030.0,1.242,-252,45,-158,300.8205445111753,48,2017-08-10 13:47:10,-21.13513513513513,-17.432432432432442,29.621621621621586,40.34878071498896
374,374,AV3KrsML-R03vmj0O4PE,parking_record_index_v2,101a0d010119,2017-08-10T05:47:17.130Z,2017-08-10T05:47:16.000Z,646,fcffff0703ff2c0064ff30,yilan,宜蘭市中山路二段,1010,10.5.180.50,-100.0,5.8,1502344036.0,1.13,-253,44,-156,300.46796834271703,48,2017-08-10 13:47:16,-22.13513513513513,-18.432432432432442,31.621621621621586,42.774358286336536
375,375,AV3Krtox-R03vmj0O4Pi,parking_record_index_v2,101a0d010119,2017-08-10T05:47:23.056Z,2017-08-10T05:47:22.000Z,647,fcffff0704ff2c0063ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-119.2,-11.2,1502344042.0,1.056,-252,44,-157,300.14829668015784,48,2017-08-10 13:47:22,-21.13513513513513,-18.432432432432442,30.621621621621586,41.522671076104594
376,376,AV3KruXg-R03vmj0O4Pv,parking_record_index_v2,101a0d010119,2017-08-10T05:47:26.047Z,2017-08-10T05:47:25.000Z,648,fcffff0702ff2d0063ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,30.5,1502344045.0,1.047,-254,45,-157,301.9768203024861,48,2017-08-10 13:47:25,-23.13513513513513,-17.432432432432442,30.621621621621586,42.15219910004755
377,377,AV3KrwkN-R03vmj0O4QV,parking_record_index_v2,101a0d010119,2017-08-10T05:47:35.052Z,2017-08-10T05:47:34.000Z,650,fcffff0704ff30005cff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-86.2,-7.2,1502344054.0,1.052,-252,48,-164,304.47331574376096,48,2017-08-10 13:47:34,-21.13513513513513,-14.432432432432442,23.621621621621586,34.82771957984346
378,378,AV3Kr0Pb-R03vmj0O4RS,parking_record_index_v2,101a0d010119,2017-08-10T05:47:50.106Z,2017-08-10T05:47:49.000Z,653,fcffff0703ff32005eff30,yilan,宜蘭市中山路二段,1010,10.5.180.50,-90.0,23.8,1502344069.0,1.1059999999999999,-253,50,-162,304.55377193526925,48,2017-08-10 13:47:49,-22.13513513513513,-12.432432432432442,25.621621621621586,36.06933709065414
380,380,AV3Kr2bk-R03vmj0O4Rx,parking_record_index_v2,101a0d010119,2017-08-10T05:47:59.076Z,2017-08-10T05:47:58.000Z,655,fcffff0703ff2d005eff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,32.5,1502344078.0,1.0759999999999998,-253,45,-162,303.7729415204718,48,2017-08-10 13:47:58,-22.13513513513513,-17.432432432432442,25.621621621621586,38.083085516848065
381,381,AV3Kr3K3-R03vmj0O4R6,parking_record_index_v2,101a0d010119,2017-08-10T05:48:02.102Z,2017-08-10T05:48:01.000Z,656,fcffff0703ff2e005cff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70.5,-5.5,1502344081.0,1.102,-253,46,-164,304.9934425524588,48,2017-08-10 13:48:01,-22.13513513513513,-16.432432432432442,23.621621621621586,36.30385724867554
382,382,AV3Kr4n--R03vmj0O4SR,parking_record_index_v2,101a0d010119,2017-08-10T05:48:08.062Z,2017-08-10T05:48:07.000Z,657,fcffff0703ff30005cff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,27.5,1502344087.0,1.062,-253,48,-164,305.3014903337355,48,2017-08-10 13:48:07,-22.13513513513513,-14.432432432432442,23.621621621621586,35.44348066150504
383,383,AV3Kr60V-R03vmj0O4S6,parking_record_index_v2,101a0d010119,2017-08-10T05:48:17.045Z,2017-08-10T05:48:16.000Z,659,fcffff0703ff31005dff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-85.2,-8.2,1502344096.0,1.045,-253,49,-163,304.9245808392626,48,2017-08-10 13:48:16,-22.13513513513513,-13.432432432432442,24.621621621621586,35.72980128381433
384,384,AV3Kr7j1-R03vmj0O4TG,parking_record_index_v2,101a0d010119,2017-08-10T05:48:20.085Z,2017-08-10T05:48:19.000Z,660,fcffff0704ff31005bff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,23.8,1502344099.0,1.085,-252,49,-165,305.17208260258667,48,2017-08-10 13:48:19,-21.13513513513513,-13.432432432432442,22.621621621621586,33.747028654743865
385,385,AV3Kr8Tp-R03vmj0O4TV,parking_record_index_v2,101a0d010119,2017-08-10T05:48:23.145Z,2017-08-10T05:48:22.000Z,661,fcffff0703ff30005aff30,yilan,宜蘭市中山路二段,1010,10.5.180.50,-93.0,18.8,1502344102.0,1.145,-253,48,-166,306.38048240708804,48,2017-08-10 13:48:22,-22.13513513513513,-14.432432432432442,21.621621621621586,34.14313744980088
370,370,AV3Kr9C7-R03vmj0O4Th,parking_record_index_v2,101a0d010119,2017-08-10T05:48:26.170Z,2017-08-10T05:47:02.000Z,662,fcffff0703ff2e005cff30,yilan,宜蘭市中山路二段,1010,192.168.0.225,-93.0,15.0,1502344022.0,84.17,-253,46,-164,304.9934425524588,48,2017-08-10 13:47:02,-22.13513513513513,-16.432432432432442,23.621621621621586,36.30385724867554
372,372,AV3Kr-kW-R03vmj0O4T9,parking_record_index_v2,101a0d010119,2017-08-10T05:48:32.405Z,2017-08-10T05:47:08.000Z,663,fcffff0704ff2d0062ff30,yilan,宜蘭市中山路二段,1010,192.168.0.225,-93.0,12.5,1502344028.0,84.405,-252,45,-158,300.8205445111753,48,2017-08-10 13:47:08,-21.13513513513513,-17.432432432432442,29.621621621621586,40.34878071498896
393,393,AV3Kr_9B-R03vmj0O4UW,parking_record_index_v2,101a0d010119,2017-08-10T05:48:38.080Z,2017-08-10T05:48:37.000Z,664,fcffff0702ff330061ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,28.8,1502344117.0,1.08,-254,51,-159,303.9703932951365,48,2017-08-10 13:48:37,-23.13513513513513,-11.432432432432442,28.621621621621586,38.537413162981935
394,394,AV3KsAsS-R03vmj0O4Uj,parking_record_index_v2,101a0d010119,2017-08-10T05:48:41.105Z,2017-08-10T05:48:40.000Z,665,fcffff0703ff35005dff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,31.2,1502344120.0,1.105,-253,53,-163,305.59286640888723,48,2017-08-10 13:48:40,-22.13513513513513,-9.432432432432442,24.621621621621586,34.42614181579749
395,395,AV3KsDnb-R03vmj0O4VN,parking_record_index_v2,101a0d010119,2017-08-10T05:48:53.083Z,2017-08-10T05:48:52.000Z,667,fcffff0702ff2f0062ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,23.8,1502344132.0,1.083,-254,47,-158,302.801915449688,48,2017-08-10 13:48:52,-23.13513513513513,-15.432432432432442,29.621621621621586,40.63046782892213
396,396,AV3KsF4W-R03vmj0O4V3,parking_record_index_v2,101a0d010119,2017-08-10T05:49:02.357Z,2017-08-10T05:49:01.000Z,669,fcffff0703ff330060ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,22.5,1502344141.0,1.357,-253,51,-160,303.66099519036027,48,2017-08-10 13:49:01,-22.13513513513513,-11.432432432432442,27.621621621621586,37.19702541576221
398,398,AV3KsGqH-R03vmj0O4WF,parking_record_index_v2,101a0d010119,2017-08-10T05:49:05.542Z,2017-08-10T05:49:04.000Z,670,fcffff0703ff34005eff31,yilan,宜蘭市中山路二段,1010,10.5.180.50,-103.0,10.0,1502344144.0,1.5419999999999998,-253,52,-162,304.8885042109656,49,2017-08-10 13:49:04,-22.13513513513513,-10.432432432432442,25.621621621621586,35.429752305506014
399,399,AV3KsK-X-R03vmj0O4Xa,parking_record_index_v2,101a0d010119,2017-08-10T05:49:23.222Z,2017-08-10T05:49:22.000Z,673,fcffff0703ff30005cff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,32.0,1502344162.0,1.222,-253,48,-164,305.3014903337355,48,2017-08-10 13:49:22,-22.13513513513513,-14.432432432432442,23.621621621621586,35.44348066150504
400,400,AV3KsLrN-R03vmj0O4Xn,parking_record_index_v2,101a0d010119,2017-08-10T05:49:26.092Z,2017-08-10T05:49:25.000Z,674,fcffff0703ff31005aff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,24.5,1502344165.0,1.092,-253,49,-166,306.53874143409666,49,2017-08-10 13:49:25,-22.13513513513513,-13.432432432432442,21.621621621621586,33.732609890892384
401,401,AV3KsOmG-R03vmj0O4Ye,parking_record_index_v2,101a0d010119,2017-08-10T05:49:38.053Z,2017-08-10T05:49:37.000Z,676,fcffff0702ff2d0060ff30,yilan,宜蘭市中山路二段,1010,10.5.151.1,-84.0,30.0,1502344177.0,1.053,-254,45,-160,303.547360390434,48,2017-08-10 13:49:37,-23.13513513513513,-17.432432432432442,27.621621621621586,40.02596856092703
402,402,AV3KsQE3-R03vmj0O4ZE,parking_record_index_v2,101a0d010119,2017-08-10T05:49:44.118Z,2017-08-10T05:49:43.000Z,677,fcffff0702ff300062ff30,yilan,宜蘭市中山路二段,1010,10.5.180.50,-96.0,13.8,1502344183.0,1.1179999999999999,-254,48,-158,302.9587430657845,48,2017-08-10 13:49:43,-23.13513513513513,-14.432432432432442,29.621621621621586,40.26127234865052
404,404,AV3KsTuX-R03vmj0O4aI,parking_record_index_v2,101a0d010119,2017-08-10T05:49:59.062Z,2017-08-10T05:49:58.000Z,680,fcffff0704ff2f005dff31,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,32.5,1502344198.0,1.062,-252,47,-163,303.7795253140014,49,2017-08-10 13:49:58,-21.13513513513513,-15.432432432432442,24.621621621621586,35.931576075094725
