,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
527,527,AV3Krla8-R03vmj0O4NS,parking_record_index_v2,101a0d0100cc,2017-08-10T05:46:49.404Z,2017-08-10T05:46:48.000Z,649,fcffff07ddfee9ff74ff2d,yilan,宜蘭市中山路二段,1002,10.5.180.50,-99.0,3.8,1502344008.0,1.4040000000000001,-291,-23,-140,323.74372580792976,45,2017-08-10 13:46:48,-17.843137254901933,-6.588235294117652,-21.098039215686285,28.40615514522448
529,529,AV3KrmC4-R03vmj0O4Na,parking_record_index_v2,101a0d0100cc,2017-08-10T05:46:51.959Z,2017-08-10T05:46:51.000Z,650,fcffff07dcfee9ff74ff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,30.0,1502344011.0,0.9590000000000001,-292,-23,-140,324.64288071664225,45,2017-08-10 13:46:51,-18.843137254901933,-6.588235294117652,-21.098039215686285,29.044722836418444
531,531,AV3KrniC-R03vmj0O4Nv,parking_record_index_v2,101a0d0100cc,2017-08-10T05:46:58.049Z,2017-08-10T05:46:57.000Z,652,fcffff07dbfee8ff78ff2d,yilan,宜蘭市中山路二段,1002,10.5.180.50,-115.3,-2.3,1502344017.0,1.0490000000000002,-293,-24,-136,323.91511233655035,45,2017-08-10 13:46:57,-19.843137254901933,-7.588235294117652,-17.098039215686285,27.27039339681252
533,533,AV3KroQp-R03vmj0O4N_,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:01.033Z,2017-08-10T05:47:00.000Z,653,fcffff07dcfeeaff79ff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,22.5,1502344020.0,1.033,-292,-22,-135,322.44844549167857,45,2017-08-10 13:47:00,-18.843137254901933,-5.588235294117652,-16.098039215686285,25.40549275057008
534,534,AV3Kro-z-R03vmj0O4OL,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:03.986Z,2017-08-10T05:47:03.000Z,654,fcffff07e6fef0ff82ff2d,yilan,宜蘭市中山路二段,1002,192.168.88.113,-76.0,23.3,1502344023.0,0.986,-282,-16,-126,309.28304188881737,45,2017-08-10 13:47:03,-8.843137254901933,0.4117647058823479,-7.098039215686285,11.346928544300667
537,537,AV3KrqcE-R03vmj0O4Oe,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:09.955Z,2017-08-10T05:47:09.000Z,656,fcffff07c8fef1ff75ff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-83.0,25.0,1502344029.0,0.955,-312,-15,-139,341.891795748304,45,2017-08-10 13:47:09,-38.84313725490193,1.411764705882348,-20.098039215686285,43.75744018682068
538,538,AV3KrrNH-R03vmj0O4O0,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:13.094Z,2017-08-10T05:47:12.000Z,657,fcffff07c9fef2ff73ff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-82.0,28.8,1502344032.0,1.094,-311,-14,-141,341.75722377149543,46,2017-08-10 13:47:12,-37.84313725490193,2.411764705882348,-22.098039215686285,43.88898476232841
540,540,AV3Krssx-R03vmj0O4PN,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:19.217Z,2017-08-10T05:47:18.000Z,658,fcffff07cbfef0ff73ff2d,yilan,宜蘭市中山路二段,1002,10.5.180.50,-134.0,-13.0,1502344038.0,1.217,-309,-16,-141,340.02646955788606,45,2017-08-10 13:47:18,-35.84313725490193,0.4117647058823479,-22.098039215686285,42.10965893503245
542,542,AV3KrtZh-R03vmj0O4Pa,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:22.081Z,2017-08-10T05:47:21.000Z,659,fcffff07cbfef1ff72ff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-75.0,23.8,1502344041.0,1.081,-309,-15,-142,340.39682724725856,46,2017-08-10 13:47:21,-35.84313725490193,1.411764705882348,-23.098039215686285,42.6643057305272
543,543,AV3Kru1L-R03vmj0O4Pz,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:27.946Z,2017-08-10T05:47:27.000Z,660,fcffff07cafef1ff75ff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-84.0,30.5,1502344047.0,0.946,-310,-15,-139,340.06764033056714,45,2017-08-10 13:47:27,-36.84313725490193,1.411764705882348,-20.098039215686285,41.992154299149526
545,545,AV3Krvmk-R03vmj0O4QD,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:31.107Z,2017-08-10T05:47:30.000Z,661,fcffff07cffef1ff7bff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-82.0,26.2,1502344050.0,1.107,-305,-15,-133,333.0750666141193,46,2017-08-10 13:47:30,-31.843137254901933,1.411764705882348,-14.098039215686285,34.85302253099904
546,546,AV3KrwV_-R03vmj0O4QO,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:34.143Z,2017-08-10T05:47:33.000Z,662,fcffff07d4feecff7bff2e,yilan,宜蘭市中山路二段,1002,192.168.88.113,-83.0,22.0,1502344053.0,1.143,-300,-20,-133,328.7689158056157,46,2017-08-10 13:47:33,-26.843137254901933,-3.588235294117652,-14.098039215686285,30.531691075642765
549,549,AV3KrxyQ-R03vmj0O4Qo,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:40.047Z,2017-08-10T05:47:39.000Z,663,fcffff07d2fef0ff73ff2d,yilan,宜蘭市中山路二段,1002,10.5.180.50,-136.0,-16.0,1502344059.0,1.047,-302,-16,-141,333.67798848590536,45,2017-08-10 13:47:39,-28.843137254901933,0.4117647058823479,-22.098039215686285,36.33757633712148
552,552,AV3Kr0t0-R03vmj0O4RW,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:52.051Z,2017-08-10T05:47:51.000Z,665,fcffff07d4feecff74ff2d,yilan,宜蘭市中山路二段,1002,10.5.180.50,-107.5,-2.5,1502344071.0,1.051,-300,-20,-140,331.66247903554,45,2017-08-10 13:47:51,-26.843137254901933,-3.588235294117652,-21.098039215686285,34.33011373354437
554,554,AV3Kr2Ju-R03vmj0O4Rq,parking_record_index_v2,101a0d0100cc,2017-08-10T05:47:57.933Z,2017-08-10T05:47:57.000Z,666,fcffff07d3fef1ff7cff2d,yilan,宜蘭市中山路二段,1002,10.5.151.1,-83.0,33.0,1502344077.0,0.9329999999999999,-301,-15,-132,329.013677527242,45,2017-08-10 13:47:57,-27.843137254901933,1.411764705882348,-13.098039215686285,30.802467483559475
555,555,AV3Kr3nu-R03vmj0O4SB,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:03.950Z,2017-08-10T05:48:03.000Z,667,fcffff07d2feedff7cff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-82.0,28.0,1502344083.0,0.95,-302,-19,-132,330.13482094441355,46,2017-08-10 13:48:03,-28.843137254901933,-2.588235294117652,-13.098039215686285,31.78339440554586
557,557,AV3Kr5Hq-R03vmj0O4Se,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:10.090Z,2017-08-10T05:48:09.000Z,668,fcffff07d2feecff7aff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-79.0,29.5,1502344089.0,1.09,-302,-20,-134,330.99848942253504,46,2017-08-10 13:48:09,-28.843137254901933,-3.588235294117652,-15.098039215686285,32.75290502214215
558,558,AV3Kr50r-R03vmj0O4Sn,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:12.970Z,2017-08-10T05:48:12.000Z,669,fcffff07d3feebff7aff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-94.0,24.5,1502344092.0,0.97,-301,-21,-134,330.14845145782533,46,2017-08-10 13:48:12,-27.843137254901933,-4.588235294117652,-15.098039215686285,32.00379639148918
530,530,AV3Kr6oZ-R03vmj0O4Sz,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:16.281Z,2017-08-10T05:46:52.000Z,670,fcffff07d2feebff7bff2e,yilan,宜蘭市中山路二段,1002,192.168.0.225,-101.0,11.2,1502344012.0,84.281,-302,-21,-133,330.6569218994213,46,2017-08-10 13:46:52,-28.843137254901933,-4.588235294117652,-14.098039215686285,32.430436006108934
562,562,AV3Kr8DK-R03vmj0O4TL,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:22.089Z,2017-08-10T05:48:21.000Z,671,fcffff07d3feecff7dff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-88.0,27.5,1502344101.0,1.089,-301,-20,-131,328.8799172950516,46,2017-08-10 13:48:21,-27.843137254901933,-3.588235294117652,-12.098039215686285,30.569237438731484
563,563,AV3Kr9gF-R03vmj0O4To,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:28.037Z,2017-08-10T05:48:27.000Z,672,fcffff07d2fef0ff7eff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-90.0,33.0,1502344107.0,1.037,-302,-16,-130,329.18080138428485,46,2017-08-10 13:48:27,-28.843137254901933,0.4117647058823479,-11.098039215686285,30.907322616348264
565,565,AV3Kr-_I-R03vmj0O4UD,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:34.119Z,2017-08-10T05:48:33.000Z,673,fcffff07d4feefff77ff2e,yilan,宜蘭市中山路二段,1002,10.5.180.50,-92.3,-2.3,1502344113.0,1.119,-300,-17,-137,330.23930716981585,46,2017-08-10 13:48:33,-26.843137254901933,-0.5882352941176521,-18.098039215686285,32.37960873604356
567,567,AV3KsAcf-R03vmj0O4Ua,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:40.094Z,2017-08-10T05:48:39.000Z,674,fcffff07d4feeaff75ff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-85.0,17.0,1502344119.0,1.094,-300,-22,-139,331.36837507523256,46,2017-08-10 13:48:39,-26.843137254901933,-5.588235294117652,-20.098039215686285,33.99578755821359
568,568,AV3KsB7L-R03vmj0O4Uw,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:46.154Z,2017-08-10T05:48:45.000Z,675,fcffff07d3feedff7fff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-78.0,25.0,1502344125.0,1.1540000000000001,-301,-19,-129,328.0289621359675,46,2017-08-10 13:48:45,-27.843137254901933,-2.588235294117652,-10.098039215686285,29.730618058401717
569,569,AV3KsDX7-R03vmj0O4VE,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:52.091Z,2017-08-10T05:48:51.000Z,676,fcffff07d3fef0ff7aff2e,yilan,宜蘭市中山路二段,1002,10.5.180.50,-90.0,18.8,1502344131.0,1.091,-301,-16,-134,329.8681554803373,46,2017-08-10 13:48:51,-27.843137254901933,0.4117647058823479,-15.098039215686285,31.675868267921548
571,571,AV3KsEzY-R03vmj0O4Vm,parking_record_index_v2,101a0d0100cc,2017-08-10T05:48:57.943Z,2017-08-10T05:48:57.000Z,677,fcffff07d4feecff74ff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-93.0,24.5,1502344137.0,0.943,-300,-20,-140,331.66247903554,46,2017-08-10 13:48:57,-26.843137254901933,-3.588235294117652,-21.098039215686285,34.33011373354437
551,551,AV3KsGR6-R03vmj0O4V-,parking_record_index_v2,101a0d0100cc,2017-08-10T05:49:03.993Z,2017-08-10T05:47:40.000Z,678,fcffff07d4feeaff79ff2e,yilan,宜蘭市中山路二段,1002,192.168.0.225,-107.0,13.8,1502344060.0,83.993,-300,-22,-135,329.7104790570054,46,2017-08-10 13:47:40,-26.843137254901933,-5.588235294117652,-16.098039215686285,31.795113743745276
575,575,AV3KsHAU-R03vmj0O4WJ,parking_record_index_v2,101a0d0100cc,2017-08-10T05:49:06.963Z,2017-08-10T05:49:06.000Z,679,fcffff07d3feebff78ff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,25.5,1502344146.0,0.963,-301,-21,-136,330.96525497399267,46,2017-08-10 13:49:06,-27.843137254901933,-4.588235294117652,-17.098039215686285,32.994471360072446
576,576,AV3KsHwM-R03vmj0O4Wa,parking_record_index_v2,101a0d0100cc,2017-08-10T05:49:10.027Z,2017-08-10T05:49:09.000Z,680,fcffff07d3feebff78ff2e,yilan,宜蘭市中山路二段,1002,10.5.151.1,-95.0,22.0,1502344149.0,1.0270000000000001,-301,-21,-136,330.96525497399267,46,2017-08-10 13:49:09,-27.843137254901933,-4.588235294117652,-17.098039215686285,32.994471360072446
