,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
213,213,AV3KpgSk-R03vmj0O3lj,parking_record_index_v2,101a0d0100a3,2017-08-10T05:37:44.099Z,2017-08-10T05:37:43.000Z,492,fcffff07c6fe2f0009ff2c,yilan,宜蘭市中山路二段,1012,10.5.151.1,-80.0,28.8,1502343463.0,1.099,-314,47,-247,402.26110923130517,44,2017-08-10 13:37:43,0.3488372093023031,11.395348837209312,55.02325581395354,56.191941974700015
214,214,AV3Kph4a-R03vmj0O3mC,parking_record_index_v2,101a0d0100a3,2017-08-10T05:37:50.617Z,2017-08-10T05:37:49.000Z,493,fcffff07c6fe34000aff2c,yilan,宜蘭市中山路二段,1012,10.5.151.1,-76.0,32.0,1502343469.0,1.617,-314,52,-246,402.26359517112655,44,2017-08-10 13:37:49,0.3488372093023031,16.395348837209312,56.02325581395354,58.37408965361304
215,215,AV3Kpiie-R03vmj0O3mT,parking_record_index_v2,101a0d0100a3,2017-08-10T05:37:53.309Z,2017-08-10T05:37:52.000Z,494,fcffff07c6fe360008ff2c,yilan,宜蘭市中山路二段,1012,10.5.180.50,-88.0,20.0,1502343472.0,1.3090000000000002,-314,54,-248,403.75239937367553,44,2017-08-10 13:37:52,0.3488372093023031,18.395348837209312,54.02325581395354,57.07033130253474
217,217,AV3KpjQL-R03vmj0O3md,parking_record_index_v2,101a0d0100a3,2017-08-10T05:37:56.234Z,2017-08-10T05:37:55.000Z,495,fcffff07c7fe360009ff2c,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,26.2,1502343475.0,1.234,-313,54,-247,402.36053484406233,44,2017-08-10 13:37:55,1.348837209302303,18.395348837209312,55.02325581395354,58.0324641991669
219,219,AV3Kpkr7-R03vmj0O3m-,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:02.106Z,2017-08-10T05:38:01.000Z,496,fcffff07c7fe34000aff2c,yilan,宜蘭市中山路二段,1012,10.5.151.1,-67.0,19.5,1502343481.0,1.1059999999999999,-313,52,-246,401.4834990382544,44,2017-08-10 13:38:01,1.348837209302303,16.395348837209312,56.02325581395354,58.38862917817696
220,220,AV3Kplcp-R03vmj0O3nO,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:05.224Z,2017-08-10T05:38:04.000Z,497,fcffff07c6fe350009ff2c,yilan,宜蘭市中山路二段,1012,10.5.180.50,-90.0,20.0,1502343484.0,1.224,-314,53,-247,403.0062034262004,44,2017-08-10 13:38:04,0.3488372093023031,17.395348837209312,55.02325581395354,57.70856547285303
221,221,AV3Kpm41-R03vmj0O3ns,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:11.124Z,2017-08-10T05:38:10.000Z,498,fcffff07c6fe2f0008ff2c,yilan,宜蘭市中山路二段,1012,10.5.151.1,-76.0,25.0,1502343490.0,1.124,-314,47,-248,402.8759114169027,44,2017-08-10 13:38:10,0.3488372093023031,11.395348837209312,54.02325581395354,55.21311285609738
222,222,AV3Kpnrs-R03vmj0O3n8,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:14.379Z,2017-08-10T05:38:13.000Z,499,fcffff07c7fe2f0007ff2d,yilan,宜蘭市中山路二段,1012,192.168.88.113,-75.0,21.3,1502343493.0,1.379,-313,47,-249,402.7145390968645,45,2017-08-10 13:38:13,1.348837209302303,11.395348837209312,53.02325581395354,54.2507050097125
226,226,AV3Kpp3G-R03vmj0O3or,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:23.301Z,2017-08-10T05:38:22.000Z,501,fcffff07c7fe33000cff2c,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,33.8,1502343502.0,1.301,-313,51,-244,400.1324780619538,44,2017-08-10 13:38:22,1.348837209302303,15.395348837209312,58.02325581395354,60.04610181259108
227,227,AV3Kpr_7-R03vmj0O3pZ,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:32.058Z,2017-08-10T05:38:31.000Z,503,fcffff07c8fe340004ff2c,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,25.0,1502343511.0,1.058,-312,52,-252,404.41562778903597,44,2017-08-10 13:38:31,2.348837209302303,16.395348837209312,50.02325581395354,52.69393344549086
228,228,AV3Kpti6-R03vmj0O3p5,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:38.393Z,2017-08-10T05:38:37.000Z,505,fcffff07c6fe330009ff2d,yilan,宜蘭市中山路二段,1012,10.5.151.1,-82.0,30.5,1502343517.0,1.393,-314,51,-247,402.7480602063777,45,2017-08-10 13:38:37,0.3488372093023031,15.395348837209312,55.02325581395354,57.13752824182831
230,230,AV3KpvBT-R03vmj0O3qZ,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:44.434Z,2017-08-10T05:38:43.000Z,507,fcffff07c6fe300009ff2d,yilan,宜蘭市中山路二段,1012,192.168.88.113,-76.0,19.5,1502343523.0,1.4340000000000002,-314,48,-247,402.37917441140024,45,2017-08-10 13:38:43,0.3488372093023031,12.395348837209312,55.02325581395354,56.40323608236031
233,233,AV3Kpvqu-R03vmj0O3qi,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:47.085Z,2017-08-10T05:38:46.000Z,508,fcffff07c6fe2f0009ff2d,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,23.8,1502343526.0,1.085,-314,47,-247,402.26110923130517,45,2017-08-10 13:38:46,0.3488372093023031,11.395348837209312,55.02325581395354,56.191941974700015
235,235,AV3Kpx4O-R03vmj0O3rT,parking_record_index_v2,101a0d0100a3,2017-08-10T05:38:56.141Z,2017-08-10T05:38:55.000Z,510,fcffff07c6fe31000aff2d,yilan,宜蘭市中山路二段,1012,10.5.180.50,-87.0,23.3,1502343535.0,1.141,-314,49,-246,401.8867999822836,45,2017-08-10 13:38:55,0.3488372093023031,13.395348837209312,56.02325581395354,57.60349164646877
236,236,AV3KpzYN-R03vmj0O3ry,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:02.285Z,2017-08-10T05:39:01.000Z,511,fcffff07c7fe35000aff2d,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,23.8,1502343541.0,1.285,-313,53,-246,401.6142427753279,45,2017-08-10 13:39:01,1.348837209302303,17.395348837209312,56.02325581395354,58.67727596762717
237,237,AV3Kp0KB-R03vmj0O3sB,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:05.472Z,2017-08-10T05:39:04.000Z,512,fcffff07c8fe350006ff2d,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,23.0,1502343544.0,1.472,-312,53,-250,403.3026159101872,45,2017-08-10 13:39:04,2.348837209302303,17.395348837209312,52.02325581395354,54.90477522846308
238,238,AV3Kp2Qa-R03vmj0O3sw,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:14.073Z,2017-08-10T05:39:13.000Z,514,fcffff07c6fe280004ff2d,yilan,宜蘭市中山路二段,1012,10.5.151.1,-85.0,-9.0,1502343553.0,1.073,-314,40,-252,404.5985664828782,45,2017-08-10 13:39:13,0.3488372093023031,4.395348837209312,50.02325581395354,50.21719726376202
218,218,AV3Kp43n-R03vmj0O3tf,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:24.775Z,2017-08-10T05:37:56.000Z,515,fcffff07c3fe2d0008ff2d,yilan,宜蘭市中山路二段,1012,192.168.0.225,-101.0,11.2,1502343476.0,88.775,-317,45,-248,404.9913579324872,45,2017-08-10 13:37:56,-2.651162790697697,9.395348837209312,54.02325581395354,54.89820955783071
243,243,AV3Kp59E-R03vmj0O3t2,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:29.220Z,2017-08-10T05:39:28.000Z,518,fcffff07c6fe2c0000ff2d,yilan,宜蘭市中山路二段,1012,10.5.180.50,-84.0,24.5,1502343568.0,1.22,-314,44,-256,407.51441692288626,45,2017-08-10 13:39:28,0.3488372093023031,8.395348837209312,46.02325581395354,46.78401057213494
245,245,AV3Kp7Xu-R03vmj0O3uQ,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:35.021Z,2017-08-10T05:39:34.000Z,520,fcffff07c3fe2e0008ff2d,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,25.5,1502343574.0,1.021,-317,46,-248,405.1036904299935,45,2017-08-10 13:39:34,-2.651162790697697,10.395348837209312,54.02325581395354,55.07816364340694
246,246,AV3Kp8Nb-R03vmj0O3ua,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:38.458Z,2017-08-10T05:39:37.000Z,521,fcffff07c3fe310007ff2e,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,22.0,1502343577.0,1.4580000000000002,-317,49,-249,406.0677283409752,46,2017-08-10 13:39:37,-2.651162790697697,13.395348837209312,53.02325581395354,54.75335324640184
225,225,AV3Kp9m1-R03vmj0O3u4,parking_record_index_v2,101a0d0100a3,2017-08-10T05:39:44.180Z,2017-08-10T05:38:20.000Z,523,fcffff07c4fe320006ff2e,yilan,宜蘭市中山路二段,1012,192.168.0.225,-95.0,8.8,1502343500.0,84.18,-316,50,-250,406.02462979479463,46,2017-08-10 13:38:20,-1.651162790697697,14.395348837209312,52.02325581395354,54.00344018847669
234,234,AV3KqFh--R03vmj0O3w2,parking_record_index_v2,101a0d0100a3,2017-08-10T05:40:16.637Z,2017-08-10T05:38:47.000Z,531,fcffff07c5fe2e0003ff2d,yilan,宜蘭市中山路二段,1012,192.168.0.225,-96.0,8.8,1502343527.0,89.637,-315,46,-253,406.63251222694913,45,2017-08-10 13:38:47,-0.6511627906976969,10.395348837209312,49.02325581395354,50.1175308752096
242,242,AV3KqOS6-R03vmj0O3zS,parking_record_index_v2,101a0d0100a3,2017-08-10T05:40:52.537Z,2017-08-10T05:39:26.000Z,539,fcffff07c4fe2e0009ff2e,yilan,宜蘭市中山路二段,1012,192.168.0.225,-101.0,3.8,1502343566.0,86.537,-316,46,-247,403.709053651265,46,2017-08-10 13:39:26,-1.651162790697697,10.395348837209312,55.02325581395354,56.02096300829204
