,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
565,565,AV3KpgSQ-R03vmj0O3lh,parking_record_index_v2,101a0d0100cb,2017-08-10T05:37:44.079Z,2017-08-10T05:37:43.000Z,654,fcffff0797fee2ff97ff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79.0,24.5,1502343463.0,1.079,-361,-30,-105,377.15514049260946,40,2017-08-10 13:37:43,-32.30000000000001,-17.36,20.58,42.04992271098724
569,569,AV3Kpg83-R03vmj0O3lv,parking_record_index_v2,101a0d0100cb,2017-08-10T05:37:46.806Z,2017-08-10T05:37:46.000Z,655,fcffff0797fedfff95ff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-82.0,28.8,1502343466.0,0.8059999999999999,-361,-33,-107,377.9669297703172,40,2017-08-10 13:37:46,-32.30000000000001,-20.36,18.58,42.462171399964944
572,572,AV3Kpic9-R03vmj0O3mQ,parking_record_index_v2,101a0d0100cb,2017-08-10T05:37:52.956Z,2017-08-10T05:37:52.000Z,657,fcffff0797fedaff97ff28,yilan,宜蘭市中山路二段,1007,10.5.180.16,-105.0,14.5,1502343472.0,0.956,-361,-38,-105,377.8756409190728,40,2017-08-10 13:37:52,-32.30000000000001,-25.36,20.58,45.93425736854794
575,575,AV3KpjLs-R03vmj0O3mb,parking_record_index_v2,101a0d0100cb,2017-08-10T05:37:55.947Z,2017-08-10T05:37:55.000Z,658,fcffff0796fedbff96ff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-84.0,25.5,1502343475.0,0.9470000000000001,-362,-37,-106,379.0105539427629,40,2017-08-10 13:37:55,-33.30000000000001,-24.36,19.58,45.669201876100274
576,576,AV3KpkIq-R03vmj0O3mq,parking_record_index_v2,101a0d0100cb,2017-08-10T05:37:59.850Z,2017-08-10T05:37:58.000Z,659,fcffff0796fedaff95ff28,yilan,宜蘭市中山路二段,1007,10.5.180.16,-107.0,10.0,1502343478.0,1.85,-362,-38,-107,379.39030035044397,40,2017-08-10 13:37:58,-33.30000000000001,-25.36,18.58,45.79558930726846
579,579,AV3Kpkr3-R03vmj0O3m9,parking_record_index_v2,101a0d0100cb,2017-08-10T05:38:02.103Z,2017-08-10T05:38:01.000Z,660,fcffff0796fedbff97ff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-83.0,30.0,1502343481.0,1.103,-362,-37,-105,378.73209528636477,40,2017-08-10 13:38:01,-33.30000000000001,-24.36,20.58,46.10678908794236
581,581,AV3KplV8-R03vmj0O3nM,parking_record_index_v2,101a0d0100cb,2017-08-10T05:38:04.796Z,2017-08-10T05:38:04.000Z,661,fcffff0797fedcff96ff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-81.0,27.0,1502343484.0,0.7959999999999999,-361,-36,-106,377.95899248463445,40,2017-08-10 13:38:04,-32.30000000000001,-23.36,19.58,44.41121479986784
582,582,AV3KpmFT-R03vmj0O3nZ,parking_record_index_v2,101a0d0100cb,2017-08-10T05:38:07.826Z,2017-08-10T05:38:07.000Z,662,fcffff0797feddff94ff28,yilan,宜蘭市中山路二段,1007,10.5.180.16,-107.0,6.2,1502343487.0,0.826,-361,-35,-108,378.43097124839034,40,2017-08-10 13:38:07,-32.30000000000001,-22.36,17.58,43.03854086745972
584,584,AV3Kpm0Y-R03vmj0O3np,parking_record_index_v2,101a0d0100cb,2017-08-10T05:38:10.839Z,2017-08-10T05:38:10.000Z,663,fcffff0797fee0ff96ff28,yilan,宜蘭市中山路二段,1007,10.5.180.16,-114.0,5.5,1502343490.0,0.8390000000000001,-361,-32,-106,377.59899364272684,40,2017-08-10 13:38:10,-32.30000000000001,-19.36,19.58,42.443798133531836
586,586,AV3KpnjJ-R03vmj0O3n4,parking_record_index_v2,101a0d0100cb,2017-08-10T05:38:13.832Z,2017-08-10T05:38:13.000Z,664,fcffff0796fee2ff9aff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,21.2,1502343493.0,0.8320000000000001,-362,-30,-102,377.2903391288995,40,2017-08-10 13:38:13,-33.30000000000001,-17.36,23.58,44.3427107876819
