,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
287,287,AV3KphXV-R03vmj0O3l2,parking_record_index_v2,101a0d0101e4,2017-08-10T05:37:48.500Z,2017-08-10T05:37:48.000Z,621,fcffff070cfe9eff0f0127,yilan,宜蘭市中山路二段,1016,10.5.180.16,-112.5,-1.5,1502343468.0,0.5,-500,-98,271,577.1005111763461,39,2017-08-10 13:37:48,-2.3939393939393767,11.333333333333314,19.060606060606034,22.30430661697221
288,288,AV3KpkV0-R03vmj0O3mu,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:00.691Z,2017-08-10T05:38:00.000Z,625,fcffff070cfe9eff0f0127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-88.0,28.8,1502343480.0,0.691,-500,-98,271,577.1005111763461,39,2017-08-10 13:38:00,-2.3939393939393767,11.333333333333314,19.060606060606034,22.30430661697221
290,290,AV3KplxM-R03vmj0O3nS,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:06.539Z,2017-08-10T05:38:06.000Z,627,fcffff070dfe9fff0f0127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,27.0,1502343486.0,0.539,-499,-97,271,576.0651004877834,39,2017-08-10 13:38:06,-1.3939393939393767,12.333333333333314,19.060606060606034,22.745568393484877
291,291,AV3KpmhB-R03vmj0O3nc,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:09.600Z,2017-08-10T05:38:09.000Z,628,fcffff070cfe9fff150127,yilan,宜蘭市中山路二段,1016,10.5.180.50,-95.0,17.0,1502343489.0,0.6,-500,-97,277,579.7740939365952,39,2017-08-10 13:38:09,-2.3939393939393767,12.333333333333314,25.060606060606034,28.033480573375996
292,292,AV3KpovH-R03vmj0O3oG,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:18.694Z,2017-08-10T05:38:18.000Z,631,fcffff070dfe98ff100128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,24.5,1502343498.0,0.6940000000000001,-499,-104,272,577.7551384453452,40,2017-08-10 13:38:18,-1.3939393939393767,5.333333333333314,20.060606060606034,20.804216567735587
294,294,AV3Kpq4l-R03vmj0O3o8,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:27.493Z,2017-08-10T05:38:27.000Z,634,fcffff070bfe9aff140128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,28.0,1502343507.0,0.493,-501,-102,276,581.0172114490241,40,2017-08-10 13:38:27,-3.3939393939393767,7.333333333333314,24.060606060606034,25.381279841473376
295,295,AV3KpsZq-R03vmj0O3ph,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:33.705Z,2017-08-10T05:38:33.000Z,636,fcffff070dfe9cff0d0128,yilan,宜蘭市中山路二段,1016,192.168.88.113,-82.0,17.5,1502343513.0,0.705,-499,-100,269,575.6405128202844,40,2017-08-10 13:38:33,-1.3939393939393767,9.333333333333314,17.060606060606034,19.49662681851079
297,297,AV3KptIz-R03vmj0O3py,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:36.722Z,2017-08-10T05:38:36.000Z,637,fcffff070cfe9fff0e0128,yilan,宜蘭市中山路二段,1016,192.168.88.113,-82.0,17.5,1502343516.0,0.722,-500,-97,270,576.4624879382873,40,2017-08-10 13:38:36,-2.3939393939393767,12.333333333333314,18.060606060606034,22.00062608675864
299,299,AV3Kpujl-R03vmj0O3qH,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:42.533Z,2017-08-10T05:38:42.000Z,639,fcffff070bfe9eff140128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-85.0,23.8,1502343522.0,0.5329999999999999,-501,-98,276,580.3283553299804,40,2017-08-10 13:38:42,-3.3939393939393767,11.333333333333314,24.060606060606034,26.81186366252539
300,300,AV3KpwxH-R03vmj0O3q3,parking_record_index_v2,101a0d0101e4,2017-08-10T05:38:51.590Z,2017-08-10T05:38:51.000Z,642,fcffff070bfe9eff150128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,25.0,1502343531.0,0.59,-501,-98,277,580.8046143067393,40,2017-08-10 13:38:51,-3.3939393939393767,11.333333333333314,25.060606060606034,27.71276321803839
