,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
285,285,AV3KpguD-R03vmj0O3lr,parking_record_index_v2,101a0d0100c0,2017-08-10T05:37:45.858Z,2017-08-10T05:37:45.000Z,494,fcffff074cff570013ff25,yilan,宜蘭市中山路二段,1015,192.168.88.113,-74.0,21.3,1502343465.0,0.858,-180,87,-237,310.0612842649014,37,2017-08-10 13:37:45,2.1875,-37.354166666666686,-40.041666666666686,54.803777178727
288,288,AV3KpiLF-R03vmj0O3mF,parking_record_index_v2,101a0d0100c0,2017-08-10T05:37:51.813Z,2017-08-10T05:37:51.000Z,496,fcffff074dff51000fff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,23.0,1502343471.0,0.813,-179,81,-241,310.9389007506137,37,2017-08-10 13:37:51,3.1875,-43.354166666666686,-44.041666666666686,61.88224564759179
289,289,AV3Kpi58-R03vmj0O3mU,parking_record_index_v2,101a0d0100c0,2017-08-10T05:37:54.811Z,2017-08-10T05:37:54.000Z,497,fcffff074dff500010ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,30.0,1502343474.0,0.8109999999999999,-179,80,-240,309.9048240992708,37,2017-08-10 13:37:54,3.1875,-44.354166666666686,-43.041666666666686,61.88729535525763
290,290,AV3KpjpY-R03vmj0O3mj,parking_record_index_v2,101a0d0100c0,2017-08-10T05:37:57.847Z,2017-08-10T05:37:57.000Z,498,fcffff074cff50000fff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-74.0,28.0,1502343477.0,0.847,-180,80,-241,311.25712843242644,37,2017-08-10 13:37:57,2.1875,-44.354166666666686,-44.041666666666686,62.54394982508081
291,291,AV3KpkZX-R03vmj0O3mw,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:00.918Z,2017-08-10T05:38:00.000Z,499,fcffff074cff520010ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,29.5,1502343480.0,0.9179999999999999,-180,82,-240,311.004823113726,37,2017-08-10 13:38:00,2.1875,-42.354166666666686,-43.041666666666686,60.42553814176772
292,292,AV3KpmmF-R03vmj0O3nf,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:09.924Z,2017-08-10T05:38:09.000Z,501,fcffff074cff560012ff25,yilan,宜蘭市中山路二段,1015,10.5.180.50,-86.0,25.8,1502343489.0,0.924,-180,86,-238,310.54790290710383,37,2017-08-10 13:38:09,2.1875,-38.354166666666686,-41.041666666666686,56.21606229292679
294,294,AV3KpoDf-R03vmj0O3oA,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:15.902Z,2017-08-10T05:38:15.000Z,502,fcffff074bff540018ff25,yilan,宜蘭市中山路二段,1015,10.5.180.50,-85.0,23.3,1502343495.0,0.902,-181,84,-232,306.00816982557836,37,2017-08-10 13:38:15,1.1875,-40.354166666666686,-35.041666666666686,53.45827650035953
296,296,AV3Kppfh-R03vmj0O3oX,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:21.792Z,2017-08-10T05:38:21.000Z,503,fcffff074cff510010ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-70.0,23.8,1502343501.0,0.792,-180,81,-240,310.74265880306814,37,2017-08-10 13:38:21,2.1875,-43.354166666666686,-43.041666666666686,61.13063056320914
297,297,AV3Kpq9R-R03vmj0O3o-,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:27.793Z,2017-08-10T05:38:27.000Z,504,fcffff074bff540016ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-73.0,28.8,1502343507.0,0.7929999999999999,-181,84,-234,307.5272345663064,37,2017-08-10 13:38:27,1.1875,-40.354166666666686,-37.041666666666686,54.79009028150582
298,298,AV3KpsbX-R03vmj0O3pi,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:33.814Z,2017-08-10T05:38:33.000Z,505,fcffff074cff4f0011ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-70.0,22.5,1502343513.0,0.8140000000000001,-180,79,-239,309.4543585086499,37,2017-08-10 13:38:33,2.1875,-45.354166666666686,-42.041666666666686,61.88123565660993
299,299,AV3Kpt43-R03vmj0O3p8,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:39.798Z,2017-08-10T05:38:39.000Z,506,fcffff074cff560011ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,28.8,1502343519.0,0.7979999999999999,-180,86,-239,311.31495306200765,37,2017-08-10 13:38:39,2.1875,-38.354166666666686,-42.041666666666686,56.950232598783636
300,300,AV3KpvW8-R03vmj0O3qa,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:45.819Z,2017-08-10T05:38:45.000Z,507,fcffff074bff570014ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,29.5,1502343525.0,0.8190000000000001,-181,87,-236,309.88062217570166,37,2017-08-10 13:38:45,1.1875,-37.354166666666686,-39.041666666666686,54.046236314124826
301,301,AV3Kpw1F-R03vmj0O3q4,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:51.844Z,2017-08-10T05:38:51.000Z,508,fcffff074bff580015ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-74.0,28.8,1502343531.0,0.8440000000000001,-181,88,-235,309.4026502795346,37,2017-08-10 13:38:51,1.1875,-36.354166666666686,-38.041666666666686,52.63272739518216
302,302,AV3KpyTh-R03vmj0O3rc,parking_record_index_v2,101a0d0100c0,2017-08-10T05:38:57.888Z,2017-08-10T05:38:57.000Z,509,fcffff074cff550010ff25,yilan,宜蘭市中山路二段,1015,10.5.180.50,-82.0,21.3,1502343537.0,0.888,-180,85,-240,311.80923655337733,37,2017-08-10 13:38:57,2.1875,-39.354166666666686,-43.041666666666686,58.36197957336802
304,304,AV3KpzxI-R03vmj0O3r4,parking_record_index_v2,101a0d0100c0,2017-08-10T05:39:03.879Z,2017-08-10T05:39:03.000Z,510,fcffff074cff4e0012ff25,yilan,宜蘭市中山路二段,1015,10.5.180.50,-85.0,22.0,1502343543.0,0.879,-180,78,-238,308.42827367152967,37,2017-08-10 13:39:03,2.1875,-46.354166666666686,-41.041666666666686,61.950886405191106
306,306,AV3Kp1Nh-R03vmj0O3sP,parking_record_index_v2,101a0d0100c0,2017-08-10T05:39:09.792Z,2017-08-10T05:39:09.000Z,511,fcffff074eff520018ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,25.0,1502343549.0,0.792,-178,82,-232,303.6972176362504,37,2017-08-10 13:39:09,4.1875,-42.354166666666686,-35.041666666666686,55.13010967752158
307,307,AV3Kp2r9-R03vmj0O3s2,parking_record_index_v2,101a0d0100c0,2017-08-10T05:39:15.836Z,2017-08-10T05:39:15.000Z,512,fcffff0743ff4b0019ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-87.0,24.5,1502343555.0,0.836,-189,75,-231,307.74502433020746,37,2017-08-10 13:39:15,-6.8125,-49.354166666666686,-34.041666666666686,60.34135392129977
309,309,AV3Kp4Jw-R03vmj0O3tP,parking_record_index_v2,101a0d0100c0,2017-08-10T05:39:21.839Z,2017-08-10T05:39:21.000Z,513,fcffff0742ff4a0010ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-80.0,23.0,1502343561.0,0.8390000000000001,-190,74,-240,314.9222126176558,37,2017-08-10 13:39:21,-7.8125,-50.354166666666686,-43.041666666666686,66.70204139596397
310,310,AV3Kp5qB-R03vmj0O3tw,parking_record_index_v2,101a0d0100c0,2017-08-10T05:39:28.000Z,2017-08-10T05:39:27.000Z,514,fcffff0746ff440020ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-70.0,30.0,1502343567.0,1.0,-186,68,-224,298.99163867907737,37,2017-08-10 13:39:27,-3.8125,-56.354166666666686,-27.041666666666686,62.62251187117584
311,311,AV3Kp7Hm-R03vmj0O3uK,parking_record_index_v2,101a0d0100c0,2017-08-10T05:39:33.989Z,2017-08-10T05:39:33.000Z,515,fcffff0740ff500015ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-74.0,28.8,1502343573.0,0.9890000000000001,-192,80,-235,313.82957158304885,37,2017-08-10 13:39:33,-9.8125,-44.354166666666686,-38.041666666666686,59.25154563150421
308,308,AV3KqLO_-R03vmj0O3ya,parking_record_index_v2,101a0d0100c0,2017-08-10T05:40:39.999Z,2017-08-10T05:39:16.000Z,526,fcffff0740ff4d0012ff26,yilan,宜蘭市中山路二段,1015,192.168.0.225,-105.0,10.5,1502343556.0,83.999,-192,77,-238,315.3363283860583,38,2017-08-10 13:39:16,-9.8125,-47.354166666666686,-41.041666666666686,63.428074696637495
