,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
283,283,AV3KpgL8-R03vmj0O3ld,parking_record_index_v2,101a0d0101eb,2017-08-10T05:37:43.675Z,2017-08-10T05:37:43.000Z,534,fcffff079dffdc00e9ff25,yilan,宜蘭市中山路二段,1011,192.168.88.113,-91.0,16.3,1502343463.0,0.675,-99,220,-23,242.34273250914703,37,2017-08-10 13:37:43,-75.57377049180329,-37.34426229508199,32.57377049180328,90.3716727562587
286,286,AV3Kphmh-R03vmj0O3l8,parking_record_index_v2,101a0d0101eb,2017-08-10T05:37:49.472Z,2017-08-10T05:37:49.000Z,536,fcffff079dffdc00e2ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,23.8,1502343469.0,0.47200000000000003,-99,220,-30,243.10697233933868,37,2017-08-10 13:37:49,-75.57377049180329,-37.34426229508199,25.57377049180328,88.09089879141357
288,288,AV3KpiXr-R03vmj0O3mL,parking_record_index_v2,101a0d0101eb,2017-08-10T05:37:52.618Z,2017-08-10T05:37:52.000Z,537,fcffff079dffdb00e2ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-95.0,10.0,1502343472.0,0.618,-99,219,-30,242.20239470327286,37,2017-08-10 13:37:52,-75.57377049180329,-38.34426229508199,25.57377049180328,88.51946099287564
289,289,AV3KpjHx-R03vmj0O3mZ,parking_record_index_v2,101a0d0101eb,2017-08-10T05:37:55.696Z,2017-08-10T05:37:55.000Z,538,fcffff079dffdc00e3ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-90.0,28.8,1502343475.0,0.696,-99,220,-29,242.98559628093184,37,2017-08-10 13:37:55,-75.57377049180329,-37.34426229508199,26.57377049180328,88.38639030338706
290,290,AV3Kpki9-R03vmj0O3m5,parking_record_index_v2,101a0d0101eb,2017-08-10T05:38:01.532Z,2017-08-10T05:38:01.000Z,540,fcffff079dffdd00e1ff25,yilan,宜蘭市中山路二段,1011,10.5.180.50,-90.0,21.3,1502343481.0,0.532,-99,221,-31,244.13725647676145,37,2017-08-10 13:38:01,-75.57377049180329,-36.34426229508199,24.57377049180328,87.3851840091059
292,292,AV3KplXI-R03vmj0O3nN,parking_record_index_v2,101a0d0101eb,2017-08-10T05:38:04.872Z,2017-08-10T05:38:04.000Z,541,fcffff079dffde00e2ff25,yilan,宜蘭市中山路二段,1011,10.5.180.50,-93.0,13.3,1502343484.0,0.872,-99,222,-30,244.9183537426299,37,2017-08-10 13:38:04,-75.57377049180329,-35.34426229508199,25.57377049180328,87.26184389925953
293,293,AV3KpmwN-R03vmj0O3nk,parking_record_index_v2,101a0d0101eb,2017-08-10T05:38:10.572Z,2017-08-10T05:38:10.000Z,542,fcffff079dffdd00e8ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-80.0,29.5,1502343490.0,0.5720000000000001,-99,221,-24,243.34748817277733,37,2017-08-10 13:38:10,-75.57377049180329,-36.34426229508199,31.57377049180328,89.6058210787142
295,295,AV3KprFj-R03vmj0O3pD,parking_record_index_v2,101a0d0101eb,2017-08-10T05:38:28.322Z,2017-08-10T05:38:28.000Z,545,fcffff079dffd700e9ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-83.0,22.5,1502343508.0,0.322,-99,215,-23,237.81295170784958,37,2017-08-10 13:38:28,-75.57377049180329,-42.34426229508199,32.57377049180328,92.54988849110048
296,296,AV3KpuE7-R03vmj0O3qA,parking_record_index_v2,101a0d0101eb,2017-08-10T05:38:40.570Z,2017-08-10T05:38:40.000Z,547,fcffff079dffdd00e8ff25,yilan,宜蘭市中山路二段,1011,10.5.151.1,-89.0,24.5,1502343520.0,0.57,-99,221,-24,243.34748817277733,37,2017-08-10 13:38:40,-75.57377049180329,-36.34426229508199,31.57377049180328,89.6058210787142
297,297,AV3Kpuzt-R03vmj0O3qQ,parking_record_index_v2,101a0d0101eb,2017-08-10T05:38:43.564Z,2017-08-10T05:38:43.000Z,548,fcffff079dffdc00e7ff26,yilan,宜蘭市中山路二段,1011,10.5.180.50,-91.0,17.5,1502343523.0,0.564,-99,220,-25,242.5407182309808,38,2017-08-10 13:38:43,-75.57377049180329,-37.34426229508199,30.57377049180328,89.6701965805646
