,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1,1,AV3LHatf-R03vmj0PBTA,parking_record_index_v2,101a0d0100b8,2017-08-10T07:48:25.567Z,2017-08-10T07:48:24.000Z,2888,fcffff07f3fe0e004cff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-84.0,21.3,1502351304.0,1.567,-269,14,-180,323.9706776854967,39,2017-08-10 15:48:24,-0.3396226415094361,-1.0,3.3018867924528195,3.4666698615242
2,2,AV3LHbZe-R03vmj0PBTO,parking_record_index_v2,101a0d0100b8,2017-08-10T07:48:28.382Z,2017-08-10T07:48:27.000Z,2889,fcffff07f3fe10004cff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,24.5,1502351307.0,1.382,-269,16,-180,324.0632654282185,39,2017-08-10 15:48:27,-0.3396226415094361,1.0,3.3018867924528195,3.4666698615242
4,4,AV3LHcKU-R03vmj0PBTf,parking_record_index_v2,101a0d0100b8,2017-08-10T07:48:31.507Z,2017-08-10T07:48:30.000Z,2890,fcffff07f3fe12004bff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-62.0,27.5,1502351310.0,1.507,-269,18,-181,324.72449861382495,39,2017-08-10 15:48:30,-0.3396226415094361,3.0,2.3018867924528195,3.7965808754581505
8,8,AV3LHfzu-R03vmj0PBUW,parking_record_index_v2,101a0d0100b8,2017-08-10T07:48:46.445Z,2017-08-10T07:48:45.000Z,2893,fcffff07f3fe130047ff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-67.0,23.0,1502351325.0,1.445,-269,19,-185,327.02752177760215,39,2017-08-10 15:48:45,-0.3396226415094361,4.0,-1.6981132075471805,4.358776434307226
10,10,AV3LHhSk-R03vmj0PBU0,parking_record_index_v2,101a0d0100b8,2017-08-10T07:48:52.515Z,2017-08-10T07:48:51.000Z,2894,fcffff07f3fe0b0048ff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.8,-13.8,1502351331.0,1.515,-269,11,-184,326.0950781597294,39,2017-08-10 15:48:51,-0.3396226415094361,-4.0,-0.6981132075471805,4.074641774337673
13,13,AV3LHisV-R03vmj0PBVO,parking_record_index_v2,101a0d0100b8,2017-08-10T07:48:58.261Z,2017-08-10T07:48:57.000Z,2895,fcffff07f3fe0f004bff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,23.0,1502351337.0,1.261,-269,15,-181,324.57202590488293,39,2017-08-10 15:48:57,-0.3396226415094361,0.0,2.3018867924528195,2.3268060391649703
14,14,AV3LHjce-R03vmj0PBVc,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:01.341Z,2017-08-10T07:49:00.000Z,2896,fcffff07f3fe14004bff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-82.0,29.5,1502351340.0,1.341,-269,20,-181,324.84149981183134,39,2017-08-10 15:49:00,-0.3396226415094361,5.0,2.3018867924528195,5.514891326571592
16,16,AV3LHpTA-R03vmj0PBWs,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:25.311Z,2017-08-10T07:49:24.000Z,2900,fcffff07f3fe0f004bff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-130.3,-11.3,1502351364.0,1.311,-269,15,-181,324.57202590488293,39,2017-08-10 15:49:24,-0.3396226415094361,0.0,2.3018867924528195,2.3268060391649703
17,17,AV3LHq34-R03vmj0PBXB,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:31.767Z,2017-08-10T07:49:30.000Z,2901,fcffff07f3fe0a0049ff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.3,-13.3,1502351370.0,1.767,-269,10,-183,325.49961597519587,39,2017-08-10 15:49:30,-0.3396226415094361,-5.0,0.30188679245281946,5.020605458914622
18,18,AV3LHsOg-R03vmj0PBXZ,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:37.312Z,2017-08-10T07:49:36.000Z,2902,fcffff07f3fe0b0046ff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.0,-13.0,1502351376.0,1.3119999999999998,-269,11,-186,327.22774943454897,39,2017-08-10 15:49:36,-0.3396226415094361,-4.0,-2.6981132075471805,4.83685418628331
19,19,AV3LHtry-R03vmj0PBXu,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:43.281Z,2017-08-10T07:49:42.000Z,2903,fcffff07f3fe0a0046ff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-64.0,10.5,1502351382.0,1.281,-269,10,-186,327.19566011791784,39,2017-08-10 15:49:42,-0.3396226415094361,-5.0,-2.6981132075471805,5.691674482906272
20,20,AV3LHuee-R03vmj0PBYB,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:46.526Z,2017-08-10T07:49:45.000Z,2904,fcffff07f4fe0a0048ff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-82.0,27.0,1502351385.0,1.526,-268,10,-184,325.23837411966014,39,2017-08-10 15:49:45,0.6603773584905639,-5.0,-0.6981132075471805,5.091508647361683
22,22,AV3LHvNK-R03vmj0PBYM,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:49.513Z,2017-08-10T07:49:48.000Z,2905,fcffff07f3fe0c004cff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,27.5,1502351388.0,1.5130000000000001,-269,12,-180,323.89041356607015,39,2017-08-10 15:49:48,-0.3396226415094361,-3.0,3.3018867924528195,4.47412560494229
23,23,AV3LHwor-R03vmj0PBYm,parking_record_index_v2,101a0d0100b8,2017-08-10T07:49:55.370Z,2017-08-10T07:49:54.000Z,2907,fcffff07f3fe12004cff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-64.0,28.8,1502351394.0,1.37,-269,18,-180,324.1681662347492,39,2017-08-10 15:49:54,-0.3396226415094361,3.0,3.3018867924528195,4.47412560494229
24,24,AV3LHyHB-R03vmj0PBY9,parking_record_index_v2,101a0d0100b8,2017-08-10T07:50:01.407Z,2017-08-10T07:50:00.000Z,2909,fcffff07f4fe130046ff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.8,-12.8,1502351400.0,1.4069999999999998,-268,19,-186,326.7736219464478,39,2017-08-10 15:50:00,0.6603773584905639,4.0,-2.6981132075471805,4.8698986782424445
26,26,AV3LHy08-R03vmj0PBZJ,parking_record_index_v2,101a0d0100b8,2017-08-10T07:50:04.348Z,2017-08-10T07:50:03.000Z,2910,fcffff07f4fe0f0045ff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.5,-13.5,1502351403.0,1.348,-268,15,-187,327.1360573217205,39,2017-08-10 15:50:03,0.6603773584905639,0.0,-3.6981132075471805,3.756612776350774
28,28,AV3LH0S4-R03vmj0PBZd,parking_record_index_v2,101a0d0100b8,2017-08-10T07:50:10.360Z,2017-08-10T07:50:09.000Z,2912,fcffff07f4fe0d0045ff27,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,25.5,1502351409.0,1.36,-268,13,-187,327.0504548231052,39,2017-08-10 15:50:09,0.6603773584905639,-2.0,-3.6981132075471805,4.255835940381381
29,29,AV3LH1Iy-R03vmj0PBZk,parking_record_index_v2,101a0d0100b8,2017-08-10T07:50:13.808Z,2017-08-10T07:50:12.000Z,2913,fcffff07f4fe0d0045ff27,yilan,宜蘭市中山路二段,1008,10.5.180.50,-84.0,17.0,1502351412.0,1.808,-268,13,-187,327.0504548231052,39,2017-08-10 15:50:12,0.6603773584905639,-2.0,-3.6981132075471805,4.255835940381381
12,12,AV3LH23l-R03vmj0PBZ_,parking_record_index_v2,101a0d0100b8,2017-08-10T07:50:20.901Z,2017-08-10T07:48:55.000Z,2914,fcffff07f4fe0b0045ff27,yilan,宜蘭市中山路二段,1008,192.168.0.225,-103.8,-1.8,1502351335.0,85.90100000000001,-268,11,-187,326.9770634157693,39,2017-08-10 15:48:55,0.6603773584905639,-4.0,-3.6981132075471805,5.487452920202767
