,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3,3,AV3LHbZg-R03vmj0PBTP,parking_record_index_v2,101a0d0101eb,2017-08-10T07:48:28.383Z,2017-08-10T07:48:28.000Z,2360,fcffff07aaffeb00cfff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,29.5,1502351308.0,0.38299999999999995,-86,235,-49,254.99411757921,38,2017-08-10 15:48:28,-0.051282051282058205,-0.2307692307692264,-3.2564102564102555,3.264979639248524
4,4,AV3LHf0B-R03vmj0PBUX,parking_record_index_v2,101a0d0101eb,2017-08-10T07:48:46.464Z,2017-08-10T07:48:46.000Z,2363,fcffff07aaffe800d6ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-84.0,28.8,1502351326.0,0.46399999999999997,-86,232,-42,250.96613317338262,38,2017-08-10 15:48:46,-0.051282051282058205,-3.2307692307692264,3.7435897435897445,4.945196036516571
5,5,AV3LHhTS-R03vmj0PBU1,parking_record_index_v2,101a0d0101eb,2017-08-10T07:48:52.562Z,2017-08-10T07:48:52.000Z,2365,fcffff07a9ffee00d2ff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,30.0,1502351332.0,0.562,-87,238,-46,257.5441709687874,39,2017-08-10 15:48:52,-1.0512820512820582,2.7692307692307736,-0.2564102564102555,2.973142987512482
6,6,AV3LHiAp-R03vmj0PBVD,parking_record_index_v2,101a0d0101eb,2017-08-10T07:48:55.464Z,2017-08-10T07:48:55.000Z,2366,fcffff07aaffee00cfff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-81.0,25.0,1502351335.0,0.46399999999999997,-86,238,-49,257.7615176864072,39,2017-08-10 15:48:55,-0.051282051282058205,2.7692307692307736,-3.2564102564102555,4.274982650267959
10,10,AV3LHsQF-R03vmj0PBXc,parking_record_index_v2,101a0d0101eb,2017-08-10T07:49:37.413Z,2017-08-10T07:49:37.000Z,2373,fcffff07aaffed00d0ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,30.0,1502351377.0,0.413,-86,237,-48,256.6495665299281,38,2017-08-10 15:49:37,-0.051282051282058205,1.7692307692307736,-2.2564102564102555,2.8677856629828535
13,13,AV3LHtvq-R03vmj0PBXx,parking_record_index_v2,101a0d0101eb,2017-08-10T07:49:43.530Z,2017-08-10T07:49:43.000Z,2374,fcffff07aaffee00d1ff26,yilan,宜蘭市中山路二段,1011,192.168.88.113,-101.0,15.8,1502351383.0,0.53,-86,238,-47,257.38881094561975,38,2017-08-10 15:49:43,-0.051282051282058205,2.7692307692307736,-1.2564102564102555,3.041354243499274
15,15,AV3LHvNL-R03vmj0PBYN,parking_record_index_v2,101a0d0101eb,2017-08-10T07:49:49.515Z,2017-08-10T07:49:49.000Z,2375,fcffff07a9ffed00ceff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,27.5,1502351389.0,0.515,-87,237,-50,257.3674416082967,38,2017-08-10 15:49:49,-1.0512820512820582,1.7692307692307736,-4.2564102564102555,4.7278324565296455
16,16,AV3LHwo7-R03vmj0PBYn,parking_record_index_v2,101a0d0101eb,2017-08-10T07:49:55.387Z,2017-08-10T07:49:55.000Z,2376,fcffff07aaffe900cfff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,25.5,1502351395.0,0.387,-86,233,-49,253.1521281759251,38,2017-08-10 15:49:55,-0.051282051282058205,-2.2307692307692264,-3.2564102564102555,3.947552275497353
18,18,AV3LH2gn-R03vmj0PBZ3,parking_record_index_v2,101a0d0101eb,2017-08-10T07:50:19.430Z,2017-08-10T07:50:19.000Z,2380,fcffff07aaffed00d5ff26,yilan,宜蘭市中山路二段,1011,10.5.180.50,-89.0,20.8,1502351419.0,0.43,-86,237,-43,255.76160775221916,38,2017-08-10 15:50:19,-0.051282051282058205,1.7692307692307736,2.7435897435897445,3.2649796392485286
19,19,AV3LH3_K-R03vmj0PBaV,parking_record_index_v2,101a0d0101eb,2017-08-10T07:50:25.482Z,2017-08-10T07:50:25.000Z,2381,fcffff07aaffed00d3ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-88.0,15.0,1502351425.0,0.48200000000000004,-86,237,-45,256.10544703305317,38,2017-08-10 15:50:25,-0.051282051282058205,1.7692307692307736,0.7435897435897445,1.9198263125471722
