,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV3LHgpz-R03vmj0PBUo,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:49.906Z,2017-08-10T07:47:24.000Z,2665,fcffff07f8febdff75ff24,yilan,宜蘭市中山路二段,1003,192.168.0.225,-92.0,8.8,1502351244.0,85.906,-264,-67,-139,305.78750792012414,36
1,AV3LHsuo-R03vmj0PBXi,parking_record_index_v2,101a0d0100dc,2017-08-10T07:49:39.367Z,2017-08-10T07:48:15.000Z,2681,fcffff07f7fec1ff73ff24,yilan,宜蘭市中山路二段,1003,192.168.0.225,-95.0,9.5,1502351295.0,84.367,-265,-63,-141,306.7164814613,36
2,AV3LHaZD-R03vmj0PBS6,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:24.258Z,2017-08-10T07:48:23.000Z,2657,fcffff07f8febeff6eff24,yilan,宜蘭市中山路二段,1003,10.5.181.21,-136.0,-13.0,1502351303.0,1.258,-264,-66,-146,308.81709797224636,36
3,AV3LHaYS-R03vmj0PBS5,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:24.209Z,2017-08-10T07:48:23.000Z,2657,fcffff07f8febeff6eff24,yilan,宜蘭市中山路二段,1003,192.168.88.113,-76.0,16.3,1502351303.0,1.209,-264,-66,-146,308.81709797224636,36
4,AV3LHb3K-R03vmj0PBTZ,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:30.281Z,2017-08-10T07:48:29.000Z,2659,fcffff07f9febbff6dff24,yilan,宜蘭市中山路二段,1003,10.5.180.50,-132.0,-13.0,1502351309.0,1.281,-263,-69,-147,309.0938368845293,36
5,AV3LHcne-R03vmj0PBTo,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:33.373Z,2017-08-10T07:48:32.000Z,2660,fcffff07f8febbff70ff24,yilan,宜蘭市中山路二段,1003,10.5.180.50,-137.0,-17.0,1502351312.0,1.373,-264,-69,-144,308.533628637139,36
6,AV3LHeDl-R03vmj0PBT4,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:39.268Z,2017-08-10T07:48:38.000Z,2662,fcffff07f8febbff6eff24,yilan,宜蘭市中山路二段,1003,10.5.151.1,-73.0,25.5,1502351318.0,1.268,-264,-69,-146,309.4721312170128,36
7,AV3LHeyy-R03vmj0PBUF,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:42.289Z,2017-08-10T07:48:41.000Z,2663,fcffff07f8feb9ff6fff24,yilan,宜蘭市中山路二段,1003,10.5.151.1,-111.0,2.0,1502351321.0,1.289,-264,-71,-145,309.4543585086499,36
8,AV3LHgQI-R03vmj0PBUg,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:48.263Z,2017-08-10T07:48:47.000Z,2665,fcffff07f8febdff75ff24,yilan,宜蘭市中山路二段,1003,10.5.181.21,-135.5,-14.5,1502351327.0,1.263,-264,-67,-139,305.78750792012414,36
9,AV3LHgPt-R03vmj0PBUf,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:48.236Z,2017-08-10T07:48:47.000Z,2665,fcffff07f8febdff75ff24,yilan,宜蘭市中山路二段,1003,192.168.88.113,-73.0,22.5,1502351327.0,1.236,-264,-67,-139,305.78750792012414,36
10,AV3LHgO--R03vmj0PBUe,parking_record_index_v2,101a0d0100dc,2017-08-10T07:48:48.189Z,2017-08-10T07:48:47.000Z,2665,fcffff07f8febdff75ff24,yilan,宜蘭市中山路二段,1003,10.5.180.16,-105.0,10.5,1502351327.0,1.189,-264,-67,-139,305.78750792012414,36
