,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
0,0,AV4ICl2L-R03vmj0RIvJ,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:10.633Z,2017-08-22T03:44:10.000Z,58,fcffff077efe9cffbfff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-85,33.8,1503373450.0,0.633,-386,-100,-65,404.0061880714205,30,2017-08-22 11:44:10,0.5303030303030027,-1.8333333333333286,-4.166666666666664,4.582951399062697
1,1,AV4ICmlc-R03vmj0RIvM,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:13.657Z,2017-08-22T03:44:13.000Z,59,fcffff077efe9cffc1ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,30.0,1503373453.0,0.657,-386,-100,-63,403.68923691374283,30,2017-08-22 11:44:13,0.5303030303030027,-1.8333333333333286,-2.1666666666666643,2.8873477205740348
2,2,AV4ICnUV-R03vmj0RIvQ,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:16.658Z,2017-08-22T03:44:16.000Z,60,fcffff077efe9effbfff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,23.8,1503373456.0,0.6579999999999999,-386,-98,-65,403.5157989472036,30,2017-08-22 11:44:16,0.5303030303030027,0.1666666666666714,-4.166666666666664,4.203583018430518
3,3,AV4ICoDo-R03vmj0RIvV,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:19.685Z,2017-08-22T03:44:19.000Z,61,fcffff077efe9fffc2ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,27.5,1503373459.0,0.685,-386,-97,-62,402.8014399179824,30,2017-08-22 11:44:19,0.5303030303030027,1.1666666666666714,-1.1666666666666643,1.7330445828572256
4,4,AV4ICoxt-R03vmj0RIvZ,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:22.635Z,2017-08-22T03:44:22.000Z,62,fcffff077efe9fffc0ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-85,23.8,1503373462.0,0.635,-386,-97,-64,403.11412776036514,30,2017-08-22 11:44:22,0.5303030303030027,1.1666666666666714,-3.1666666666666643,3.4161542987455107
5,5,AV4ICpgA-R03vmj0RIvd,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:25.598Z,2017-08-22T03:44:25.000Z,63,fcffff077efe9fffc1ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83,21.2,1503373465.0,0.598,-386,-97,-63,402.9565733425874,30,2017-08-22 11:44:25,0.5303030303030027,1.1666666666666714,-2.1666666666666643,2.5172955447273377
6,6,AV4ICqPo-R03vmj0RIvg,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:28.646Z,2017-08-22T03:44:28.000Z,64,fcffff077dfe9fffc2ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83,23.8,1503373468.0,0.6459999999999999,-387,-97,-62,403.7598296017077,30,2017-08-22 11:44:28,-0.46969696969699726,1.1666666666666714,-1.1666666666666643,1.7154700421647617
7,7,AV4ICq-U-R03vmj0RIvm,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:31.634Z,2017-08-22T03:44:31.000Z,65,fcffff077efea0ffc2ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,24.5,1503373471.0,0.634,-386,-96,-62,402.56179649837617,30,2017-08-22 11:44:31,0.5303030303030027,2.1666666666666714,-1.1666666666666643,2.5172955447273404
8,8,AV4ICrsv-R03vmj0RIvq,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:34.605Z,2017-08-22T03:44:34.000Z,66,fcffff077dfea1ffc2ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,30.5,1503373474.0,0.605,-387,-95,-62,403.2840190238141,30,2017-08-22 11:44:34,-0.46969696969699726,3.1666666666666714,-1.1666666666666643,3.407272242165491
9,9,AV4ICscL-R03vmj0RIvv,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:37.640Z,2017-08-22T03:44:37.000Z,67,fcffff077dfea0ffc5ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,22.0,1503373477.0,0.64,-387,-96,-59,403.0707133990263,30,2017-08-22 11:44:37,-0.46969696969699726,2.1666666666666714,1.8333333333333357,2.8768334673557536
10,10,AV4ICtKQ-R03vmj0RIv0,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:40.590Z,2017-08-22T03:44:40.000Z,68,fcffff077dfea0ffc7ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-85,24.5,1503373480.0,0.59,-387,-96,-57,402.7828198918122,30,2017-08-22 11:44:40,-0.46969696969699726,2.1666666666666714,3.8333333333333357,4.428261976467909
11,11,AV4ICt6P-R03vmj0RIv5,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:43.661Z,2017-08-22T03:44:43.000Z,69,fcffff077dfea0ffc6ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83,20.0,1503373483.0,0.6609999999999999,-387,-96,-58,402.9255514359942,30,2017-08-22 11:44:43,-0.46969696969699726,2.1666666666666714,2.8333333333333357,3.5976155249782873
12,12,AV4ICuol-R03vmj0RIv9,parking_record_index_v2,101a0d0100da,2017-08-22T03:44:46.627Z,2017-08-22T03:44:46.000Z,70,fcffff077cfea0ffc7ff1e,yilan,宜蘭市中山路二段,1009,10.5.151.1,-85,29.5,1503373486.0,0.627,-388,-96,-57,403.74373060147934,30,2017-08-22 11:44:46,-1.4696969696969973,2.1666666666666714,3.8333333333333357,4.642079067791227
