,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
0,0,AV4ICl5r-R03vmj0RIvK,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:10.857Z,2017-08-22T03:44:10.000Z,80,fcffff0794ffee007cff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,27.5,1503373450.0,0.857,-108,238,-132,292.80027322391624,32,2017-08-22 11:44:10,-0.19696969696970257,1.8484848484848442,1.4545454545454675,2.360380430341951
1,1,AV4ICmpo-R03vmj0RIvN,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:13.926Z,2017-08-22T03:44:13.000Z,81,fcffff0794ffed007dff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,27.5,1503373453.0,0.9259999999999999,-108,237,-131,291.5373046455633,32,2017-08-22 11:44:13,-0.19696969696970257,0.8484848484848442,2.4545454545454675,2.6045185712646592
2,2,AV4ICnYL-R03vmj0RIvR,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:16.905Z,2017-08-22T03:44:16.000Z,82,fcffff0794ffed007dff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,21.2,1503373456.0,0.905,-108,237,-131,291.5373046455633,32,2017-08-22 11:44:16,-0.19696969696970257,0.8484848484848442,2.4545454545454675,2.6045185712646592
3,3,AV4ICoIM-R03vmj0RIvW,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:19.978Z,2017-08-22T03:44:19.000Z,83,fcffff0793ffed007fff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,23.0,1503373459.0,0.978,-109,237,-129,291.0171816233536,32,2017-08-22 11:44:19,-1.1969696969697026,0.8484848484848442,4.4545454545454675,4.689950767351804
4,4,AV4ICo2L-R03vmj0RIva,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:22.921Z,2017-08-22T03:44:22.000Z,84,fcffff0794ffeb007fff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,31.2,1503373462.0,0.9209999999999999,-108,235,-129,289.01557051480813,32,2017-08-22 11:44:22,-0.19696969696970257,-1.1515151515151558,4.4545454545454675,4.605188314532316
5,5,AV4ICpji-R03vmj0RIve,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:25.824Z,2017-08-22T03:44:25.000Z,85,fcffff0793ffec007dff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76,25.5,1503373465.0,0.8240000000000001,-109,236,-131,291.09792166898063,32,2017-08-22 11:44:25,-1.1969696969697026,-0.15151515151515582,2.4545454545454675,2.7350478396240563
6,6,AV4ICqTW-R03vmj0RIvh,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:28.884Z,2017-08-22T03:44:28.000Z,86,fcffff0794ffec007eff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,23.8,1503373468.0,0.884,-108,236,-130,290.2757309869358,32,2017-08-22 11:44:28,-0.19696969696970257,-0.15151515151515582,3.4545454545454675,3.4634719863431473
7,7,AV4ICrCn-R03vmj0RIvn,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:31.908Z,2017-08-22T03:44:31.000Z,87,fcffff0794ffeb007cff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,25.0,1503373471.0,0.9079999999999999,-108,235,-132,290.36700914532287,32,2017-08-22 11:44:31,-0.19696969696970257,-1.1515151515151558,1.4545454545454675,1.8656062513382048
8,8,AV4ICrwy-R03vmj0RIvr,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:34.864Z,2017-08-22T03:44:34.000Z,88,fcffff0794ffea007dff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,27.0,1503373474.0,0.8640000000000001,-108,234,-131,289.10378759193037,32,2017-08-22 11:44:34,-0.19696969696970257,-2.151515151515156,2.4545454545454675,3.2699553356511517
9,9,AV4ICsgt-R03vmj0RIvw,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:37.930Z,2017-08-22T03:44:37.000Z,89,fcffff0794ffe9007aff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,25.0,1503373477.0,0.93,-108,233,-134,289.67050246789023,32,2017-08-22 11:44:37,-0.19696969696970257,-3.151515151515156,-0.5454545454545325,3.2044290400804543
10,10,AV4ICtOB-R03vmj0RIv1,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:40.831Z,2017-08-22T03:44:40.000Z,90,fcffff0794ffe9007cff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,22.0,1503373480.0,0.831,-108,233,-132,288.7507575747638,32,2017-08-22 11:44:40,-0.19696969696970257,-3.151515151515156,1.4545454545454675,3.476571197472132
11,11,AV4ICt-B-R03vmj0RIv6,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:43.903Z,2017-08-22T03:44:43.000Z,91,fcffff0795ffe9007bff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,24.5,1503373483.0,0.903,-107,233,-133,288.83732445790315,32,2017-08-22 11:44:43,0.8030303030302974,-3.151515151515156,0.45454545454546746,3.283826577038208
12,12,AV4ICusI-R03vmj0RIv-,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:46.853Z,2017-08-22T03:44:46.000Z,92,fcffff0795ffe8007aff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,28.8,1503373486.0,0.853,-107,232,-134,288.4943673626922,32,2017-08-22 11:44:46,0.8030303030302974,-4.151515151515156,-0.5454545454545325,4.26350283006847
13,13,AV4ICvb3-R03vmj0RIwD,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:49.909Z,2017-08-22T03:44:49.000Z,93,fcffff0795ffe9007cff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,22.5,1503373489.0,0.909,-107,233,-132,288.3782238658113,32,2017-08-22 11:44:49,0.8030303030302974,-3.151515151515156,1.4545454545454675,3.562668648240165
14,14,AV4ICwKk-R03vmj0RIwG,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:52.897Z,2017-08-22T03:44:52.000Z,94,fcffff0795ffea007aff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,21.2,1503373492.0,0.897,-107,234,-134,290.1051533496087,32,2017-08-22 11:44:52,0.8030303030302974,-2.151515151515156,-0.5454545454545325,2.360380430341945
15,15,AV4ICw5n-R03vmj0RIwJ,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:55.909Z,2017-08-22T03:44:55.000Z,95,fcffff0795ffe9007aff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,25.5,1503373495.0,0.909,-107,233,-134,289.2991531270011,32,2017-08-22 11:44:55,0.8030303030302974,-3.151515151515156,-0.5454545454545325,3.2976394707383547
16,16,AV4ICxny-R03vmj0RIwO,parking_record_index_v2,101a0d0101eb,2017-08-22T03:44:58.864Z,2017-08-22T03:44:58.000Z,96,fcffff0795ffeb0078ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,25.0,1503373498.0,0.8640000000000001,-107,235,-136,291.83899670880174,32,2017-08-22 11:44:58,0.8030303030302974,-1.1515151515151558,-2.5454545454545325,2.906919960151818
17,17,AV4ICyXk-R03vmj0RIwT,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:01.921Z,2017-08-22T03:45:01.000Z,97,fcffff0795ffeb0079ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,22.5,1503373501.0,0.9209999999999999,-107,235,-135,291.3743296860587,32,2017-08-22 11:45:01,0.8030303030302974,-1.1515151515151558,-1.5454545454545325,2.0878875840954607
18,18,AV4ICzGN-R03vmj0RIwX,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:04.907Z,2017-08-22T03:45:04.000Z,98,fcffff0795ffeb0078ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,22.5,1503373504.0,0.907,-107,235,-136,291.83899670880174,32,2017-08-22 11:45:04,0.8030303030302974,-1.1515151515151558,-2.5454545454545325,2.906919960151818
19,19,AV4ICz1O-R03vmj0RIwc,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:07.915Z,2017-08-22T03:45:07.000Z,99,fcffff0794ffed0077ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-81,25.0,1503373507.0,0.915,-108,237,-137,294.2821775099539,32,2017-08-22 11:45:07,-0.19696969696970257,0.8484848484848442,-3.5454545454545325,3.6508864038089284
20,20,AV4IC0jH-R03vmj0RIwi,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:10.853Z,2017-08-22T03:45:10.000Z,100,fcffff0793ffee0079ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,25.0,1503373510.0,0.853,-109,238,-135,294.5335295004628,32,2017-08-22 11:45:10,-1.1969696969697026,1.8484848484848442,-1.5454545454545325,2.690364741556032
21,21,AV4IC1TV-R03vmj0RIwo,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:13.938Z,2017-08-22T03:45:13.000Z,101,fcffff0794ffef007bff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,20.5,1503373513.0,0.938,-108,239,-133,294.06461874900896,32,2017-08-22 11:45:13,-0.19696969696970257,2.848484848484844,0.45454545454546746,2.891241007564054
22,22,AV4IC2C4-R03vmj0RIwr,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:16.981Z,2017-08-22T03:45:16.000Z,102,fcffff0794ffec007eff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,33.8,1503373516.0,0.981,-108,236,-130,290.2757309869358,32,2017-08-22 11:45:16,-0.19696969696970257,-0.15151515151515582,3.4545454545454675,3.4634719863431473
23,23,AV4IC2xO-R03vmj0RIwx,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:19.947Z,2017-08-22T03:45:19.000Z,103,fcffff0793ffeb007dff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,30.0,1503373519.0,0.9470000000000001,-109,235,-131,290.2877882378107,32,2017-08-22 11:45:19,-1.1969696969697026,-1.1515151515151558,2.4545454545454675,2.963699881577507
24,24,AV4IC3fg-R03vmj0RIw1,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:22.910Z,2017-08-22T03:45:22.000Z,104,fcffff0794ffea007bff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,30.0,1503373522.0,0.91,-108,234,-133,290.0155168262553,32,2017-08-22 11:45:22,-0.19696969696970257,-2.151515151515156,0.45454545454546746,2.2078102452365704
25,25,AV4IC4O3-R03vmj0RIw4,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:25.941Z,2017-08-22T03:45:25.000Z,105,fcffff0794ffeb0077ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77,29.5,1503373525.0,0.941,-108,235,-137,292.67387994148027,32,2017-08-22 11:45:25,-0.19696969696970257,-1.1515151515151558,-3.5454545454545325,3.732965595820234
26,26,AV4IC49Q-R03vmj0RIw8,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:28.910Z,2017-08-22T03:45:28.000Z,106,fcffff0795ffec0077ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-81,25.0,1503373528.0,0.91,-107,236,-137,293.11090051378164,32,2017-08-22 11:45:28,0.8030303030302974,-0.15151515151515582,-3.5454545454545325,3.6384148255260556
27,27,AV4IC5ry-R03vmj0RIxC,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:31.888Z,2017-08-22T03:45:31.000Z,107,fcffff0794ffee0078ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,34.5,1503373531.0,0.888,-108,238,-136,294.62518561725165,32,2017-08-22 11:45:31,-0.19696969696970257,1.8484848484848442,-2.5454545454545325,3.151988600800694
28,28,AV4IC6bT-R03vmj0RIxG,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:34.929Z,2017-08-22T03:45:34.000Z,108,fcffff0794ffef007bff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79,31.2,1503373534.0,0.929,-108,239,-133,294.06461874900896,32,2017-08-22 11:45:34,-0.19696969696970257,2.848484848484844,0.45454545454546746,2.891241007564054
29,29,AV4IC7Jl-R03vmj0RIxJ,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:37.890Z,2017-08-22T03:45:37.000Z,109,fcffff0794ffee007cff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,24.5,1503373537.0,0.89,-108,238,-132,292.80027322391624,32,2017-08-22 11:45:37,-0.19696969696970257,1.8484848484848442,1.4545454545454675,2.360380430341951
30,30,AV4IC8H6-R03vmj0RIxO,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:41.879Z,2017-08-22T03:45:40.000Z,110,fcffff0794ffed007cff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76,26.2,1503373540.0,1.879,-108,237,-132,291.98801345260733,32,2017-08-22 11:45:40,-0.19696969696970257,0.8484848484848442,1.4545454545454675,1.6954132472561272
31,31,AV4IC8nJ-R03vmj0RIxS,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:43.878Z,2017-08-22T03:45:43.000Z,111,fcffff0794ffec007dff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,34.5,1503373543.0,0.878,-108,236,-131,290.72495592913936,32,2017-08-22 11:45:43,-0.19696969696970257,-0.15151515151515582,2.4545454545454675,2.4670928825426928
32,32,AV4IC9Wf-R03vmj0RIxV,parking_record_index_v2,101a0d0101eb,2017-08-22T03:45:46.908Z,2017-08-22T03:45:46.000Z,112,fcffff0794ffeb007eff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78,30.5,1503373546.0,0.9079999999999999,-108,235,-130,289.4632964643359,32,2017-08-22 11:45:46,-0.19696969696970257,-1.1515151515151558,3.4545454545454675,3.646733950155133
