,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
929,929,AV4INRM--R03vmj0RJrz,parking_record_index_v2,101a0d0100da,2017-08-22T04:30:49.660Z,2017-08-22T04:30:49.000Z,991,fcffff077ffe96ffc2ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-90,32.5,1503376249.0,0.66,-385,-106,-62,404.11013350323196,33,2017-08-22 12:30:49,1.530303030302946,-7.833333333333314,-1.1666666666666572,8.06622895700192
930,930,AV4INR7U-R03vmj0RJr1,parking_record_index_v2,101a0d0100da,2017-08-22T04:30:52.626Z,2017-08-22T04:30:52.000Z,992,fcffff077efe95ffc3ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-88,28.8,1503376252.0,0.626,-386,-107,-61,405.17403668053566,33,2017-08-22 12:30:52,0.5303030303029459,-8.833333333333314,-0.1666666666666572,8.85080656547773
931,931,AV4INSqb-R03vmj0RJr4,parking_record_index_v2,101a0d0100da,2017-08-22T04:30:55.641Z,2017-08-22T04:30:55.000Z,993,fcffff077efe98ffc6ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-87,30.0,1503376255.0,0.6409999999999999,-386,-104,-58,403.950492016039,33,2017-08-22 12:30:55,0.5303030303029459,-5.833333333333314,2.833333333333343,6.506671719051444
932,932,AV4INTZM-R03vmj0RJr7,parking_record_index_v2,101a0d0100da,2017-08-22T04:30:58.634Z,2017-08-22T04:30:58.000Z,994,fcffff077efe9affc3ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-88,25.0,1503376258.0,0.634,-386,-102,-61,403.8824086290464,33,2017-08-22 12:30:58,0.5303030303029459,-3.8333333333333144,-0.1666666666666572,3.8734278780132927
933,933,AV4INUI1-R03vmj0RJsC,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:01.683Z,2017-08-22T04:31:01.000Z,995,fcffff077efe98ffc0ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,25.0,1503376261.0,0.6829999999999999,-386,-104,-64,404.85552978809613,33,2017-08-22 12:31:01,0.5303030303029459,-5.833333333333314,-3.166666666666657,6.658586701358161
934,934,AV4INU3j-R03vmj0RJsE,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:04.672Z,2017-08-22T04:31:04.000Z,996,fcffff077ffe96ffc1ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83,22.5,1503376264.0,0.672,-385,-106,-63,404.26476472727614,33,2017-08-22 12:31:04,1.530303030302946,-7.833333333333314,-2.166666666666657,8.270271030631921
935,935,AV4INVmG-R03vmj0RJsH,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:07.652Z,2017-08-22T04:31:07.000Z,997,fcffff077efe98ffc7ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,25.0,1503376267.0,0.652,-386,-104,-57,403.808122751388,33,2017-08-22 12:31:07,0.5303030303029459,-5.833333333333314,3.833333333333343,7.0002459618338095
936,936,AV4INWVi-R03vmj0RJsK,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:10.687Z,2017-08-22T04:31:10.000Z,998,fcffff077efe9bffc3ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-87,25.5,1503376270.0,0.687,-386,-101,-61,403.63101962064314,33,2017-08-22 12:31:10,0.5303030303029459,-2.8333333333333144,-0.1666666666666572,2.88734772057401
937,937,AV4INXDt-R03vmj0RJsN,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:13.643Z,2017-08-22T04:31:13.000Z,999,fcffff077ffe98ffc1ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83,20.0,1503376273.0,0.643,-385,-104,-63,403.74496900890296,33,2017-08-22 12:31:13,1.530303030302946,-5.833333333333314,-2.166666666666657,6.408123718123452
938,938,AV4INXyQ-R03vmj0RJsQ,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:16.622Z,2017-08-22T04:31:16.000Z,1000,fcffff077efe96ffc3ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-85,24.5,1503376276.0,0.622,-386,-106,-61,404.911101354359,33,2017-08-22 12:31:16,0.5303030303029459,-7.833333333333314,-0.1666666666666572,7.853031910850552
939,939,AV4INYho-R03vmj0RJsV,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:19.654Z,2017-08-22T04:31:19.000Z,1001,fcffff077efe99ffc6ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84,24.5,1503376279.0,0.654,-386,-103,-58,403.6941911893209,33,2017-08-22 12:31:19,0.5303030303029459,-4.833333333333314,2.833333333333343,5.627620295723339
940,940,AV4INZQn-R03vmj0RJsY,parking_record_index_v2,101a0d0100da,2017-08-22T04:31:22.660Z,2017-08-22T04:31:22.000Z,1002,fcffff077ffe9affc2ff21,yilan,宜蘭市中山路二段,1009,10.5.151.1,-87,23.0,1503376282.0,0.66,-385,-102,-62,403.07939664537554,33,2017-08-22 12:31:22,1.530303030302946,-3.8333333333333144,-1.1666666666666572,4.289217052109833
