,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
438,438,AV4IHniB-R03vmj0RJLr,parking_record_index_v2,101a0d010119,2017-08-22T04:06:08.254Z,2017-08-22T04:06:07.000Z,512,fcffff07f3fe32008aff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,29.5,1503374767.0,1.254,-269,50,-118,297.96811910001384,40,2017-08-22 12:06:07,-8.0,-19.3582089552239,-0.686567164179138,20.957376468084927
439,439,AV4IHoRx-R03vmj0RJLw,parking_record_index_v2,101a0d010119,2017-08-22T04:06:11.311Z,2017-08-22T04:06:10.000Z,513,fcffff07f3fe33008aff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77,28.8,1503374770.0,1.311,-269,51,-118,298.13755214665593,40,2017-08-22 12:06:10,-8.0,-18.3582089552239,-0.686567164179138,20.037345395899926
440,440,AV4IHpAL-R03vmj0RJLz,parking_record_index_v2,101a0d010119,2017-08-22T04:06:14.281Z,2017-08-22T04:06:13.000Z,514,fcffff07f3fe340089ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,29.5,1503374773.0,1.281,-269,52,-119,298.7072145094591,40,2017-08-22 12:06:13,-8.0,-17.3582089552239,-1.686567164179138,19.187285554046007
441,441,AV4IHpuG-R03vmj0RJL2,parking_record_index_v2,101a0d010119,2017-08-22T04:06:17.220Z,2017-08-22T04:06:16.000Z,515,fcffff07f5fe33008aff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,33.0,1503374776.0,1.22,-267,51,-118,296.33427071467787,40,2017-08-22 12:06:16,-6.0,-18.3582089552239,-0.686567164179138,19.326024177636537
442,442,AV4IHqmr-R03vmj0RJL8,parking_record_index_v2,101a0d010119,2017-08-22T04:06:20.841Z,2017-08-22T04:06:19.000Z,516,fcffff07f5fe300089ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,30.0,1503374779.0,1.841,-267,48,-119,296.23301639081365,40,2017-08-22 12:06:19,-6.0,-21.3582089552239,-1.686567164179138,22.248990956317407
443,443,AV4IHrMI-R03vmj0RJL_,parking_record_index_v2,101a0d010119,2017-08-22T04:06:23.238Z,2017-08-22T04:06:22.000Z,517,fcffff07f7fe300085ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,31.2,1503374782.0,1.238,-265,48,-123,296.0709374457412,40,2017-08-22 12:06:22,-4.0,-21.3582089552239,-5.686567164179138,22.46130307635171
444,444,AV4IHr75-R03vmj0RJMD,parking_record_index_v2,101a0d010119,2017-08-22T04:06:26.295Z,2017-08-22T04:06:25.000Z,518,fcffff07f6fe320083ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,28.0,1503374785.0,1.295,-266,50,-125,298.12916663754993,40,2017-08-22 12:06:25,-5.0,-19.3582089552239,-7.686567164179138,21.420167336497347
445,445,AV4IHsp0-R03vmj0RJMI,parking_record_index_v2,101a0d010119,2017-08-22T04:06:29.233Z,2017-08-22T04:06:28.000Z,519,fcffff07f6fe340088ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,34.5,1503374788.0,1.233,-266,52,-120,296.41187560554994,40,2017-08-22 12:06:28,-5.0,-17.3582089552239,-2.686567164179138,18.26266851423583
446,446,AV4IHtZI-R03vmj0RJMN,parking_record_index_v2,101a0d010119,2017-08-22T04:06:32.262Z,2017-08-22T04:06:31.000Z,520,fcffff07f5fe310088ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,34.5,1503374791.0,1.262,-267,49,-120,296.7995956870561,40,2017-08-22 12:06:31,-6.0,-20.3582089552239,-2.686567164179138,21.393324075332572
447,447,AV4IHuP7-R03vmj0RJMR,parking_record_index_v2,101a0d010119,2017-08-22T04:06:35.769Z,2017-08-22T04:06:34.000Z,521,fcffff07f6fe300083ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,22.5,1503374794.0,1.769,-266,48,-125,297.80026863654774,40,2017-08-22 12:06:34,-5.0,-21.3582089552239,-7.686567164179138,23.243416369898025
