,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
0,0,AV4Iv8Dk-R03vmj0RLhK,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:18.082Z,2017-08-22T07:02:17.000Z,398,fcffff07e0ffbdffa2fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71,28.0,1503385337.0,1.082,-32,-67,-350,357.78904399100884,32,2017-08-22 15:02:17,1.0200000000000031,0.8799999999999955,-3.25,3.5181387124444083
1,1,AV4Iv8yO-R03vmj0RLhS,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:21.068Z,2017-08-22T07:02:20.000Z,399,fcffff07e0ffc0ffa4fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-70,28.0,1503385340.0,1.068,-32,-64,-348,355.2801711325866,32,2017-08-22 15:02:20,1.0200000000000031,3.8799999999999955,-1.25,4.202059019100037
2,2,AV4Iv9yx-R03vmj0RLhj,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:25.199Z,2017-08-22T07:02:23.000Z,400,fcffff07deffc0ffa6fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-69,30.0,1503385343.0,2.199,-34,-64,-346,353.5081328625977,32,2017-08-22 15:02:23,-0.9799999999999969,3.8799999999999955,0.75,4.071523056547753
3,3,AV4Iv-QV-R03vmj0RLhq,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:27.091Z,2017-08-22T07:02:26.000Z,401,fcffff07deffbbffa8fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-69,30.5,1503385346.0,1.091,-34,-69,-344,352.4953900407776,32,2017-08-22 15:02:26,-0.9799999999999969,-1.1200000000000045,2.75,3.1268674420256457
4,4,AV4Iv--o-R03vmj0RLh3,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:30.054Z,2017-08-22T07:02:29.000Z,402,fcffff07dfffbaffa4fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71,30.0,1503385349.0,1.054,-33,-70,-348,356.50105189185615,32,2017-08-22 15:02:29,0.020000000000003126,-2.1200000000000045,-1.25,2.4611582639074676
5,5,AV4Iv_t7-R03vmj0RLh-,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:33.081Z,2017-08-22T07:02:32.000Z,403,fcffff07e0ffbaffa1fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-69,30.5,1503385352.0,1.081,-32,-70,-351,359.33967217661905,32,2017-08-22 15:02:32,1.0200000000000031,-2.1200000000000045,-4.25,4.857705219545545
6,6,AV4IwAci-R03vmj0RLiK,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:36.065Z,2017-08-22T07:02:35.000Z,404,fcffff07e0ffbeffa3fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71,29.5,1503385355.0,1.065,-32,-66,-349,356.62445233045923,32,2017-08-22 15:02:35,1.0200000000000031,1.8799999999999955,-2.25,3.1044001030794965
7,7,AV4IwBMF-R03vmj0RLiS,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:39.108Z,2017-08-22T07:02:38.000Z,405,fcffff07dfffc1ffa7fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-69,29.5,1503385358.0,1.108,-33,-63,-345,352.2541695991688,32,2017-08-22 15:02:38,0.020000000000003126,4.8799999999999955,1.75,5.184332165284161
8,8,AV4IwB6t-R03vmj0RLib,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:42.091Z,2017-08-22T07:02:41.000Z,406,fcffff07deffbfffa8fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-68,27.5,1503385361.0,1.091,-34,-65,-344,351.7342747017981,32,2017-08-22 15:02:41,-0.9799999999999969,2.8799999999999955,2.75,4.100890147272902
9,9,AV4IwCpB-R03vmj0RLim,parking_record_index_v2,101a0d0100b5,2017-08-22T07:02:45.055Z,2017-08-22T07:02:44.000Z,407,fcffff07deffbcffa8fe20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-68,28.8,1503385364.0,1.055,-34,-68,-344,352.3010076624817,32,2017-08-22 15:02:44,-0.9799999999999969,-0.12000000000000455,2.75,2.9218658422316373
