,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1,1,AV4Iv8Y0-R03vmj0RLhM,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:19.442Z,2017-08-22T07:02:18.000Z,392,fcffff07f9fd56ff500025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81,33.0,1503385338.0,1.442,-519,-170,80,551.9610493504048,37,2017-08-22 15:02:18,-0.6804123711340253,-2.9278350515463956,0.35051546391753163,3.0262254004454516
2,2,AV4Iv92y-R03vmj0RLhk,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:25.456Z,2017-08-22T07:02:24.000Z,394,fcffff07fafd5aff4d0025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-79,27.5,1503385344.0,1.456,-518,-166,77,549.3714590329572,37,2017-08-22 15:02:24,0.3195876288659747,1.0721649484536044,-2.6494845360824684,2.8760115153032384
3,3,AV4Iv-gw-R03vmj0RLht,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:28.142Z,2017-08-22T07:02:27.000Z,395,fcffff07f9fd5aff510025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77,23.8,1503385347.0,1.142,-519,-166,81,550.8883734478338,37,2017-08-22 15:02:27,-0.6804123711340253,1.0721649484536044,1.3505154639175316,1.8537504389116493
4,4,AV4Iv_Pz-R03vmj0RLh6,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:31.153Z,2017-08-22T07:02:30.000Z,396,fcffff07f9fd59ff530025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-79,26.2,1503385350.0,1.153,-519,-167,83,551.4879871765114,37,2017-08-22 15:02:30,-0.6804123711340253,0.07216494845360444,3.3505154639175316,3.4196670376701954
5,5,AV4Iv_-e-R03vmj0RLiC,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:34.139Z,2017-08-22T07:02:33.000Z,397,fcffff07f9fd56ff510025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-78,28.8,1503385353.0,1.139,-519,-170,81,552.1068737119651,37,2017-08-22 15:02:33,-0.6804123711340253,-2.9278350515463956,1.3505154639175316,3.2953104712813173
6,6,AV4IwAs8-R03vmj0RLiL,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:37.114Z,2017-08-22T07:02:36.000Z,398,fcffff07fafd56ff4e0025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81,25.0,1503385356.0,1.114,-518,-170,78,550.7340556021572,37,2017-08-22 15:02:36,0.3195876288659747,-2.9278350515463956,-1.6494845360824684,3.3756708335326557
7,7,AV4IwBcK-R03vmj0RLiV,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:40.136Z,2017-08-22T07:02:39.000Z,399,fcffff07fafd58ff4d0025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77,22.5,1503385359.0,1.136,-518,-168,77,549.9790905116304,37,2017-08-22 15:02:39,0.3195876288659747,-0.9278350515463956,-2.6494845360824684,2.82538182239895
8,8,AV4IwCLz-R03vmj0RLif,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:43.185Z,2017-08-22T07:02:42.000Z,400,fcffff07fafd5bff4e0025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-78,23.0,1503385362.0,1.185,-518,-165,78,549.2112526159674,37,2017-08-22 15:02:42,0.3195876288659747,2.0721649484536044,-1.6494845360824684,2.6677336937743803
9,9,AV4IwC5--R03vmj0RLiq,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:46.140Z,2017-08-22T07:02:45.000Z,401,fcffff07f9fd5cff4d0025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-78,25.5,1503385365.0,1.14,-519,-164,77,549.71447133944,37,2017-08-22 15:02:45,-0.6804123711340253,3.0721649484536044,-2.6494845360824684,4.113505411718732
10,10,AV4IwDp1-R03vmj0RLiz,parking_record_index_v2,101a0d0100cc,2017-08-22T07:02:49.203Z,2017-08-22T07:02:48.000Z,402,fcffff07fafd5cff520025,yilan,宜蘭市中山路二段,1002,10.5.151.1,-79,27.0,1503385368.0,1.203,-518,-164,82,549.4943129824002,37,2017-08-22 15:02:48,0.3195876288659747,3.0721649484536044,2.3505154639175316,3.8813988031567384
