,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
0,0,AV4I0XNv-R03vmj0RMeC,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:37.902Z,2017-08-22T07:20:00.000Z,777,fcffff0758ff840080ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-109.0,-6.0,1503386400.0,97.902,-168,132,-128,249.06224121692955,36,2017-08-22 15:20:00,-14.53125,3.3125,3.25,15.25425785846365
1,1,AV4I0Xt_-R03vmj0RMeL,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:39.965Z,2017-08-22T07:20:03.000Z,778,fcffff0758ff830080ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-104.5,-3.5,1503386403.0,96.965,-168,131,-128,248.5336999281989,36,2017-08-22 15:20:03,-14.53125,2.3125,3.25,15.068755184569826
2,2,AV4I0Y1_-R03vmj0RMeb,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:44.574Z,2017-08-22T07:20:06.000Z,779,fcffff0757ff850080ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-104.2,-2.2,1503386406.0,98.574,-169,133,-128,250.2678565057846,36,2017-08-22 15:20:06,-15.53125,4.3125,3.25,16.44323212791512
3,3,AV4I0ZCy-R03vmj0RMed,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:45.392Z,2017-08-22T07:20:09.000Z,780,fcffff0758ff87007eff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-108.0,-9.0,1503386409.0,96.39200000000001,-168,135,-130,251.69227242805846,36,2017-08-22 15:20:09,-14.53125,6.3125,1.25,15.892368697349681
4,4,AV4I0ci1-R03vmj0RMfM,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:59.732Z,2017-08-22T07:20:12.000Z,781,fcffff0758ff87007bff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-109.0,-6.0,1503386412.0,107.73200000000001,-168,135,-133,253.25481239257823,36,2017-08-22 15:20:12,-14.53125,6.3125,-1.75,15.939491297168175
28,28,AV4I0auN-R03vmj0RMez,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:52.268Z,2017-08-22T07:21:50.000Z,782,fcffff0758ff830079ff24,yilan,宜蘭市中山路二段,1015,10.5.181.4,-95.0,16.3,1503386510.0,2.2680000000000002,-168,131,-135,252.21022976873883,36,2017-08-22 15:21:50,-14.53125,2.3125,-3.75,15.18444542327773
5,5,AV4I0cjd-R03vmj0RMfO,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:59.771Z,2017-08-22T07:20:18.000Z,783,fcffff0758ff7e007bff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-111.0,-6.0,1503386418.0,101.771,-168,126,-133,248.57393266390582,36,2017-08-22 15:20:18,-14.53125,-2.6875,-1.75,14.880940252971248
6,6,AV4I0cjh-R03vmj0RMfP,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:59.776Z,2017-08-22T07:20:21.000Z,784,fcffff0758ff820081ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-90.2,-2.2,1503386421.0,98.77600000000001,-168,130,-127,247.4934342563455,36,2017-08-22 15:20:21,-14.53125,1.3125,4.25,15.196788569053002
35,35,AV4I0cmJ-R03vmj0RMfS,parking_record_index_v2,101a0d0100c0,2017-08-22T07:21:59.943Z,2017-08-22T07:21:59.000Z,785,fcffff0758ff860081ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,23.8,1503386519.0,0.943,-168,134,-127,249.61770770520266,36,2017-08-22 15:21:59,-14.53125,5.3125,4.25,16.045011150276586
36,36,AV4I0daY-R03vmj0RMfa,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:03.287Z,2017-08-22T07:22:02.000Z,786,fcffff0758ff88007bff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-86.5,-4.5,1503386522.0,1.287,-168,136,-133,253.78928267363847,36,2017-08-22 15:22:02,-14.53125,7.3125,-1.75,16.361307490921988
7,7,AV4I0eRz-R03vmj0RMfj,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:06.833Z,2017-08-22T07:20:30.000Z,787,fcffff0758ff84007aff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-105.5,-3.5,1503386430.0,96.833,-168,132,-134,252.19833464953732,36,2017-08-22 15:20:30,-14.53125,3.3125,-2.75,15.155605656406477
8,8,AV4I0e6x-R03vmj0RMfu,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:09.455Z,2017-08-22T07:20:33.000Z,788,fcffff0759ff81007aff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-98.2,-3.2,1503386433.0,96.455,-167,129,-134,249.97199843182437,36,2017-08-22 15:20:33,-13.53125,0.3125,-2.75,13.811404085483126
9,9,AV4I0fts-R03vmj0RMf5,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:12.714Z,2017-08-22T07:20:36.000Z,789,fcffff0759ff80007bff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-112.5,-9.5,1503386436.0,96.714,-167,128,-133,248.92167442792118,36,2017-08-22 15:20:36,-13.53125,-0.6875,-1.75,13.661254803732342
46,46,AV4I0gQM-R03vmj0RMgB,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:14.922Z,2017-08-22T07:22:14.000Z,790,fcffff0758ff80007dff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,25.5,1503386534.0,0.922,-168,128,-131,248.5336999281989,36,2017-08-22 15:22:14,-14.53125,-0.6875,0.25,14.549652326172609
47,47,AV4I0g-v-R03vmj0RMgK,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:17.901Z,2017-08-22T07:22:17.000Z,791,fcffff0758ff80007fff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-71.0,24.5,1503386537.0,0.9009999999999999,-168,128,-129,247.48535310195632,36,2017-08-22 15:22:17,-14.53125,-0.6875,2.25,14.720474952001378
10,10,AV4I0iHw-R03vmj0RMgY,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:22.574Z,2017-08-22T07:20:45.000Z,792,fcffff0758ff83007fff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-102.8,-0.8,1503386445.0,97.574,-168,131,-129,249.05019574374958,36,2017-08-22 15:20:45,-14.53125,2.3125,2.25,14.88513966385603
51,51,AV4I0ieM-R03vmj0RMgd,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:24.010Z,2017-08-22T07:22:23.000Z,793,fcffff0757ff84007eff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-69.0,23.0,1503386543.0,1.01,-169,132,-130,250.76881783826317,36,2017-08-22 15:22:23,-15.53125,3.3125,1.25,15.929685584232352
52,52,AV4I0jLR-R03vmj0RMgl,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:26.895Z,2017-08-22T07:22:26.000Z,794,fcffff0758ff850080ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,25.5,1503386546.0,0.895,-168,133,-128,249.59366979152333,36,2017-08-22 15:22:26,-14.53125,4.3125,3.25,15.50217348672437
53,53,AV4I0j6S-R03vmj0RMgu,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:29.904Z,2017-08-22T07:22:29.000Z,795,fcffff0758ff86007fff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-71.0,22.5,1503386549.0,0.904,-168,134,-129,250.64117778210345,36,2017-08-22 15:22:29,-14.53125,5.3125,2.25,15.634653268061303
11,11,AV4I0lH4-R03vmj0RMg7,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:34.870Z,2017-08-22T07:20:57.000Z,796,fcffff0758ff860080ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-104.0,-7.0,1503386457.0,97.87,-168,134,-128,250.12796724876648,36,2017-08-22 15:20:57,-14.53125,5.3125,3.25,15.809566180401662
57,57,AV4I0lfK-R03vmj0RMhD,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:36.360Z,2017-08-22T07:22:35.000Z,797,fcffff0758ff850081ff24,yilan,宜蘭市中山路二段,1015,10.5.181.4,-101.0,15.0,1503386555.0,1.36,-168,133,-127,249.08231571109178,36,2017-08-22 15:22:35,-14.53125,4.3125,4.25,15.742216578757262
12,12,AV4I0mLJ-R03vmj0RMhM,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:39.176Z,2017-08-22T07:21:03.000Z,798,fcffff0758ff860080ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-112.2,-12.2,1503386463.0,96.176,-168,134,-128,250.12796724876648,36,2017-08-22 15:21:03,-14.53125,5.3125,3.25,15.809566180401662
13,13,AV4I0nBf-R03vmj0RMhZ,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:42.653Z,2017-08-22T07:21:06.000Z,799,fcffff0758ff850081ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-102.8,-2.8,1503386466.0,96.65299999999999,-168,133,-127,249.08231571109178,36,2017-08-22 15:21:06,-14.53125,4.3125,4.25,15.742216578757262
66,66,AV4I0nkG-R03vmj0RMhh,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:44.868Z,2017-08-22T07:22:44.000Z,800,fcffff0757ff840081ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,25.0,1503386564.0,0.868,-169,132,-127,249.22680433693324,36,2017-08-22 15:22:44,-15.53125,3.3125,4.25,16.439430732616625
14,14,AV4I0oXb-R03vmj0RMhq,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:48.153Z,2017-08-22T07:21:12.000Z,801,fcffff0758ff820081ff24,yilan,宜蘭市中山路二段,1015,192.168.0.225,-108.8,-7.8,1503386472.0,96.15299999999999,-168,130,-127,247.4934342563455,36,2017-08-22 15:21:12,-14.53125,1.3125,4.25,15.196788569053002
70,70,AV4I0pNZ-R03vmj0RMh0,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:51.608Z,2017-08-22T07:22:50.000Z,802,fcffff0758ff80007eff24,yilan,宜蘭市中山路二段,1015,10.5.181.4,-97.5,-2.5,1503386570.0,1.608,-168,128,-130,248.0080643850115,36,2017-08-22 15:22:50,-14.53125,-0.6875,1.25,14.601108958312036
73,73,AV4I0pxN-R03vmj0RMh7,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:53.899Z,2017-08-22T07:22:53.000Z,803,fcffff0758ff7f007bff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-71.0,23.8,1503386573.0,0.899,-168,127,-133,249.08231571109178,36,2017-08-22 15:22:53,-14.53125,-1.6875,-1.75,14.733206806819078
76,76,AV4I0qvv-R03vmj0RMiF,parking_record_index_v2,101a0d0100c0,2017-08-22T07:22:57.901Z,2017-08-22T07:22:56.000Z,804,fcffff0759ff820079ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,23.8,1503386576.0,1.901,-167,130,-135,251.0258950785755,36,2017-08-22 15:22:56,-13.53125,1.3125,-3.75,14.102477896189024
