,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
554,554,AV4I2Zso-R03vmj0RM35,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:32.358Z,2017-08-22T07:30:30.000Z,596,fcffff07a0ff0c0184ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-71,32.0,1503387030.0,2.358,-96,268,-124,310.5092591212056,35,2017-08-22 15:30:30,-5.701030927835049,3.927835051546367,0.6907216494845159,6.957495111701813
555,555,AV4I2amv-R03vmj0RM4C,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:36.077Z,2017-08-22T07:30:33.000Z,597,fcffff07a0ff0c0185ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-72,23.0,1503387033.0,3.077,-96,268,-123,310.1112703530783,35,2017-08-22 15:30:33,-5.701030927835049,3.927835051546367,1.6907216494845159,7.126582738474567
556,556,AV4I2bDh-R03vmj0RM4I,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:37.919Z,2017-08-22T07:30:36.000Z,598,fcffff07a0ff0c0186ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-73,22.0,1503387036.0,1.919,-96,268,-122,309.71599894096533,35,2017-08-22 15:30:36,-5.701030927835049,3.927835051546367,2.690721649484516,7.42762578670282
557,557,AV4I2bwN-R03vmj0RM4Q,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:40.779Z,2017-08-22T07:30:39.000Z,599,fcffff07a0ff0b0189ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-72,24.5,1503387039.0,1.7790000000000001,-96,267,-119,307.6784035319996,35,2017-08-22 15:30:39,-5.701030927835049,2.927835051546367,5.690721649484516,8.570780864139921
558,558,AV4I2ckq-R03vmj0RM4Z,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:44.137Z,2017-08-22T07:30:42.000Z,600,fcffff079fff0c0187ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-73,24.5,1503387042.0,2.137,-97,268,-121,309.6352693089081,35,2017-08-22 15:30:42,-6.701030927835049,3.927835051546367,3.690721649484516,8.59960057106909
559,559,AV4I2dN9-R03vmj0RM4l,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:46.779Z,2017-08-22T07:30:45.000Z,601,fcffff079fff0c018aff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-71,28.8,1503387045.0,1.7790000000000001,-97,268,-118,308.47528264027903,35,2017-08-22 15:30:45,-6.701030927835049,3.927835051546367,6.690721649484516,10.251705218100982
560,560,AV4I2eCl-R03vmj0RM4w,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:50.147Z,2017-08-22T07:30:48.000Z,602,fcffff07a0ff0a018eff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-73,22.0,1503387048.0,2.147,-96,266,-114,304.9065430586887,35,2017-08-22 15:30:48,-5.701030927835049,1.9278350515463671,10.690721649484516,12.268244822013436
561,561,AV4I2ese-R03vmj0RM44,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:52.828Z,2017-08-22T07:30:51.000Z,603,fcffff07a0ff09018bff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-71,23.0,1503387051.0,1.828,-96,265,-117,305.17208260258667,35,2017-08-22 15:30:51,-5.701030927835049,0.9278350515463671,7.690721649484516,9.618203107278388
562,562,AV4I2fhI-R03vmj0RM4_,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:56.198Z,2017-08-22T07:30:54.000Z,604,fcffff07a1ff08018cff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-73,25.5,1503387054.0,2.198,-95,264,-116,303.606653418531,35,2017-08-22 15:30:54,-4.701030927835049,-0.07216494845363286,8.690721649484516,9.880968695075694
563,563,AV4I2gIc-R03vmj0RM5G,parking_record_index_v2,101a0d0101eb,2017-08-22T07:30:58.714Z,2017-08-22T07:30:57.000Z,605,fcffff07a1ff070187ff23,yilan,宜蘭市中山路二段,1011,10.5.151.1,-70,24.5,1503387057.0,1.714,-95,263,-121,304.68836538338644,35,2017-08-22 15:30:57,-4.701030927835049,-1.0721649484536329,3.690721649484516,6.072121190747756
