,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
219,219,AV4I91YE-R03vmj0RNz0,parking_record_index_v2,101a0d010119,2017-08-22T08:03:00.738Z,2017-08-22T08:03:00.000Z,517,fcffff070cff4a008dff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-69,29.5,1503388980.0,0.738,-244,74,-115,279.7087771236362,40,2017-08-22 16:03:00,9.484848484848527,3.0454545454545467,9.893939393939405,14.040198748590036
220,220,AV4I92Hc-R03vmj0RNz4,parking_record_index_v2,101a0d010119,2017-08-22T08:03:03.770Z,2017-08-22T08:03:03.000Z,518,fcffff070bff4a008bff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,30.0,1503388983.0,0.77,-245,74,-117,281.40717830218904,41,2017-08-22 16:03:03,8.484848484848527,3.0454545454545467,7.893939393939405,11.98255925728951
221,221,AV4I921H-R03vmj0RNz7,parking_record_index_v2,101a0d010119,2017-08-22T08:03:06.692Z,2017-08-22T08:03:06.000Z,519,fcffff070bff48008bff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,30.0,1503388986.0,0.6920000000000001,-245,72,-117,280.88787798692914,40,2017-08-22 16:03:06,8.484848484848527,1.0454545454545467,7.893939393939405,11.636146620451134
222,222,AV4I93oS-R03vmj0RN0B,parking_record_index_v2,101a0d010119,2017-08-22T08:03:09.968Z,2017-08-22T08:03:09.000Z,520,fcffff070cff47008cff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-69,28.8,1503388989.0,0.968,-244,71,-116,279.3438741050177,40,2017-08-22 16:03:09,9.484848484848527,0.045454545454546746,8.893939393939405,13.00256031861814
223,223,AV4I94TG-R03vmj0RN0E,parking_record_index_v2,101a0d010119,2017-08-22T08:03:12.708Z,2017-08-22T08:03:12.000Z,521,fcffff070bff460090ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,27.5,1503388992.0,0.708,-245,70,-112,278.3325349289946,40,2017-08-22 16:03:12,8.484848484848527,-0.9545454545454533,12.893939393939405,15.464717389277187
224,224,AV4I95Bm-R03vmj0RN0H,parking_record_index_v2,101a0d010119,2017-08-22T08:03:15.684Z,2017-08-22T08:03:15.000Z,522,fcffff070bff490092ff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,28.8,1503388995.0,0.684,-245,73,-110,278.30558743941884,41,2017-08-22 16:03:15,8.484848484848527,2.0454545454545467,14.893939393939405,17.262849381799548
225,225,AV4I95wf-R03vmj0RN0M,parking_record_index_v2,101a0d010119,2017-08-22T08:03:18.686Z,2017-08-22T08:03:18.000Z,523,fcffff070bff4b0091ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-69,27.0,1503388998.0,0.6859999999999999,-245,75,-111,279.23287772037156,40,2017-08-22 16:03:18,8.484848484848527,4.045454545454547,13.893939393939405,16.77497863404411
226,226,AV4I96fz-R03vmj0RN0Q,parking_record_index_v2,101a0d010119,2017-08-22T08:03:21.713Z,2017-08-22T08:03:21.000Z,524,fcffff070aff4b008bff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,35.0,1503389001.0,0.713,-246,75,-117,282.5420322713065,40,2017-08-22 16:03:21,7.484848484848527,4.045454545454547,7.893939393939405,11.606159505868709
227,227,AV4I97PR-R03vmj0RN0U,parking_record_index_v2,101a0d010119,2017-08-22T08:03:24.752Z,2017-08-22T08:03:24.000Z,525,fcffff070cff48008cff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,30.5,1503389004.0,0.752,-244,72,-116,279.59971387682066,40,2017-08-22 16:03:24,9.484848484848527,1.0454545454545467,8.893939393939405,13.044442645441476
228,228,AV4I978b-R03vmj0RN0Y,parking_record_index_v2,101a0d010119,2017-08-22T08:03:27.641Z,2017-08-22T08:03:27.000Z,526,fcffff070cff46008dff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,28.8,1503389007.0,0.6409999999999999,-244,70,-115,278.67723265455317,40,2017-08-22 16:03:27,9.484848484848527,-0.9545454545454533,9.893939393939405,13.739124591336699
229,229,AV4I98sw-R03vmj0RN0e,parking_record_index_v2,101a0d010119,2017-08-22T08:03:30.734Z,2017-08-22T08:03:30.000Z,527,fcffff070bff470090ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,27.0,1503389010.0,0.7340000000000001,-245,71,-112,278.5857139194327,40,2017-08-22 16:03:30,8.484848484848527,0.045454545454546746,12.893939393939405,15.435296985193427
230,230,AV4I99aS-R03vmj0RN0i,parking_record_index_v2,101a0d010119,2017-08-22T08:03:33.647Z,2017-08-22T08:03:33.000Z,528,fcffff070bff4a0093ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,29.5,1503389013.0,0.647,-245,74,-109,278.1762031518872,40,2017-08-22 16:03:33,8.484848484848527,3.0454545454545467,15.893939393939405,18.272513692907307
231,231,AV4I9-Ka-R03vmj0RN0l,parking_record_index_v2,101a0d010119,2017-08-22T08:03:36.729Z,2017-08-22T08:03:36.000Z,529,fcffff070bff4b0091ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72,35.0,1503389016.0,0.7290000000000001,-245,75,-111,279.23287772037156,40,2017-08-22 16:03:36,8.484848484848527,4.045454545454547,13.893939393939405,16.77497863404411
232,232,AV4I9-5k-R03vmj0RN0q,parking_record_index_v2,101a0d010119,2017-08-22T08:03:39.746Z,2017-08-22T08:03:39.000Z,530,fcffff070bff4a0093ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-69,29.5,1503389019.0,0.746,-245,74,-109,278.1762031518872,40,2017-08-22 16:03:39,8.484848484848527,3.0454545454545467,15.893939393939405,18.272513692907307
233,233,AV4I9_nH-R03vmj0RN0t,parking_record_index_v2,101a0d010119,2017-08-22T08:03:42.662Z,2017-08-22T08:03:42.000Z,531,fcffff070bff490092ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,30.0,1503389022.0,0.662,-245,73,-110,278.30558743941884,40,2017-08-22 16:03:42,8.484848484848527,2.0454545454545467,14.893939393939405,17.262849381799548
