,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
361,361,AV4I4TNv-R03vmj0RNO_,parking_record_index_v2,101a0d0100c0,2017-08-22T07:38:50.093Z,2017-08-22T07:38:47.000Z,1121,fcffff0767ff7f007bff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-87.0,4.5,1503387527.0,3.093,-153,127,-133,239.22165453821273,36,2017-08-22 15:38:47,-1.0666666666666629,-2.333333333333343,-8.650000000000006,9.022456551417822
364,364,AV4I4TtN-R03vmj0RNPG,parking_record_index_v2,101a0d0100c0,2017-08-22T07:38:52.108Z,2017-08-22T07:38:50.000Z,1122,fcffff0767ff7d007dff24,yilan,宜蘭市中山路二段,1015,10.5.181.4,-94.0,15.8,1503387530.0,2.108,-153,125,-131,237.05484597451283,36,2017-08-22 15:38:50,-1.0666666666666629,-4.333333333333343,-6.650000000000006,8.008623824075876
368,368,AV4I4U26-R03vmj0RNPQ,parking_record_index_v2,101a0d0100c0,2017-08-22T07:38:56.824Z,2017-08-22T07:38:53.000Z,1123,fcffff0767ff7d007eff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-77.0,29.5,1503387533.0,3.824,-153,125,-130,236.5036997596444,36,2017-08-22 15:38:53,-1.0666666666666629,-4.333333333333343,-5.650000000000006,7.199864967869585
372,372,AV4I4VKN-R03vmj0RNPZ,parking_record_index_v2,101a0d0100c0,2017-08-22T07:38:58.059Z,2017-08-22T07:38:56.000Z,1124,fcffff0766ff7d007eff24,yilan,宜蘭市中山路二段,1015,10.5.181.4,-95.0,17.0,1503387536.0,2.059,-154,125,-130,237.1518500876601,36,2017-08-22 15:38:56,-2.066666666666663,-4.333333333333343,-5.650000000000006,7.414269275450483
376,376,AV4I4Vnd-R03vmj0RNPk,parking_record_index_v2,101a0d0100c0,2017-08-22T07:38:59.931Z,2017-08-22T07:38:59.000Z,1125,fcffff0766ff7f0080ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-76.0,27.5,1503387539.0,0.9309999999999999,-154,127,-128,237.12654849257183,36,2017-08-22 15:38:59,-2.066666666666663,-2.333333333333343,-3.6500000000000057,4.799797449430093
378,378,AV4I4Wdf-R03vmj0RNPr,parking_record_index_v2,101a0d0100c0,2017-08-22T07:39:03.389Z,2017-08-22T07:39:02.000Z,1126,fcffff0766ff810080ff24,yilan,宜蘭市中山路二段,1015,10.5.181.4,-106.8,-12.8,1503387542.0,1.389,-154,129,-128,238.20369434582662,36,2017-08-22 15:39:02,-2.066666666666663,-0.3333333333333428,-3.6500000000000057,4.207697971839502
381,381,AV4I4Xb_-R03vmj0RNP3,parking_record_index_v2,101a0d0100c0,2017-08-22T07:39:07.390Z,2017-08-22T07:39:05.000Z,1127,fcffff0766ff84007fff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-87.0,18.3,1503387545.0,2.39,-154,132,-129,240.3767875648562,36,2017-08-22 15:39:05,-2.066666666666663,2.666666666666657,-4.650000000000006,5.7449736485228735
384,384,AV4I4YH_-R03vmj0RNQC,parking_record_index_v2,101a0d0100c0,2017-08-22T07:39:10.205Z,2017-08-22T07:39:08.000Z,1128,fcffff0766ff84007fff24,yilan,宜蘭市中山路二段,1015,10.5.181.4,-94.0,16.3,1503387548.0,2.205,-154,132,-129,240.3767875648562,36,2017-08-22 15:39:08,-2.066666666666663,2.666666666666657,-4.650000000000006,5.7449736485228735
388,388,AV4I4Y0q-R03vmj0RNQL,parking_record_index_v2,101a0d0100c0,2017-08-22T07:39:13.064Z,2017-08-22T07:39:11.000Z,1129,fcffff0766ff85007dff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-89.0,13.8,1503387551.0,2.064,-154,133,-131,242.004132196126,36,2017-08-22 15:39:11,-2.066666666666663,3.666666666666657,-6.650000000000006,7.870073414877116
391,391,AV4I4ZQ_-R03vmj0RNQQ,parking_record_index_v2,101a0d0100c0,2017-08-22T07:39:14.877Z,2017-08-22T07:39:14.000Z,1130,fcffff0767ff84007eff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-77.0,33.0,1503387554.0,0.877,-153,132,-130,240.2769235694514,36,2017-08-22 15:39:14,-1.0666666666666629,2.666666666666657,-5.650000000000006,6.338090318770228
