,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
235,235,AV4JEeOY-R03vmj0RPf6,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:00.918Z,2017-08-22T08:32:00.000Z,258,fcffff07f6fd6afff1ff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,30.5,1503390720.0,0.9179999999999999,-522,-150,-15,543.3313905895736,39,2017-08-22 16:32:00,26.298507462686416,0.17910447761190085,35.94029850746269,44.53480245812705
236,236,AV4JEe9K-R03vmj0RPgM,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:03.912Z,2017-08-22T08:32:03.000Z,259,fcffff07f6fd67fff0ff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,24.5,1503390723.0,0.912,-522,-153,-16,544.1957368447496,39,2017-08-22 16:32:03,26.298507462686416,-2.820895522388099,34.94029850746269,43.82229348292718
237,237,AV4JEfvP-R03vmj0RPgg,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:07.117Z,2017-08-22T08:32:06.000Z,260,fcffff07f8fd63ffefff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,25.0,1503390726.0,1.117,-520,-157,-17,543.4500897046572,39,2017-08-22 16:32:06,28.298507462686416,-6.820895522388099,33.94029850746269,44.7132419213674
238,238,AV4JEgnL-R03vmj0RPg1,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:10.696Z,2017-08-22T08:32:09.000Z,261,fcffff07f8fd65ffeaff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,23.0,1503390729.0,1.696,-520,-155,-22,543.0552458083799,39,2017-08-22 16:32:09,28.298507462686416,-4.820895522388099,28.940298507462693,40.76257396135023
239,239,AV4JEhMo-R03vmj0RPhG,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:13.095Z,2017-08-22T08:32:12.000Z,262,fcffff07f8fd68ffefff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,25.0,1503390732.0,1.095,-520,-152,-17,542.0267521073107,39,2017-08-22 16:32:12,28.298507462686416,-1.8208955223880992,33.94029850746269,44.22742416074947
240,240,AV4JEh4Z-R03vmj0RPhb,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:15.895Z,2017-08-22T08:32:15.000Z,263,fcffff07f7fd6afff0ff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,23.8,1503390735.0,0.895,-521,-150,-16,542.399299409577,39,2017-08-22 16:32:15,27.298507462686416,0.17910447761190085,34.94029850746269,44.340332067936146
241,241,AV4JEip8-R03vmj0RPhr,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:19.066Z,2017-08-22T08:32:18.000Z,264,fcffff07f6fd68fff0ff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,25.0,1503390738.0,1.0659999999999998,-522,-152,-16,543.9154346035788,39,2017-08-22 16:32:18,26.298507462686416,-1.8208955223880992,34.94029850746269,43.76929991511203
242,242,AV4JEjW--R03vmj0RPh9,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:21.948Z,2017-08-22T08:32:21.000Z,265,fcffff07f6fd66ffeeff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,27.5,1503390741.0,0.948,-522,-154,-18,544.5401729900192,39,2017-08-22 16:32:21,26.298507462686416,-3.820895522388099,32.94029850746269,42.3234450762072
243,243,AV4JEkFC-R03vmj0RPiT,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:24.896Z,2017-08-22T08:32:24.000Z,266,fcffff07f7fd64ffecff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,30.5,1503390744.0,0.8959999999999999,-521,-156,-20,544.2214622743209,39,2017-08-22 16:32:24,27.298507462686416,-5.820895522388099,30.940298507462693,41.67005406888503
244,244,AV4JEkzH-R03vmj0RPii,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:27.846Z,2017-08-22T08:32:27.000Z,267,fcffff07f8fd63ffecff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,33.8,1503390747.0,0.846,-520,-157,-20,543.5522054044119,39,2017-08-22 16:32:27,28.298507462686416,-6.820895522388099,30.940298507462693,42.48096293722579
245,245,AV4JEliZ-R03vmj0RPi0,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:30.871Z,2017-08-22T08:32:30.000Z,268,fcffff07f9fd66ffeaff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,28.0,1503390750.0,0.871,-519,-154,-22,541.8126982638927,39,2017-08-22 16:32:30,29.298507462686416,-3.820895522388099,28.940298507462693,41.358707182830855
246,246,AV4JEmSN-R03vmj0RPjH,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:33.932Z,2017-08-22T08:32:33.000Z,269,fcffff07f9fd67ffecff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-61.0,22.0,1503390753.0,0.932,-519,-153,-20,541.451752236522,39,2017-08-22 16:32:33,29.298507462686416,-2.820895522388099,30.940298507462693,42.7043564852606
247,247,AV4JEnAu-R03vmj0RPjY,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:36.908Z,2017-08-22T08:32:36.000Z,270,fcffff07f9fd68ffeeff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,24.5,1503390756.0,0.9079999999999999,-519,-152,-18,541.0998059508062,39,2017-08-22 16:32:36,29.298507462686416,-1.8208955223880992,32.94029850746269,44.12234655823842
248,248,AV4JEnvO-R03vmj0RPjt,parking_record_index_v2,101a0d0100a3,2017-08-22T08:32:39.884Z,2017-08-22T08:32:39.000Z,271,fcffff07f8fd6affeeff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,23.8,1503390759.0,0.884,-520,-150,-18,541.5016158793989,39,2017-08-22 16:32:39,28.298507462686416,0.17910447761190085,32.94029850746269,43.42696016060033
