,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
234,234,AV4JEeWi-R03vmj0RPf9,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:01.440Z,2017-08-22T08:32:01.000Z,776,fcffff07a5fd97fe860123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-95.0,22.5,1503390721.0,0.44,-603,-361,390,803.7599144023047,35,2017-08-22 16:32:01,-23.969696969696997,-110.30303030303031,-104.03030303030295,153.50442604507202
235,235,AV4JEfF0-R03vmj0RPgO,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:04.467Z,2017-08-22T08:32:04.000Z,777,fcffff07a5fd97fe830123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-90.0,26.2,1503390724.0,0.467,-603,-361,387,802.3085441399711,35,2017-08-22 16:32:04,-23.969696969696997,-110.30303030303031,-107.03030303030295,155.55317622475215
236,236,AV4JEf3D-R03vmj0RPgj,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:07.618Z,2017-08-22T08:32:07.000Z,778,fcffff07a6fd98fe810123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-95.0,22.0,1503390727.0,0.618,-602,-360,385,800.1431121993115,35,2017-08-22 16:32:07,-22.969696969696997,-109.30303030303031,-109.03030303030295,156.08448478687612
237,237,AV4JEgnP-R03vmj0RPg3,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:10.701Z,2017-08-22T08:32:10.000Z,779,fcffff07a6fd99fe810123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-95.0,25.5,1503390730.0,0.701,-602,-359,385,799.6936913593854,35,2017-08-22 16:32:10,-22.969696969696997,-108.30303030303031,-109.03030303030295,155.38584340466315
238,238,AV4JEhUN-R03vmj0RPhI,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:13.579Z,2017-08-22T08:32:13.000Z,780,fcffff07a6fd99fe820123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-95.0,19.5,1503390733.0,0.579,-602,-359,386,800.1756057266431,35,2017-08-22 16:32:13,-22.969696969696997,-108.30303030303031,-108.03030303030295,154.68580970637834
239,239,AV4JEiBP-R03vmj0RPhd,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:16.461Z,2017-08-22T08:32:16.000Z,781,fcffff07a6fd98fe830123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-94.0,22.5,1503390736.0,0.461,-602,-360,387,801.1073585980846,35,2017-08-22 16:32:16,-22.969696969696997,-109.30303030303031,-107.03030303030295,154.6940373093396
240,240,AV4JEi0T-R03vmj0RPhv,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:19.729Z,2017-08-22T08:32:19.000Z,782,fcffff07a6fd97fe820123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-96.0,22.0,1503390739.0,0.7290000000000001,-602,-361,386,801.0749028648944,35,2017-08-22 16:32:19,-22.969696969696997,-110.30303030303031,-108.03030303030295,156.09263866604988
241,241,AV4JEjfY-R03vmj0RPh_,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:22.486Z,2017-08-22T08:32:22.000Z,783,fcffff07a6fd97fe810123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-93.0,13.8,1503390742.0,0.486,-602,-361,385,800.5935298264658,35,2017-08-22 16:32:22,-22.969696969696997,-110.30303030303031,-109.03030303030295,156.7863911562181
242,242,AV4JEkN8-R03vmj0RPiV,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:25.466Z,2017-08-22T08:32:25.000Z,784,fcffff07a6fd98fe7f0123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-94.0,20.5,1503390745.0,0.466,-602,-360,383,799.182707520627,35,2017-08-22 16:32:25,-22.969696969696997,-109.30303030303031,-111.03030303030295,157.48805543058103
243,243,AV4JEk74-R03vmj0RPil,parking_record_index_v2,101a0d0101e4,2017-08-22T08:32:28.407Z,2017-08-22T08:32:28.000Z,785,fcffff07a7fd99fe7e0123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-92.0,20.0,1503390748.0,0.40700000000000003,-601,-359,382,797.4998432601727,35,2017-08-22 16:32:28,-21.969696969696997,-108.30303030303031,-112.03030303030295,157.3626472668178
