,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
33,33,AV4JCINJ-R03vmj0ROfD,parking_record_index_v2,101a0d01012a,2017-08-22T08:21:46.439Z,2017-08-22T08:21:46.000Z,91,fcffff07e0fecfff7eff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-70,25.0,1503390106.0,0.439,-288,-49,-130,319.75772078246985,41,2017-08-22 16:21:46,0.4925373134328197,2.0746268656716396,-2.7164179104477597,3.4533456098530775
34,34,AV4JCI9z-R03vmj0ROfY,parking_record_index_v2,101a0d01012a,2017-08-22T08:21:49.553Z,2017-08-22T08:21:49.000Z,92,fcffff07e1fed2ff83ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-71,28.8,1503390109.0,0.5529999999999999,-287,-46,-125,316.4016434849857,41,2017-08-22 16:21:49,1.4925373134328197,5.07462686567164,2.2835820895522403,5.7614453583722725
35,35,AV4JCJuF-R03vmj0ROfq,parking_record_index_v2,101a0d01012a,2017-08-22T08:21:52.643Z,2017-08-22T08:21:52.000Z,93,fcffff07e0fed2ff86ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-72,25.0,1503390112.0,0.643,-288,-46,-122,316.1392098427527,41,2017-08-22 16:21:52,0.4925373134328197,5.07462686567164,5.28358208955224,7.342388611886271
36,36,AV4JCKbb-R03vmj0ROf8,parking_record_index_v2,101a0d01012a,2017-08-22T08:21:55.545Z,2017-08-22T08:21:55.000Z,94,fcffff07e0feceff87ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78,24.5,1503390115.0,0.545,-288,-50,-121,316.36213427020624,41,2017-08-22 16:21:55,0.4925373134328197,1.0746268656716396,6.28358208955224,6.393811053017486
37,37,AV4JCLLw-R03vmj0ROgT,parking_record_index_v2,101a0d01012a,2017-08-22T08:21:58.639Z,2017-08-22T08:21:58.000Z,95,fcffff07e0fecdff84ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-77,27.0,1503390118.0,0.639,-288,-51,-124,317.6806572644926,41,2017-08-22 16:21:58,0.4925373134328197,0.07462686567163956,3.2835820895522403,3.321155448489554
38,38,AV4JCL4O-R03vmj0ROgo,parking_record_index_v2,101a0d01012a,2017-08-22T08:22:01.484Z,2017-08-22T08:22:01.000Z,96,fcffff07e0fecbff83ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-73,25.0,1503390121.0,0.484,-288,-53,-125,318.39912060180063,41,2017-08-22 16:22:01,0.4925373134328197,-1.9253731343283604,2.2835820895522403,3.0272763123376776
39,39,AV4JCMml-R03vmj0ROg5,parking_record_index_v2,101a0d01012a,2017-08-22T08:22:04.451Z,2017-08-22T08:22:04.000Z,97,fcffff07e1feccff83ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-66,12.0,1503390124.0,0.451,-287,-52,-125,317.3294817693433,41,2017-08-22 16:22:04,1.4925373134328197,-0.9253731343283604,2.2835820895522403,2.880751677852454
40,40,AV4JCNZl-R03vmj0ROhN,parking_record_index_v2,101a0d01012a,2017-08-22T08:22:07.716Z,2017-08-22T08:22:07.000Z,98,fcffff07e0feccff85ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-73,26.2,1503390127.0,0.716,-288,-52,-123,317.453933665973,41,2017-08-22 16:22:07,0.4925373134328197,-0.9253731343283604,4.28358208955224,4.409986843607705
41,41,AV4JCOHz-R03vmj0ROhi,parking_record_index_v2,101a0d01012a,2017-08-22T08:22:10.674Z,2017-08-22T08:22:10.000Z,99,fcffff07e1feccff85ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-72,25.5,1503390130.0,0.674,-287,-52,-123,316.54699493124235,41,2017-08-22 16:22:10,1.4925373134328197,-0.9253731343283604,4.28358208955224,4.629585142068206
42,42,AV4JCO3G-R03vmj0ROh1,parking_record_index_v2,101a0d01012a,2017-08-22T08:22:13.700Z,2017-08-22T08:22:13.000Z,100,fcffff07e0fecdff85ff29,yilan,宜蘭市中山路二段,1013,10.5.151.1,-73,25.5,1503390133.0,0.7,-288,-51,-123,317.29166393083824,41,2017-08-22 16:22:13,0.4925373134328197,0.07462686567163956,4.28358208955224,4.31245147127899
