,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV4IClPg-R03vmj0RIvG,parking_record_index_v2,101a0d010119,2017-08-22T03:44:08.157Z,2017-08-22T03:44:07.000Z,72,fcffff07fbfe450088ff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,23.8,1503373447.0,1.157,-261,69,-120,295.4352720986443,38
1,AV4ICl9--R03vmj0RIvL,parking_record_index_v2,101a0d010119,2017-08-22T03:44:11.132Z,2017-08-22T03:44:10.000Z,73,fcffff07fcfe470088ff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,28.0,1503373450.0,1.132,-260,71,-120,295.0271173977063,38
2,AV4ICmpt-R03vmj0RIvO,parking_record_index_v2,101a0d010119,2017-08-22T03:44:13.930Z,2017-08-22T03:44:13.000Z,74,fcffff07fbfe470089ff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,29.5,1503373453.0,0.93,-261,71,-119,295.5046530936527,38
3,AV4ICncJ-R03vmj0RIvS,parking_record_index_v2,101a0d010119,2017-08-22T03:44:17.159Z,2017-08-22T03:44:16.000Z,75,fcffff07fbfe470089ff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,35.5,1503373456.0,1.159,-261,71,-119,295.5046530936527,38
4,AV4ICoIQ-R03vmj0RIvX,parking_record_index_v2,101a0d010119,2017-08-22T03:44:19.982Z,2017-08-22T03:44:19.000Z,76,fcffff07fbfe48008aff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-69,28.0,1503373459.0,0.982,-261,72,-118,295.34556031875616,38
5,AV4ICo6K-R03vmj0RIvb,parking_record_index_v2,101a0d010119,2017-08-22T03:44:23.176Z,2017-08-22T03:44:22.000Z,77,fcffff07fbfe48008bff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,32.0,1503373462.0,1.176,-261,72,-117,294.9474529471309,38
6,AV4ICpnV-R03vmj0RIvf,parking_record_index_v2,101a0d010119,2017-08-22T03:44:26.066Z,2017-08-22T03:44:25.000Z,78,fcffff07fbfe48008bff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,27.0,1503373465.0,1.0659999999999998,-261,72,-117,294.9474529471309,38
7,AV4ICqXp-R03vmj0RIvj,parking_record_index_v2,101a0d010119,2017-08-22T03:44:29.158Z,2017-08-22T03:44:28.000Z,79,fcffff07fbfe48008bff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,30.5,1503373468.0,1.158,-261,72,-117,294.9474529471309,38
8,AV4ICrGc-R03vmj0RIvo,parking_record_index_v2,101a0d010119,2017-08-22T03:44:32.154Z,2017-08-22T03:44:31.000Z,80,fcffff07fafe47008eff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-70,27.5,1503373471.0,1.154,-262,71,-114,294.41637182738333,38
9,AV4ICr0v-R03vmj0RIvs,parking_record_index_v2,101a0d010119,2017-08-22T03:44:35.116Z,2017-08-22T03:44:34.000Z,81,fcffff07fbfe47008eff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-71,26.2,1503373474.0,1.116,-261,71,-114,293.52683011949694,38
