,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV4IryLh-R03vmj0RKsb,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:09.055Z,2017-08-22T06:44:08.000Z,35,fcffff07dbffb9ffa3fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-77,27.0,1503384248.0,1.055,-37,-71,-349,358.0656364411419,31
1,AV4Iry7E-R03vmj0RKsn,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:12.098Z,2017-08-22T06:44:11.000Z,36,fcffff07daffb8ffa6fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-77,28.8,1503384251.0,1.0979999999999999,-38,-72,-346,355.4490118146344,31
2,AV4Irzpk-R03vmj0RKsz,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:15.074Z,2017-08-22T06:44:14.000Z,37,fcffff07daffb9ffa8fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-78,32.0,1503384254.0,1.074,-38,-71,-344,353.3001556750294,31
3,AV4Ir0ZC-R03vmj0RKs6,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:18.113Z,2017-08-22T06:44:17.000Z,38,fcffff07d9ffbcffa8fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-78,32.5,1503384257.0,1.113,-39,-68,-344,352.81865030068917,31
4,AV4Ir1Hc-R03vmj0RKtF,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:21.082Z,2017-08-22T06:44:20.000Z,39,fcffff07daffbfffa8fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-77,27.0,1503384260.0,1.082,-38,-65,-344,352.14343668454194,31
5,AV4Ir12R-R03vmj0RKtN,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:24.080Z,2017-08-22T06:44:23.000Z,40,fcffff07dbffc0ffa7fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-79,30.5,1503384263.0,1.08,-37,-64,-345,352.83140449795565,31
6,AV4Ir2km-R03vmj0RKtX,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:27.044Z,2017-08-22T06:44:26.000Z,41,fcffff07dbffbeffa2fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-77,30.0,1503384266.0,1.044,-37,-66,-350,358.08518539587755,31
7,AV4Ir3Ts-R03vmj0RKti,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:30.058Z,2017-08-22T06:44:29.000Z,42,fcffff07dcffb9ffa3fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-76,22.5,1503384269.0,1.058,-36,-71,-349,357.9636853089989,31
8,AV4Ir4Cr-R03vmj0RKtt,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:33.065Z,2017-08-22T06:44:32.000Z,43,fcffff07daffb8ffa5fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-77,30.0,1503384272.0,1.065,-38,-72,-347,356.42250209547655,31
9,AV4Ir5BV-R03vmj0RKt0,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:37.075Z,2017-08-22T06:44:35.000Z,44,fcffff07daffbaffa7fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-78,33.0,1503384275.0,2.075,-38,-70,-345,354.0748508437164,31
10,AV4Ir5hV-R03vmj0RKt-,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:39.123Z,2017-08-22T06:44:38.000Z,45,fcffff07d9ffbeffa8fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-77,27.5,1503384278.0,1.123,-39,-66,-344,352.4386471430169,31
11,AV4Ir6PS-R03vmj0RKuK,parking_record_index_v2,101a0d0100b5,2017-08-22T06:44:42.064Z,2017-08-22T06:44:41.000Z,46,fcffff07daffc0ffa7fe1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-78,32.5,1503384281.0,1.064,-38,-64,-345,352.9376715512245,31
