,R100,R120,R150,R70,env_right,,env_right,R70,R100,R120,R150,,env_right,R70,R100,R120,R150
Mag1_X,-132.2330097,-131.5,-130.5964912,-133.0941176,-128.5862069,,-128.5862069,-133.0941176,-132.2330097,-131.5,-130.5964912,,0,-4.5079107,-3.6468028,-2.9137931,-2.0102843
Mag1_Y,-104.184466,-102.3478261,-101.1052632,-103.6941176,-95.31034483,,-95.31034483,-103.6941176,-104.184466,-102.3478261,-101.1052632,,0,-8.38377277,-8.87412117,-7.03748127,-5.79491837
Mag1_Z,-252.0582524,-251.3695652,-251.8596491,-251.7294118,-256.3793103,,-256.3793103,-251.7294118,-252.0582524,-251.3695652,-251.8596491,,0,4.6498985,4.3210579,5.0097451,4.5196612
Mag2_X,-172.3009709,-171.6956522,-171,-173.1647059,-168.7931034,,-168.7931034,-173.1647059,-172.3009709,-171.6956522,-171,,0,-4.3716025,-3.5078675,-2.9025488,-2.2068966
Mag2_Y,-351.2815534,-349.3369565,-347.9649123,-350.5411765,-342.5172414,,-342.5172414,-350.5411765,-351.2815534,-349.3369565,-347.9649123,,0,-8.0239351,-8.764312,-6.8197151,-5.4476709
Mag2_Z,-330.3203883,-329.2934783,-328.8245614,-329.9529412,-334.2758621,,-334.2758621,-329.9529412,-330.3203883,-329.2934783,-328.8245614,,0,4.3229209,3.9554738,4.9823838,5.4513007
Mag3_X,-56.34951456,-55.7173913,-55.38596491,-57.45882353,-52.48275862,,-52.48275862,-57.45882353,-56.34951456,-55.7173913,-55.38596491,,0,-4.97606491,-3.86675594,-3.23463268,-2.90320629
Mag3_Y,-283.8640777,-281.75,-280.754386,-283.3529412,-275.6206897,,-275.6206897,-283.3529412,-283.8640777,-281.75,-280.754386,,0,-7.7322515,-8.243388,-6.1293103,-5.1336963
Mag3_Z,-217.5533981,-217.3478261,-217.2105263,-218.2235294,-222,,-222,-218.2235294,-217.5533981,-217.3478261,-217.2105263,,0,3.7764706,4.4466019,4.6521739,4.7894737
Mag4_X,-0.631067961,-0.652173913,-0.578947368,-0.741176471,-36.65517241,,-36.65517241,-0.741176471,-0.631067961,-0.652173913,-0.578947368,,0,35.91399594,36.02410445,36.0029985,36.07622504
Mag4_Y,-0.747572816,-0.72826087,-0.561403509,-0.588235294,-27.48275862,,-27.48275862,-0.588235294,-0.747572816,-0.72826087,-0.561403509,,0,26.89452333,26.7351858,26.75449775,26.92135511
Mag4_Z,-0.349514563,-0.282608696,-0.052631579,-0.741176471,-50.86206897,,-50.86206897,-0.741176471,-0.349514563,-0.282608696,-0.052631579,,0,50.1208925,50.51255441,50.57946027,50.80943739
Mag1_len,303.1284902,301.6087349,301.2020465,303.0635041,302.260478,,302.260478,303.0635041,303.1284902,301.6087349,301.2020465,,0,0.8030261,0.8680122,-0.6517431,-1.0584315
Mag2_len,512.0678083,509.8666985,508.3906959,511.6122872,507.5072768,,507.5072768,511.6122872,512.0678083,509.8666985,508.3906959,,0,4.1050104,4.5605315,2.3594217,0.8834191
Mag3_len,362.0751105,360.1971239,359.2855902,362.2522713,357.7969441,,357.7969441,362.2522713,362.0751105,360.1971239,359.2855902,,0,4.4553272,4.2781664,2.4001798,1.4886461
Mag4_len,2.156998037,2.252874135,2.057462493,2.148965806,69.47665997,,69.47665997,2.148965806,2.156998037,2.252874135,2.057462493,,0,-67.32769416,-67.31966193,-67.22378584,-67.41919748
