,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2073,2073,AV4XmXOr-R03vmj0SJju,parking_record_index_v2,101a0d0100d9,2017-08-25T04:14:46.185Z,2017-08-25T04:14:45.000Z,2372,fcffff07b2fe54ff20ff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-81.0,23.0,1503634485.0,1.185,-334,-172,-224,437.39684498176246,31,2017-08-25 12:14:45,11.153846153846132,-68.86153846153844,-79.84615384615384,106.0270156485472
2074,2074,AV4XmX-b-R03vmj0SJkA,parking_record_index_v2,101a0d0100d9,2017-08-25T04:14:49.241Z,2017-08-25T04:14:48.000Z,2373,fcffff07b4fe55ff1fff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-78.0,24.5,1503634488.0,1.2409999999999999,-332,-171,-225,435.99311921176,31,2017-08-25 12:14:48,13.153846153846132,-67.86153846153844,-80.84615384615384,106.36875792600894
2075,2075,AV4XmYq6-R03vmj0SJkU,parking_record_index_v2,101a0d0100d9,2017-08-25T04:14:52.088Z,2017-08-25T04:14:51.000Z,2374,fcffff07b3fe5aff22ff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-81.0,23.8,1503634491.0,1.088,-333,-166,-222,433.2770476265735,31,2017-08-25 12:14:51,12.153846153846132,-62.861538461538444,-77.84615384615384,100.79341577068361
2076,2076,AV4XmZZk-R03vmj0SJkr,parking_record_index_v2,101a0d0100d9,2017-08-25T04:14:55.074Z,2017-08-25T04:14:54.000Z,2375,fcffff07b2fe5cff23ff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-77.0,24.5,1503634494.0,1.074,-334,-164,-221,432.77361287398287,31,2017-08-25 12:14:54,11.153846153846132,-60.861538461538444,-76.84615384615384,98.66035935914554
2077,2077,AV4XmaKk-R03vmj0SJk-,parking_record_index_v2,101a0d0100d9,2017-08-25T04:14:58.211Z,2017-08-25T04:14:57.000Z,2376,fcffff07b2fe57ff22ff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-81.0,24.5,1503634497.0,1.2109999999999999,-334,-169,-222,435.2022518324095,31,2017-08-25 12:14:57,11.153846153846132,-65.86153846153844,-77.84615384615384,102.57764961814746
2078,2078,AV4Xma3a-R03vmj0SJlP,parking_record_index_v2,101a0d0100d9,2017-08-25T04:15:01.080Z,2017-08-25T04:15:00.000Z,2377,fcffff07b2fe54ff1fff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-78.0,24.5,1503634500.0,1.08,-334,-172,-225,437.9098080655422,31,2017-08-25 12:15:00,11.153846153846132,-68.86153846153844,-80.84615384615384,106.78211626967122
2079,2079,AV4Xmblv-R03vmj0SJli,parking_record_index_v2,101a0d0100d9,2017-08-25T04:15:04.046Z,2017-08-25T04:15:03.000Z,2378,fcffff07b3fe53ff1fff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-78.0,23.8,1503634503.0,1.046,-333,-173,-225,437.5419979841935,31,2017-08-25 12:15:03,12.153846153846132,-69.86153846153844,-80.84615384615384,107.538137998853
2080,2080,AV4XmcU9-R03vmj0SJl1,parking_record_index_v2,101a0d0100d9,2017-08-25T04:15:07.067Z,2017-08-25T04:15:06.000Z,2379,fcffff07b4fe55ff20ff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-76.0,24.5,1503634506.0,1.067,-332,-171,-224,435.47789840587785,31,2017-08-25 12:15:06,13.153846153846132,-67.86153846153844,-79.84615384615384,105.61070189630207
2081,2081,AV4XmdDY-R03vmj0SJmK,parking_record_index_v2,101a0d0100d9,2017-08-25T04:15:10.039Z,2017-08-25T04:15:09.000Z,2380,fcffff07b3fe56ff1fff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-81.0,23.8,1503634509.0,1.0390000000000001,-333,-170,-225,436.3645265142436,31,2017-08-25 12:15:09,12.153846153846132,-66.86153846153844,-80.84615384615384,105.61383381684011
2082,2082,AV4XmdyM-R03vmj0SJmc,parking_record_index_v2,101a0d0100d9,2017-08-25T04:15:13.035Z,2017-08-25T04:15:12.000Z,2381,fcffff07b4fe57ff1eff1f,yilan,宜蘭市中山路二段,1006,10.5.151.1,-78.0,23.8,1503634512.0,1.035,-332,-169,-226,435.73042124689886,31,2017-08-25 12:15:12,13.153846153846132,-65.86153846153844,-81.84615384615384,105.87520397415084
