,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2077,2077,AV4XmW7R-R03vmj0SJji,parking_record_index_v2,101a0d0100b8,2017-08-25T04:14:44.944Z,2017-08-25T04:14:44.000Z,2358,fcffff0758fef9ff05ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-73,23.8,1503634484.0,0.9440000000000001,-424,-7,-251,492.77378177009376,30,2017-08-25 12:14:44,-11.46875,16.765625,-116.953125,118.70405155456469
2078,2078,AV4XmX5y-R03vmj0SJj6,parking_record_index_v2,101a0d0100b8,2017-08-25T04:14:48.944Z,2017-08-25T04:14:47.000Z,2359,fcffff0757fefeff07ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-71,20.0,1503634487.0,1.944,-425,-2,-249,492.5748674059609,30,2017-08-25 12:14:47,-12.46875,21.765625,-114.953125,117.65811959005953
2079,2079,AV4XmYYD-R03vmj0SJkL,parking_record_index_v2,101a0d0100b8,2017-08-25T04:14:50.881Z,2017-08-25T04:14:50.000Z,2360,fcffff0754fefeff0bff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-72,22.5,1503634490.0,0.8809999999999999,-428,-2,-245,493.1663005518523,30,2017-08-25 12:14:50,-15.46875,21.765625,-110.953125,114.12107870796153
2080,2080,AV4XmZIA-R03vmj0SJkl,parking_record_index_v2,101a0d0100b8,2017-08-25T04:14:53.950Z,2017-08-25T04:14:53.000Z,2361,fcffff0755fefbff0bff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-71,25.0,1503634493.0,0.95,-427,-5,-245,492.32001787455283,30,2017-08-25 12:14:53,-14.46875,18.765625,-110.953125,113.45523062190104
2081,2081,AV4XmZ2J-R03vmj0SJk3,parking_record_index_v2,101a0d0100b8,2017-08-25T04:14:56.904Z,2017-08-25T04:14:56.000Z,2362,fcffff0755fef8ff08ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-71,22.0,1503634496.0,0.904,-427,-8,-248,493.8592917015938,30,2017-08-25 12:14:56,-14.46875,15.765625,-113.953125,115.9448763657487
2082,2082,AV4Xmaj9-R03vmj0SJlK,parking_record_index_v2,101a0d0100b8,2017-08-25T04:14:59.836Z,2017-08-25T04:14:59.000Z,2363,fcffff0757fef9ff05ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-70,21.2,1503634499.0,0.836,-425,-7,-251,493.63448015713004,30,2017-08-25 12:14:59,-12.46875,16.765625,-116.953125,118.80483725618562
2083,2083,AV4XmbTx-R03vmj0SJlb,parking_record_index_v2,101a0d0100b8,2017-08-25T04:15:02.895Z,2017-08-25T04:15:02.000Z,2364,fcffff0758fefcff06ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-72,18.8,1503634502.0,0.895,-424,-4,-250,492.2316527814927,30,2017-08-25 12:15:02,-11.46875,19.765625,-115.953125,118.1834986597907
2084,2084,AV4Xmb_e-R03vmj0SJlv,parking_record_index_v2,101a0d0100b8,2017-08-25T04:15:05.692Z,2017-08-25T04:15:05.000Z,2365,fcffff0756fefeff07ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-71,21.2,1503634505.0,0.6920000000000001,-426,-2,-249,493.43793936015913,30,2017-08-25 12:15:05,-13.46875,21.765625,-114.953125,117.76829202068251
2085,2085,AV4Xmcxv-R03vmj0SJmB,parking_record_index_v2,101a0d0100b8,2017-08-25T04:15:08.910Z,2017-08-25T04:15:08.000Z,2366,fcffff0757fefeff0aff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-72,24.5,1503634508.0,0.91,-425,-2,-246,491.0651687912715,30,2017-08-25 12:15:08,-12.46875,21.765625,-111.953125,114.72887324239156
2086,2086,AV4Xmdfx-R03vmj0SJmX,parking_record_index_v2,101a0d0100b8,2017-08-25T04:15:11.856Z,2017-08-25T04:15:11.000Z,2367,fcffff0756fefeff0aff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-71,21.2,1503634511.0,0.856,-426,-2,-246,491.93088945501285,30,2017-08-25 12:15:11,-13.46875,21.765625,-111.953125,114.84185585172659
